,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
0,399001,深证成指,500,12573.4349,-0.0343,22.35,145230.99821,2682.9199763447,229805.24825955622,112530.5008913164
1,399002,深成指R,500,15779.6295,-0.0343,22.35,145230.99821,2682.9199763447,229805.24825955622,112530.5008913164
2,399003,成份B指,10,7313.4157,-0.0166,,69.85199,0.4719558282,,
3,399004,深证100R,100,7507.6622,-0.0405,24.3516,40116.9095,1275.3368875871001,135591.2501856136,65644.6690903921
4,399005,中小100,100,8575.9365,-0.0361,28.24,28030.41083,694.3900057377,70679.572206702,34190.8604691149
5,399006,创业板指,100,2630.371,-0.043,44.1022,16180.81514,677.203310728,61650.711526281,29651.2421398333
6,399007,深证300,300,5361.9962,-0.0361,22.554,98993.66432,2141.9252103545,194679.0108970081,94974.71611812449
7,399008,中小300,300,1628.0295,-0.0327,25.6548,66576.59631,1158.9865717871,101617.10848956241,50447.1018961592
8,399009,深证200,200,4606.3034,-0.0262,19.2011,58876.75482,866.5883227674001,59087.760711394505,29330.047027732402
9,399010,深证700,700,7538.9637,-0.0225,24.0032,136628.93757,1490.0292785834,80244.3861113728,41253.701169628504
10,399011,深证1000,1000,5986.3705,-0.032,22.93,235622.60189,3631.9544889379,274923.3970083809,136228.41728775302
11,399012,创业300,300,3638.9985,-0.0373,43.0657,47648.35765,1130.2655175434,82352.9638640095,41007.789163209105
12,399013,深市精选,0,5437.6522,-0.032,19.1792,119614.5153,2024.8312004543,168817.7781895781,82471.6264675703
13,399015,中小创新,500,2499.94,-0.0209,26.893,90391.60368,949.0345125932,45118.1487488247,23697.9163964366
14,399016,深证创新,100,4404.4726,-0.0341,41.0068,18217.49792,759.4408066351,62857.0303954096,1504.3543763056
15,399017,SME创新,100,3674.6346,-0.0315,32.4637,18108.33599,513.1043622725,42123.0347334538,949.1896655385001
16,399018,创业创新,100,4658.3438,-0.0288,48.7347,13701.11758,540.4018507968,42425.4378149961,1275.3281399219
17,399030,碳科技30,30,4237.5743,-0.0383,74.9921,4823.48443,319.0028507903,24821.420381788503,9058.3732651163
18,399050,创新引擎,50,2810.3497,-0.0372,18.4469,15488.10717,330.8138295705,34721.4264898879,15686.2927126348
19,399060,碳科技60,60,3300.9192,-0.0402,34.2112,16085.90517,652.3461441133,58313.259714894695,29875.504065282003
20,399088,深创100,100,3971.9838,-0.042,28.3423,28418.90907,982.6095306072999,92969.75864049769,47804.437615228606
21,399100,新指数,0,10097.6635,-0.0282,24.0998,415806.13706,5595.4990323356005,345238.6418485514,275320.6574940905
22,399101,中小综指,0,12771.171,-0.0281,25.1596,176693.53202,2118.2197973948,136854.334773168,114126.7377397407
23,399102,创业板综,0,3051.9239,-0.0321,43.0256,120078.12841,2175.5633036012,119766.24408072051,83588.3699740599
24,399103,乐富指数,0,7710.7002,-0.0304,,153357.14798,169.8678465309,,
25,399106,深证综指,0,2203.4137,-0.027,,430338.49937,5664.0613116835,,
26,399107,深证A指,0,2305.491,-0.0271,23.975,430212.93479,5663.4244832451,349202.6584152242,349202.6584152242
27,399108,深证B指,0,1115.2378,-0.0145,,125.56458,0.6368284383,,
28,399231,农林指数,0,1609.9574,-0.0147,24.4865,5678.62076,75.913422342,6438.661440749301,3353.4676151938
29,399232,采矿指数,0,2850.9128,0.0022,22.1696,15200.88091,159.0965070218,3944.1098065621995,1921.1529016089999
30,399233,制造指数,0,2818.0493,-0.0304,27.2593,246105.91554,3870.4165993786,245476.54078875712,121183.2557713749
31,399234,水电指数,0,973.1739,-0.0119,18.6953,11426.38353,88.20617203469999,7226.9412877941,2123.9202341941
32,399235,建筑指数,0,1167.2166,-0.0038,19.4985,10104.48787,74.1937574555,3186.4656440505,1397.3856175654998
33,399236,批零指数,0,1360.0651,-0.0154,24.0129,13781.52741,132.7949804926,7011.5201037635,2690.3457096755
34,399237,运输指数,0,1234.0986,-0.0326,27.5552,4999.79028,52.7232134634,6368.4898052587,2137.9103343499
35,399238,餐饮指数,0,1097.8968,-0.0038,117.8263,595.31691,3.1491028592,131.5905433512,56.4973396874
36,399239,IT指数,0,1664.0227,-0.0285,37.0546,43786.78193,534.3351753265,20560.737315516202,12379.5265616777
37,399240,金融指数,0,1282.3347,-0.0282,13.7753,12006.06301,154.7572482391,18444.0907977294,8587.499766544699
38,399241,地产指数,0,2016.261,-0.0025,6.2091,15053.75239,89.3267480499,7529.5576723764,3471.9973170167
39,399242,商务指数,0,1110.1597,-0.0192,11.9853,8779.96625,68.80341349310001,3865.7723004204,1955.8988456667998
40,399243,科研指数,0,1864.0121,-0.0305,42.0267,5440.63092,96.57428063549999,5033.7667043678,2138.4519644923002
41,399244,公共指数,0,736.5031,-0.0177,23.6076,7525.87028,56.3959060651,3274.0698234226,1420.6674210524
42,399248,文化指数,0,838.9881,-0.0323,21.7861,8331.4129,68.0724210619,3090.9905028512,1365.9543440228
43,399249,综企指数,0,1165.8756,-0.0509,26.3887,1265.59247,14.205862272200001,439.15468216370004,315.4787773975
44,399269,创质量,100,5800.8661,-0.0341,44.2539,8898.10487,404.60747315410003,29773.234428847,15761.885486763
45,399275,创医药,50,4615.1858,-0.0352,31.4072,7345.14136,178.3354804806,17495.7725773659,6977.0487811111
46,399276,创科技,50,5829.1334,-0.0385,50.5065,8650.09793,411.3863007581,33903.178907232796,13296.0690186636
47,399277,公共健康,50,3230.9373,-0.0302,28.584,12102.07071,223.1414952156,16194.0045917932,5697.143047609
48,399278,长江100,100,2072.1647,-0.0378,26.404,36103.58071,814.9524211964,73470.3279770872,34134.6731257184
49,399279,云科技50,50,3062.8059,-0.0443,30.4158,12665.87902,313.0734701062,26156.5929335755,14300.2269412826
50,399280,生物50,50,3453.1357,-0.0314,29.6368,6130.07444,171.4867033386,16042.584823687299,7097.9463823703
51,399281,电子50,50,3214.617,-0.0428,20.9795,15985.16556,240.8064378134,17343.5253859058,9648.9029058546
52,399282,大数据50,50,3976.5095,-0.0408,32.771,12520.03104,207.78469756200002,9492.9007754603,5366.9899091996
53,399283,机器人50,50,3101.0529,-0.0446,25.4203,6880.47451,146.823781124,13506.6482467595,5607.2650721738
54,399284,AI 50,50,3272.5319,-0.0441,31.6423,11212.99585,212.62994961419997,16059.3697434323,7738.9613873291
55,399285,物联网50,50,4017.3841,-0.044,27.7953,13572.3922,366.94505303169996,29702.7614496181,16152.5447160726
56,399286,区块链50,50,3211.895,-0.0335,17.7252,20340.55581,279.8637311054,21015.5244989071,7224.959504821501
57,399290,深转交债,0,162.9667,-0.0256,,1221.16095,182.7665747378,,
58,399291,创精选88,88,3951.8927,-0.0284,38.948,13105.96849,180.59331524959998,10553.2286624675,5832.2032442711
59,399292,民企发展,500,1230.7088,-0.0211,24.908,71606.82674,610.5988562336,25274.169627593597,11305.5438503097
60,399293,创业大盘,50,5011.1014,-0.0431,46.0645,8552.59406,515.1605371357,47085.00400649769,20658.173213152
61,399294,中小创Q,50,3648.2517,-0.035,22.4253,17464.90406,375.82485372220003,39919.4857144527,19547.564799427
62,399295,创业蓝筹,50,5155.1413,-0.0337,46.7217,6547.30514,345.1888604319,35834.219906545804,6551.8354245857
63,399296,创成长,50,6337.6119,-0.0381,54.0524,8705.71757,488.0355181653,35482.6472419996,7463.3724604373
64,399297,新浪100,100,4070.1226,-0.01,11.923,18383.79561,138.8982518851,10824.0759842243,1281.8086390342
65,399298,深信中高,0,186.5916,0.0003,,7.2088,0.60391118,,
66,399299,深信中低,0,212.1518,0.0,,3.3205,0.24976385,,
67,399301,深信用债,0,189.9566,0.0003,,7.2088,0.60391118,,
68,399302,深公司债,0,193.9423,0.0003,,7.2088,0.60391118,,
69,399303,国证2000,2000,8467.9907,-0.0173,25.3064,284123.61965,2956.2700661031,134460.07336466052,67084.72307177201
70,399306,深证ETF,0,1545.7179,-0.0319,,143793.68981,159.1595464543,,
71,399307,深证转债,0,300.0688,-0.0253,,2760.81449,464.69845010160003,,
72,399310,国证A50,50,6984.6306,-0.0374,15.144,46040.41802,1210.7336304092998,180039.36668839693,75228.1915964684
73,399311,国证1000,1000,4593.0501,-0.0289,14.4388,377395.20352,5457.7464050281,585631.3354263118,254443.3248291836
74,399312,国证300,300,5127.271,-0.0348,15.8841,133825.32187,2983.5795418375,372607.4254569099,159304.3664764409
75,399313,巨潮100,100,5109.9732,-0.0337,12.0655,77872.31332,1790.6418961261,286499.9549630632,116274.0592197909
76,399314,巨潮大盘,200,4739.4063,-0.0322,12.7324,133008.3406,2602.4163370003,372596.5210119296,154444.0910508389
77,399315,巨潮中盘,300,4575.2078,-0.0264,19.5833,100922.95005,1473.4848975089,118838.73154326712,55044.6954196847
78,399316,巨潮小盘,500,5339.1898,-0.0205,18.3589,143463.91287,1381.8451705189002,94196.0828711151,44954.53835866
79,399317,国证A指,0,5646.2141,-0.0255,15.9984,789949.11222,9712.714370605601,774879.7299162953,340954.5260586086
80,399318,国证B指,0,4542.7563,-0.0089,,420.61519,2.1983395613999996,,
81,399319,资源优势,100,2512.1103,-0.0001,14.7444,81444.51364,802.2524340867,51207.16608479441,18063.9621869861
82,399320,国证服务,100,2135.3187,-0.0289,14.7898,43950.52339,339.6752345007,44989.1825574804,15938.6680461499
83,399321,国证红利,50,6973.8557,-0.0221,7.6804,50483.46792,673.564364186,146015.6012568889,55262.8874725504
