,date,open,high,low,close,volume
0,2016-07-01,117.0,117.35,115.5,117.0,1570863
1,2016-07-04,116.02,118.0,116.02,117.96,332255
2,2016-07-05,117.701,118.28,117.3,117.42,433057
3,2016-07-06,117.02,117.42,116.5,116.91,279466
4,2016-07-07,116.91,116.979,116.412,116.591,76461
5,2016-07-08,116.42,116.7,116.331,116.55,130109
6,2016-07-11,116.55,116.69,116.41,116.48,191042
7,2016-07-12,116.15,116.55,115.48,115.899,622192
8,2016-07-13,115.72,117.34,115.72,117.2,839167
9,2016-07-14,116.75,117.501,116.562,116.78,492425
10,2016-07-15,116.57,117.28,116.03,116.36,99746
11,2016-07-18,116.36,116.5,116.013,116.014,110482
12,2016-07-19,116.014,116.014,115.0,115.68,585899
13,2016-07-20,115.68,116.399,115.509,116.05,560729
14,2016-07-21,115.606,117.88,115.606,117.75,184551
15,2016-07-22,117.3,118.0,117.3,117.53,105388
16,2016-07-25,117.0,117.81,116.51,117.05,20504
17,2016-07-26,116.71,117.6,116.71,117.49,91284
18,2016-07-27,117.54,117.79,116.01,116.87,112845
19,2016-07-28,116.34,117.43,116.32,116.81,34259
20,2016-07-29,116.41,116.45,115.5,115.62,47638
21,2016-08-01,115.62,115.62,114.51,115.2,24249
22,2016-08-02,115.03,115.4,114.76,115.4,33788
23,2016-08-03,115.022,115.6,115.02,115.4,13370
24,2016-08-04,115.6,115.89,115.11,115.46,5710
25,2016-08-05,115.6,115.76,115.25,115.51,4039
26,2016-08-08,115.3,115.8,115.3,115.8,99884
27,2016-08-09,115.95,116.0,115.511,115.95,274135
28,2016-08-10,115.95,116.12,115.75,115.811,195667
29,2016-08-11,115.581,116.0,115.581,115.8,51509
30,2016-08-12,115.801,116.2,115.67,116.188,105976
31,2016-08-15,116.18,118.5,116.18,117.948,326087
32,2016-08-16,118.02,118.83,118.0,118.78,239212
33,2016-08-17,118.152,118.6,117.62,118.25,69193
34,2016-08-18,118.001,126.11,118.001,126.11,330625
35,2016-08-19,126.123,126.123,122.98,125.06,206929
36,2016-08-22,123.816,126.19,123.816,123.88,94240
37,2016-08-23,123.87,123.901,122.65,122.65,140594
38,2016-08-24,123.5,123.501,121.6,121.7,262612
39,2016-08-25,121.22,122.01,120.301,122.01,259622
40,2016-08-26,121.415,122.079,121.31,121.51,18563
41,2016-08-29,120.09,120.831,120.02,120.02,92680
42,2016-08-30,120.041,120.85,119.999,120.542,77288
43,2016-08-31,120.542,120.854,120.152,120.62,42213
44,2016-09-01,120.0,120.6,120.0,120.6,5660
45,2016-09-02,120.121,120.65,120.121,120.26,1940
46,2016-09-05,120.26,120.99,120.26,120.51,8254
47,2016-09-06,120.31,122.0,120.05,122.0,141722
48,2016-09-07,121.761,123.2,121.761,122.613,115957
49,2016-09-08,122.55,122.9,121.8,122.52,30201
50,2016-09-09,122.081,123.0,122.081,122.7,10718
51,2016-09-12,121.25,121.97,121.2,121.2,30377
52,2016-09-13,121.2,122.349,121.2,121.69,18722
53,2016-09-14,121.001,122.39,121.001,121.6,7188
54,2016-09-19,121.22,121.99,121.22,121.99,14953
55,2016-09-20,122.0,122.9,121.271,121.8,37657
56,2016-09-21,121.381,122.43,121.381,121.979,22979
57,2016-09-22,121.7,122.5,121.53,122.5,130679
58,2016-09-23,121.731,122.5,121.731,122.0,15491
59,2016-09-26,121.411,121.75,120.63,120.65,7276
60,2016-09-27,120.081,120.99,120.08,120.8,129757
61,2016-09-28,121.44,122.99,119.5,121.012,274583
62,2016-09-29,120.999,121.99,120.999,121.64,219303
63,2016-09-30,121.45,121.61,120.61,121.6,48684
64,2016-10-10,121.43,121.451,120.651,121.21,268620
65,2016-10-11,121.09,121.4,120.57,121.4,175368
66,2016-10-12,120.671,121.258,120.671,120.75,172397
67,2016-10-13,120.9,121.18,120.71,120.85,1761521
68,2016-10-14,121.101,121.11,120.525,120.8,237534
69,2016-10-17,120.61,121.0,120.34,120.7,57738
70,2016-10-18,120.7,122.29,120.7,122.008,82375
71,2016-10-19,122.0,122.411,121.75,121.85,18301
72,2016-10-20,121.65,122.4,121.303,122.3,73542
73,2016-10-21,121.251,122.149,121.0,122.0,33870
74,2016-10-24,122.0,122.8,121.431,122.5,79615
75,2016-10-25,122.49,122.87,122.16,122.845,193690
76,2016-10-26,122.84,123.0,122.121,123.0,63864
77,2016-10-27,122.522,122.817,122.11,122.3,89476
78,2016-10-28,122.795,122.8,122.795,122.795,19444
79,2016-10-31,122.56,122.97,122.2,122.969,32312
80,2016-11-01,122.57,123.46,122.242,122.75,9305
81,2016-11-02,122.75,123.0,121.9,122.22,24320
82,2016-11-03,121.902,122.7,121.9,122.7,97009
83,2016-11-04,122.366,122.999,122.16,122.5,22932
84,2016-11-07,122.25,122.85,122.25,122.81,22233
85,2016-11-08,122.634,123.279,122.634,122.999,1863
86,2016-11-09,123.0,123.003,122.501,123.0,31198
87,2016-11-10,123.001,123.13,123.0,123.123,2899
88,2016-11-11,122.801,125.0,122.801,123.9,38825
89,2016-11-14,123.9,124.48,123.601,123.61,31715
90,2016-11-15,123.61,124.03,123.29,123.4,37191
91,2016-11-16,123.402,123.7,123.01,123.687,38294
92,2016-11-17,123.221,123.949,123.221,123.522,9529
93,2016-11-18,123.52,123.53,123.3,123.311,805
94,2016-11-21,123.31,123.589,123.0,123.031,2954
95,2016-11-22,123.699,124.77,123.12,123.9,59940
96,2016-11-23,123.94,124.9,123.03,123.55,14131
97,2016-11-24,123.41,124.0,123.06,123.88,13217
98,2016-11-25,123.6,124.3,123.292,124.003,31364
99,2016-11-28,124.0,124.199,123.501,124.0,30855
100,2016-11-29,123.501,124.0,123.501,123.622,37027
101,2016-11-30,123.631,123.98,120.2,123.98,27014
102,2016-12-01,123.0,123.64,122.311,122.61,22643
103,2016-12-02,122.61,123.497,122.13,122.2,9597
104,2016-12-05,121.294,121.301,117.0,117.63,110613
105,2016-12-06,118.3,118.3,116.63,117.29,93406
106,2016-12-07,116.11,119.0,116.11,119.0,76933
107,2016-12-08,119.0,120.0,119.0,120.0,10298
108,2016-12-09,119.979,119.98,119.2,119.81,16934
109,2016-12-12,118.831,118.833,115.88,116.7,99114
110,2016-12-13,116.46,116.46,114.0,114.96,207380
111,2016-12-14,114.6,115.0,114.141,114.63,16006
112,2016-12-15,114.201,114.211,112.6,112.6,557784
113,2016-12-16,113.799,114.0,112.801,113.58,83028
114,2016-12-19,113.58,113.58,112.15,112.901,174962
115,2016-12-20,112.999,112.999,110.79,111.0,90981
116,2016-12-21,111.5,113.45,111.499,113.45,315417
117,2016-12-22,112.481,114.972,112.48,114.94,126531
118,2016-12-23,114.87,115.72,113.51,115.0,70979
119,2016-12-26,113.341,115.0,113.341,113.99,18374
120,2016-12-27,113.992,114.388,113.9,113.9,105229
121,2016-12-28,113.901,113.901,113.0,113.405,15540
122,2016-12-29,114.489,114.489,113.1,113.79,35342
123,2016-12-30,113.79,114.5,113.0,113.684,105153
124,2017-01-03,114.669,114.669,113.659,113.8,58545
125,2017-01-04,113.88,114.99,113.511,114.78,113430
126,2017-01-05,115.0,115.39,114.36,114.748,135686
127,2017-01-06,114.5,115.19,114.231,114.72,31921
128,2017-01-09,114.5,114.959,114.29,114.764,165776
129,2017-01-10,114.451,114.88,113.22,113.75,87848
130,2017-01-11,113.611,114.379,112.8,112.8,31215
131,2017-01-12,113.0,113.6,112.4,112.97,18844
132,2017-01-13,112.41,113.001,112.02,112.2,92241
133,2017-01-16,113.14,113.14,111.02,111.59,50695
134,2017-01-17,111.5,111.75,111.21,111.55,54920
135,2017-01-18,112.5,112.5,111.111,111.15,27598
136,2017-01-19,111.0,111.01,109.73,109.8,202063
137,2017-01-20,109.799,110.74,109.799,110.519,195190
138,2017-01-23,110.94,111.1,110.229,110.51,46993
139,2017-01-24,110.939,110.939,110.182,110.74,66326
140,2017-01-25,110.601,111.0,110.6,111.0,3966
141,2017-01-26,111.0,111.46,110.9,111.0,149981
142,2017-02-03,110.15,111.152,110.15,110.889,33164
143,2017-02-06,110.221,110.99,110.221,110.6,2970
144,2017-02-07,110.601,111.0,110.5,110.75,12021
145,2017-02-08,110.751,110.751,110.311,110.69,15484
146,2017-02-09,110.69,110.98,110.621,110.87,13135
147,2017-02-10,111.1,111.15,110.87,110.886,28414
