日期,猪肉
2009-01-02,20.10
2009-01-09,20.06
2009-01-16,20.06
2009-01-23,19.99
2009-02-06,19.94
2009-02-13,19.44
2009-02-20,19.21
2009-02-27,18.70
2009-03-06,18.70
2009-03-13,18.14
2009-03-20,17.71
2009-03-27,17.44
2009-04-03,16.84
2009-04-10,16.93
2009-04-17,16.55
2009-04-24,16.58
2009-05-01,16.06
2009-05-08,15.72
2009-05-15,15.46
2009-05-22,15.34
2009-05-29,15.37
2009-06-05,15.37
2009-06-12,15.18
2009-06-19,15.53
2009-06-26,15.80
2009-07-03,15.86
2009-07-10,16.18
2009-07-17,16.43
2009-07-24,16.68
2009-07-31,16.82
2009-08-07,17.33
2009-08-14,17.59
2009-08-21,18.01
2009-08-28,18.17
2009-09-04,18.25
2009-09-11,18.30
2009-09-18,18.27
2009-09-25,18.08
2009-10-02,17.86
2009-10-16,17.80
2009-10-23,17.75
2009-10-30,17.64
2009-11-06,17.64
2009-11-13,17.47
2009-11-20,17.73
2009-11-27,17.95
2009-12-04,18.11
2009-12-11,18.75
2009-12-18,18.93
2009-12-25,19.03
2010-01-01,18.86
2010-01-08,19.02
2010-01-15,18.90
2010-01-22,18.41
2010-01-29,18.37
2010-02-05,17.85
2010-02-12,17.65
2010-02-26,17.17
2010-03-05,16.64
2010-03-12,16.59
2010-03-19,16.40
2010-03-26,16.05
2010-04-02,15.48
2010-04-09,15.38
2010-04-16,15.57
2010-04-23,15.61
2010-04-30,15.42
2010-05-07,15.49
2010-05-14,15.42
2010-05-21,15.42
2010-05-28,15.23
2010-06-04,14.86
2010-06-11,15.14
2010-06-18,15.29
2010-06-25,15.55
2010-07-02,15.54
2010-07-09,16.48
2010-07-16,16.96
2010-07-23,17.92
2010-07-30,18.33
2010-08-06,18.75
2010-08-13,18.72
2010-08-20,19.20
2010-08-27,19.54
2010-09-03,18.75
2010-09-10,19.57
2010-09-17,19.96
2010-09-24,20.01
2010-10-01,19.95
2010-10-08,19.81
2010-10-15,19.71
2010-10-22,19.80
2010-10-29,19.50
2010-11-05,20.16
2010-11-12,20.84
2010-11-19,21.25
2010-11-26,21.52
2010-12-03,21.37
2010-12-10,21.57
2010-12-17,20.91
2010-12-24,21.29
2010-12-31,20.99
2011-01-07,20.89
2011-01-14,21.42
2011-01-21,21.26
2011-01-28,21.33
2011-02-11,22.27
2011-02-18,22.21
2011-02-25,22.38
2011-03-04,22.54
2011-03-11,22.64
2011-03-18,22.57
2011-03-25,22.57
2011-04-01,22.74
2011-04-08,22.77
2011-04-15,23.03
2011-04-22,23.04
2011-04-29,23.11
2011-05-06,23.28
2011-05-13,23.54
2011-05-20,23.43
2011-05-27,24.34
2011-06-03,25.53
2011-06-10,26.29
2011-06-17,26.71
2011-06-24,28.08
2011-07-01,28.71
2011-07-08,29.02
2011-07-15,29.80
2011-07-22,29.80
2011-07-29,29.74
2011-08-05,29.55
2011-08-12,28.91
2011-08-19,29.93
2011-08-26,30.05
2011-09-02,30.23
2011-09-09,30.41
2011-09-16,29.95
2011-09-23,29.04
2011-09-30,29.79
2011-10-14,29.24
2011-10-21,29.31
2011-10-28,27.62
2011-11-04,26.88
2011-11-11,26.80
2011-11-18,26.32
2011-11-25,26.10
2011-12-02,25.78
2011-12-09,25.77
2011-12-16,26.17
2011-12-23,25.99
2011-12-30,26.58
2012-01-06,26.32
2012-01-13,26.46
2012-01-20,26.40
2012-02-03,26.60
2012-02-10,26.06
2012-02-17,26.31
2012-02-24,25.39
2012-03-02,25.04
2012-03-09,24.93
2012-03-16,24.56
2012-03-23,24.45
2012-03-30,23.60
2012-04-06,22.92
2012-04-13,23.32
2012-04-20,23.18
2012-04-27,23.11
2012-05-04,23.02
2012-05-11,22.59
2012-05-18,22.19
2012-05-25,21.92
2012-06-01,21.51
2012-06-08,21.76
2012-06-15,21.94
2012-06-22,21.61
2012-06-29,21.66
2012-07-06,21.61
2012-07-13,21.67
2012-07-20,21.40
2012-07-27,21.52
2012-08-03,21.50
2012-08-10,21.04
2012-08-17,21.85
2012-08-24,22.65
2012-08-31,22.24
2012-09-07,22.62
2012-09-14,22.95
2012-09-21,22.70
2012-09-28,22.70
2012-10-12,22.84
2012-10-19,22.20
2012-10-26,22.66
2012-11-02,22.15
2012-11-09,22.49
2012-11-16,22.31
2012-11-23,22.71
2012-11-30,23.36
2012-12-07,23.76
2012-12-14,24.08
2012-12-21,24.26
2012-12-28,25.48
2013-01-04,25.11
2013-01-11,25.62
2013-01-18,26.15
2013-01-25,25.75
2013-02-01,25.65
2013-02-22,24.05
2013-03-01,23.94
2013-03-08,23.19
2013-03-15,22.66
2013-03-22,22.27
2013-03-29,21.98
2013-04-05,21.32
2013-04-12,20.43
2013-04-19,20.22
2013-04-26,20.34
2013-05-03,20.89
2013-05-10,20.93
2013-05-17,20.90
2013-05-24,20.77
2013-05-31,21.16
2013-06-07,21.67
2013-06-14,21.64
2013-06-21,21.95
2013-06-28,21.73
2013-07-05,21.60
2013-07-12,21.86
2013-07-19,21.70
2013-07-26,22.00
2013-08-02,22.25
2013-08-09,23.27
2013-08-16,23.10
2013-08-23,23.66
2013-08-30,23.86
2013-09-06,23.96
2013-09-13,23.94
2013-09-20,23.85
2013-09-27,23.72
2013-10-11,23.63
2013-10-18,23.51
2013-10-25,23.57
2013-11-01,23.53
2013-11-08,23.51
2013-11-15,23.71
2013-11-22,23.81
2013-11-29,23.76
2013-12-06,23.81
2013-12-13,23.76
2013-12-20,23.78
2013-12-27,23.83
2014-01-03,23.59
2014-01-10,22.73
2014-01-17,21.82
2014-01-24,20.64
2014-02-14,20.94
2014-02-21,20.80
2014-02-28,20.23
2014-03-07,19.81
2014-03-14,19.98
2014-03-21,18.99
2014-03-28,17.93
2014-04-04,18.40
2014-04-11,18.13
2014-04-18,17.64
2014-04-25,17.17
2014-05-02,17.31
2014-05-09,18.51
2014-05-16,20.65
2014-05-23,20.89
2014-05-30,21.12
2014-06-06,20.93
2014-06-13,21.15
2014-06-20,20.87
2014-06-27,20.34
2014-07-04,20.20
2014-07-11,20.78
2014-07-18,21.13
2014-07-25,21.28
2014-08-01,21.13
2014-08-08,21.93
2014-08-15,22.62
2014-08-22,22.76
2014-08-29,23.29
2014-09-05,23.12
2014-09-12,22.71
2014-09-19,22.72
2014-09-26,22.73
2014-10-03,22.38
2014-10-10,22.00
2014-10-17,22.18
2014-10-24,21.90
2014-10-31,21.91
2014-11-07,21.97
2014-11-14,21.65
2014-11-21,21.88
2014-11-28,21.57
2014-12-05,21.50
2014-12-12,21.53
2014-12-19,21.19
2014-12-26,21.51
2015-01-02,20.64
2015-01-09,21.08
2015-01-16,20.96
2015-01-23,20.29
2015-01-30,20.29
2015-02-06,20.00
2015-02-13,19.83
2015-03-06,19.92
2015-03-13,20.13
2015-03-20,20.10
2015-03-27,19.63
2015-04-03,20.15
2015-04-10,20.33
2015-04-17,20.24
2015-04-24,20.73
2015-05-01,20.75
2015-05-08,21.44
2015-05-15,21.22
2015-05-22,21.73
2015-05-29,21.63
2015-06-05,22.00
2015-06-12,22.34
2015-06-19,22.98
2015-06-26,23.02
2015-07-03,23.33
2015-07-10,24.18
2015-07-17,25.98
2015-07-24,25.94
2015-07-31,26.29
2015-08-07,26.33
2015-08-14,27.49
2015-08-21,27.42
2015-08-28,27.21
2015-09-11,27.22
2015-09-18,27.38
2015-09-25,27.03
2015-10-09,26.26
2015-10-16,26.45
2015-10-23,25.30
2015-10-30,25.26
2015-11-06,24.26
2015-11-13,24.63
2015-11-20,23.97
2015-11-27,24.11
2015-12-04,24.08
2015-12-11,24.12
2015-12-18,24.39
2015-12-25,24.02
2016-01-01,24.54
2016-01-08,25.76
2016-01-15,26.44
2016-01-22,26.24
2016-01-29,26.28
2016-02-05,27.55
2016-02-19,27.10
2016-02-26,26.07
2016-03-04,26.84
2016-03-11,27.04
2016-03-18,26.31
2016-03-25,27.98
2016-04-01,28.23
2016-04-08,28.83
2016-04-15,28.77
2016-04-22,28.85
2016-04-29,30.32
2016-05-06,30.02
2016-05-13,29.90
2016-05-20,29.59
2016-05-27,30.13
2016-06-03,29.87
2016-06-10,29.83
2016-06-17,29.03
2016-06-24,28.94
2016-07-01,28.35
2016-07-08,28.07
