日期,CRB现货指数:综合
2009-01-02,315.08 
2009-01-05,319.43 
2009-01-06,326.19 
2009-01-07,324.37 
2009-01-08,322.83 
2009-01-09,327.25 
2009-01-12,322.88 
2009-01-13,322.46 
2009-01-14,321.86 
2009-01-15,321.78 
2009-01-16,325.08 
2009-01-20,322.02 
2009-01-21,321.58 
2009-01-22,322.04 
2009-01-23,323.83 
2009-01-26,325.30 
2009-01-27,321.67 
2009-01-28,320.48 
2009-01-29,318.16 
2009-01-30,321.21 
2009-02-02,319.42 
2009-02-03,317.38 
2009-02-04,317.50 
2009-02-05,316.90 
2009-02-06,319.39 
2009-02-09,321.97 
2009-02-10,320.59 
2009-02-11,319.27 
2009-02-12,318.81 
2009-02-13,320.34 
2009-02-17,316.00 
2009-02-18,314.25 
2009-02-19,315.13 
2009-02-20,311.19 
2009-02-23,310.56 
2009-02-24,310.38 
2009-02-25,312.96 
2009-02-26,313.69 
2009-02-27,311.41 
2009-03-02,309.26 
2009-03-03,309.15 
2009-03-04,312.91 
2009-03-05,312.84 
2009-03-06,313.79 
2009-03-09,311.72 
2009-03-10,311.15 
2009-03-11,308.93 
2009-03-12,307.47 
2009-03-13,306.69 
2009-03-16,306.83 
2009-03-17,307.38 
2009-03-18,305.59 
2009-03-19,310.28 
2009-03-20,310.75 
2009-03-23,310.75 
2009-03-24,314.17 
2009-03-25,313.57 
2009-03-26,315.99 
2009-03-27,317.32 
2009-03-30,317.31 
2009-03-31,320.69 
2009-04-01,321.05 
2009-04-02,324.70 
2009-04-03,328.02 
2009-04-06,327.17 
2009-04-07,328.10 
2009-04-08,326.57 
2009-04-09,329.17 
2009-04-13,329.52 
2009-04-14,329.42 
2009-04-15,331.18 
2009-04-16,332.22 
2009-04-17,336.41 
2009-04-20,334.39 
2009-04-21,335.46 
2009-04-22,335.66 
2009-04-23,340.62 
2009-04-24,340.75 
2009-04-27,337.94 
2009-04-28,335.54 
2009-04-29,337.55 
2009-04-30,338.57 
2009-05-01,340.72 
2009-05-04,339.70 
2009-05-05,340.00 
2009-05-06,343.29 
2009-05-07,347.91 
2009-05-08,350.36 
2009-05-11,350.35 
2009-05-12,353.08 
2009-05-13,353.08 
2009-05-14,353.58 
2009-05-15,353.49 
2009-05-18,354.38 
2009-05-19,355.19 
2009-05-20,355.89 
2009-05-21,354.82 
2009-05-22,356.32 
2009-05-26,355.80 
2009-05-27,357.01 
2009-05-28,356.84 
2009-05-29,364.90 
2009-06-01,370.35 
2009-06-02,370.84 
2009-06-03,366.53 
2009-06-04,368.27 
2009-06-05,367.94 
2009-06-08,368.97 
2009-06-09,372.79 
2009-06-10,372.37 
2009-06-11,374.75 
2009-06-12,371.70 
2009-06-15,367.17 
2009-06-16,364.63 
2009-06-17,364.25 
2009-06-18,363.20 
2009-06-19,362.20 
2009-06-22,357.47 
2009-06-23,359.39 
2009-06-24,359.91 
2009-06-25,360.22 
2009-06-26,363.08 
2009-06-29,363.60 
2009-06-30,360.92 
2009-07-01,362.23 
2009-07-02,361.02 
2009-07-06,357.92 
2009-07-07,356.76 
2009-07-08,353.10 
2009-07-09,356.85 
2009-07-10,355.13 
2009-07-13,356.77 
2009-07-14,358.36 
2009-07-15,359.81 
2009-07-16,362.52 
2009-07-17,363.95 
2009-07-20,368.63 
2009-07-21,367.46 
2009-07-22,364.87 
2009-07-23,372.15 
2009-07-24,370.95 
2009-07-27,372.71 
2009-07-28,371.19 
2009-07-29,368.68 
2009-07-30,373.58 
2009-07-31,372.36 
2009-08-03,377.70 
2009-08-04,374.69 
2009-08-05,381.73 
2009-08-06,381.73 
2009-08-07,380.91 
2009-08-10,382.98 
2009-08-11,383.39 
2009-08-12,384.59 
2009-08-13,385.42 
2009-08-14,384.87 
2009-08-17,379.10 
2009-08-18,378.39 
2009-08-19,377.93 
2009-08-20,377.97 
2009-08-21,379.34 
2009-08-24,381.05 
2009-08-25,381.15 
2009-08-26,380.17 
2009-08-27,380.24 
2009-08-28,381.50 
2009-08-31,381.53 
2009-09-01,381.31 
2009-09-02,380.99 
2009-09-03,382.95 
2009-09-04,381.65 
2009-09-08,383.86 
2009-09-09,383.14 
2009-09-10,384.65 
2009-09-11,386.93 
2009-09-14,383.78 
2009-09-15,378.76 
2009-09-16,380.80 
2009-09-17,381.42 
2009-09-18,379.88 
2009-09-21,378.45 
2009-09-22,380.49 
2009-09-23,377.09 
2009-09-24,375.99 
2009-09-25,373.48 
2009-09-28,372.89 
2009-09-29,372.18 
2009-09-30,372.51 
2009-10-01,372.50 
2009-10-02,368.41 
2009-10-05,368.86 
2009-10-06,372.17 
2009-10-07,371.86 
2009-10-08,373.68 
2009-10-09,374.12 
2009-10-12,376.13 
2009-10-13,377.70 
2009-10-14,378.32 
2009-10-15,377.42 
2009-10-16,377.76 
2009-10-19,381.15 
2009-10-20,382.30 
2009-10-21,384.90 
2009-10-22,385.89 
2009-10-23,388.28 
2009-10-26,389.12 
2009-10-27,388.78 
2009-10-28,386.90 
2009-10-29,391.29 
2009-10-30,389.15 
2009-11-02,391.76 
2009-11-03,393.63 
2009-11-04,395.16 
2009-11-05,394.55 
2009-11-06,394.29 
2009-11-09,397.90 
2009-11-10,401.85 
2009-11-11,401.24 
2009-11-12,400.20 
2009-11-13,400.92 
2009-11-16,404.85 
2009-11-17,404.45 
2009-11-18,405.44 
2009-11-19,405.93 
2009-11-20,407.99 
2009-11-23,409.42 
2009-11-24,410.66 
2009-11-25,414.48 
2009-11-27,414.09 
2009-11-30,414.40 
2009-12-01,416.86 
2009-12-02,416.78 
2009-12-03,416.83 
2009-12-04,417.18 
2009-12-07,415.08 
2009-12-08,414.19 
2009-12-09,414.44 
2009-12-10,414.26 
2009-12-11,415.51 
2009-12-14,416.28 
2009-12-15,415.72 
2009-12-16,418.10 
2009-12-17,415.52 
2009-12-18,414.12 
2009-12-21,413.20 
2009-12-22,414.86 
2009-12-23,415.26 
2009-12-24,416.60 
2009-12-28,418.96 
2009-12-29,421.48 
2009-12-30,422.97 
2009-12-31,421.13 
2010-01-04,429.65 
2010-01-05,429.26 
2010-01-06,431.58 
2010-01-07,433.93 
2010-01-08,432.49 
2010-01-11,433.82 
2010-01-12,428.41 
2010-01-13,429.07 
2010-01-14,429.34 
2010-01-15,427.98 
2010-01-19,430.08 
2010-01-20,430.59 
2010-01-21,430.61 
2010-01-22,428.18 
2010-01-25,427.61 
2010-01-26,426.80 
2010-01-27,421.66 
2010-01-28,422.44 
2010-01-29,415.18 
2010-02-01,411.63 
2010-02-02,412.19 
2010-02-03,409.64 
2010-02-04,409.34 
2010-02-05,406.46 
2010-02-08,409.15 
2010-02-09,412.79 
2010-02-10,415.57 
2010-02-11,417.10 
2010-02-12,415.91 
2010-02-16,419.74 
2010-02-17,419.68 
2010-02-18,419.58 
2010-02-19,422.65 
2010-02-22,425.58 
2010-02-23,423.39 
