,日期,收盘价,涨跌,涨跌幅(%),开始日累计涨跌,开始日累计涨跌幅,成交量(万股),成交额(万)
0,2021/12/31,4230.64,22.27,0.53,2725.03,180.99,7766907.8,104584639.3
1,2021/12/30,4208.37,56.23,1.35,2702.76,179.51,7522039,102589124.2
2,2021/12/29,4152.14,-47.88,-1.14,2646.52,175.78,7151129.03,99123881.7
3,2021/12/28,4200.02,13.95,0.33,2694.41,178.96,7577992.37,101544892.4
4,2021/12/27,4186.08,-2.86,-0.07,2680.46,178.03,7301517.85,94782649.41
5,2021/12/24,4188.93,-33.87,-0.80,2683.32,178.22,8766603.32,109379129.8
6,2021/12/23,4222.8,18.94,0.45,2717.18,180.47,8712483.87,109232958
7,2021/12/22,4203.86,7.15,0.17,2698.25,179.21,9166360.99,106438143.8
8,2021/12/21,4196.72,66.07,1.60,2691.1,178.74,8916411.72,103027415.8
9,2021/12/20,4130.64,-84.09,-2.00,2625.03,174.35,9308704.38,118002573
10,2021/12/17,4214.73,-53.43,-1.25,2709.11,179.93,9307990.24,121503591.5
11,2021/12/16,4268.16,20.19,0.48,2762.54,183.48,8564545.73,114074007.7
12,2021/12/15,4247.97,-42.65,-0.99,2742.35,182.14,8584090.42,116421892.4
13,2021/12/14,4290.62,-22.77,-0.53,2785,184.97,8363360.31,116673457.6
14,2021/12/13,4313.39,4.23,0.10,2807.77,186.49,8967056.27,129840857.5
15,2021/12/10,4309.15,-15.29,-0.35,2803.54,186.21,8067426.06,117611501.7
16,2021/12/9,4324.45,43.37,1.01,2818.83,187.22,8629686.97,123511533.8
17,2021/12/8,4281.07,48.06,1.14,2775.46,184.34,7281081.02,107401060.1
18,2021/12/7,4233.01,25.66,0.61,2727.4,181.15,8308024.81,119084864.7
19,2021/12/6,4207.36,-29.45,-0.70,2701.74,179.44,8643075.67,120912727
20,2021/12/3,4236.8,-14.24,-0.33,2731.19,181.40,7911687.61,116057021
21,2021/12/2,4251.04,-6.47,-0.15,2745.43,182.35,8226677.65,113815393.4
22,2021/12/1,4257.51,8.46,0.20,2751.9,182.78,7709831.06,112539923.3
23,2021/11/30,4249.05,-21.17,-0.50,2743.43,182.21,8452007.05,125163556
24,2021/11/29,4270.22,-7.87,-0.18,2764.6,183.62,7417114.28,115463888.6
25,2021/11/26,4278.09,-49.26,-1.14,2772.47,184.14,7169615.23,107397048.1
26,2021/11/25,4327.35,-4.38,-0.10,2821.73,187.41,7148811.93,103488719.1
