日期,PPI
2009-01,-4.43
2009-02,-5.72
2009-03,-7.40
2009-04,-8.11
2009-05,-8.84
2009-06,-9.60
2009-07,-10.10
2009-08,-9.75
2009-09,-8.62
2009-10,-7.23
2009-11,-2.67
2009-12,1.98
2010-01,5.49
2010-02,6.76
2010-03,7.38
2010-04,8.50
2010-05,8.79
2010-06,7.79
2010-07,5.69
2010-08,4.99
2010-09,4.90
2010-10,5.80
2010-11,6.94
2010-12,6.67
2011-01,7.50
2011-02,8.21
2011-03,8.22
2011-04,7.49
2011-05,7.45
2011-06,7.88
2011-07,8.40
2011-08,8.01
2011-09,7.11
2011-10,5.24
2011-11,2.61
2011-12,1.43
2012-01,0.32
2012-02,-0.47
2012-03,-0.83
2012-04,-1.24
2012-05,-2.09
2012-06,-2.93
2012-07,-3.87
2012-08,-4.59
2012-09,-4.68
2012-10,-3.68
2012-11,-2.99
2012-12,-2.71
2013-01,-2.37
2013-02,-2.37
2013-03,-2.68
2013-04,-3.52
2013-05,-3.79
2013-06,-3.53
2013-07,-2.98
2013-08,-2.14
2013-09,-1.75
2013-10,-1.97
2013-11,-1.91
2013-12,-1.78
2014-01,-2.05
2014-02,-2.54
2014-03,-2.95
2014-04,-2.61
2014-05,-1.95
2014-06,-1.53
2014-07,-1.22
2014-08,-1.65
2014-09,-2.39
2014-10,-2.95
2014-11,-3.49
2014-12,-4.29
2015-01,-5.60
2015-02,-6.24
2015-03,-5.93
2015-04,-5.92
2015-05,-5.95
2015-06,-6.24
2015-07,-6.95
2015-08,-7.66
2015-09,-7.72
2015-10,-7.60
2015-11,-7.60
2015-12,-7.60
2016-01,-6.90
2016-02,-6.50
2016-03,-5.75
2016-04,-4.49
2016-05,-3.70
2016-06,-3.50
2016-07,-2.30
2016-08,-1.00
2016-09,0.10
2016-10,1.60
2016-11,4.30
2016-12,7.20
2017-01,9.10
2017-02,10.40
2017-03,10.10
2017-04,8.40
2017-05,7.30
2017-06,7.30
2017-07,7.30
2017-08,8.30
2017-09,9.10
2017-10,9.00
2017-11,7.50
2017-12,6.40
2018-01,5.70
2018-02,4.80
2018-03,4.10
2018-04,4.50
2018-05,5.40
2018-06,6.10
2018-07,6.00
2018-08,5.20
2018-09,4.60
2018-10,4.20
2018-11,3.30
2018-12,1.00
2019-01,-0.10
2019-02,-0.10
2019-03,0.30
2019-04,0.90
2019-05,0.60
2019-06,-0.30
2019-07,-0.70
2019-08,-1.30
2019-09,-2.00
2019-10,-2.60
2019-11,-2.50
2019-12,-1.20
2020-01,-0.40
2020-02,-1.00
2020-03,-2.40
2020-04,-4.50
2020-05,-5.10
2020-06,-4.20
2020-07,-3.50
2020-08,-3.00
2020-09,-2.80
2020-10,-2.70
2020-11,-1.80
2020-12,-0.50
2021-01,0.50
2021-02,2.30
2021-03,5.80
2021-04,9.10
2021-05,12.00
2021-06,11.80
2021-07,12.00
2021-08,12.70
2021-09,14.20
2021-10,17.90
2021-11,17.00
2021-12,13.40
