日期,中债-国债
2009/1/5,131.73 
2009/1/6,131.87 
2009/1/7,131.97 
2009/1/8,132.04 
2009/1/9,132.08 
2009/1/12,131.96 
2009/1/13,131.22 
2009/1/14,130.56 
2009/1/15,130.06 
2009/1/16,129.66 
2009/1/19,129.45 
2009/1/20,128.70 
2009/1/21,128.43 
2009/1/22,128.87 
2009/1/23,129.16 
2009/1/24,129.18 
2009/2/2,128.86 
2009/2/3,128.35 
2009/2/4,127.75 
2009/2/5,126.76 
2009/2/6,127.29 
2009/2/9,127.53 
2009/2/10,127.45 
2009/2/11,127.73 
2009/2/12,128.32 
2009/2/13,128.39 
2009/2/16,128.32 
2009/2/17,127.92 
2009/2/18,128.06 
2009/2/19,128.21 
2009/2/20,128.15 
2009/2/23,128.21 
2009/2/24,128.32 
2009/2/25,128.35 
2009/2/26,128.50 
2009/2/27,128.42 
2009/3/2,128.38 
2009/3/3,128.36 
2009/3/4,128.24 
2009/3/5,127.80 
2009/3/6,127.91 
2009/3/9,128.10 
2009/3/10,128.22 
2009/3/11,128.41 
2009/3/12,128.46 
2009/3/13,128.45 
2009/3/16,128.53 
2009/3/17,128.79 
2009/3/18,128.73 
2009/3/19,128.79 
2009/3/20,128.79 
2009/3/23,128.89 
2009/3/24,128.77 
2009/3/25,128.76 
2009/3/26,128.64 
2009/3/27,128.58 
2009/3/30,128.54 
2009/3/31,128.63 
2009/4/1,128.56 
2009/4/2,128.56 
2009/4/3,128.40 
2009/4/7,128.36 
2009/4/8,128.28 
2009/4/9,128.23 
2009/4/10,128.24 
2009/4/13,128.18 
2009/4/14,128.27 
2009/4/15,128.31 
2009/4/16,128.33 
2009/4/17,128.45 
2009/4/20,128.51 
2009/4/21,128.54 
2009/4/22,128.53 
2009/4/23,128.55 
2009/4/24,128.58 
2009/4/27,128.63 
2009/4/28,128.66 
2009/4/29,128.79 
2009/4/30,128.85 
2009/5/4,128.94 
2009/5/5,128.92 
2009/5/6,129.00 
2009/5/7,129.07 
2009/5/8,129.20 
2009/5/11,129.26 
2009/5/12,129.34 
2009/5/13,129.53 
2009/5/14,129.62 
2009/5/15,129.79 
2009/5/18,129.85 
2009/5/19,129.87 
2009/5/20,129.89 
2009/5/21,129.87 
2009/5/22,129.74 
2009/5/25,129.72 
2009/5/26,129.69 
2009/5/27,129.75 
2009/6/1,129.73 
2009/6/2,129.74 
2009/6/3,129.70 
2009/6/4,129.59 
2009/6/5,129.56 
2009/6/8,129.55 
2009/6/9,129.61 
2009/6/10,129.59 
2009/6/11,129.38 
2009/6/12,129.32 
2009/6/15,129.39 
2009/6/16,129.39 
2009/6/17,129.43 
2009/6/18,129.41 
2009/6/19,129.28 
2009/6/22,129.21 
2009/6/23,129.12 
2009/6/24,129.03 
2009/6/25,128.99 
2009/6/26,128.84 
2009/6/29,128.93 
2009/6/30,128.94 
2009/7/1,128.90 
2009/7/2,128.93 
2009/7/3,128.91 
2009/7/6,128.84 
2009/7/7,128.77 
2009/7/8,128.75 
2009/7/9,128.36 
2009/7/10,128.32 
2009/7/13,128.21 
2009/7/14,128.16 
2009/7/15,127.90 
2009/7/16,127.49 
2009/7/17,127.30 
2009/7/20,127.13 
2009/7/21,127.20 
2009/7/22,127.41 
2009/7/23,127.47 
2009/7/24,127.35 
2009/7/27,127.32 
2009/7/28,127.37 
2009/7/29,127.33 
2009/7/30,127.30 
2009/7/31,127.18 
2009/8/3,127.15 
2009/8/4,127.19 
2009/8/5,127.25 
2009/8/6,127.26 
2009/8/7,127.36 
2009/8/10,127.33 
2009/8/11,127.35 
2009/8/12,127.33 
2009/8/13,127.33 
2009/8/14,127.36 
2009/8/17,127.42 
2009/8/18,127.48 
2009/8/19,127.52 
2009/8/20,127.59 
2009/8/21,127.64 
2009/8/24,127.74 
2009/8/25,127.75 
2009/8/26,127.75 
2009/8/27,127.75 
2009/8/28,127.84 
2009/8/31,127.94 
2009/9/1,127.92 
2009/9/2,127.94 
2009/9/3,128.03 
