日期,美元兑人民币中间价
2009-01-05,6.8367
2009-01-06,6.8384
2009-01-07,6.8389
2009-01-08,6.8375
2009-01-09,6.8363
2009-01-12,6.8382
2009-01-13,6.8395
2009-01-14,6.8399
2009-01-15,6.8392
2009-01-16,6.8383
2009-01-19,6.8360
2009-01-20,6.8385
2009-01-21,6.8396
2009-01-22,6.8373
2009-01-23,6.8380
2009-02-02,6.8397
2009-02-03,6.8398
2009-02-04,6.8348
2009-02-05,6.8360
2009-02-06,6.8371
2009-02-09,6.8346
2009-02-10,6.8330
2009-02-11,6.8337
2009-02-12,6.8327
2009-02-13,6.8334
2009-02-16,6.8343
2009-02-17,6.8352
2009-02-18,6.8363
2009-02-19,6.8369
2009-02-20,6.8357
2009-02-23,6.8337
2009-02-24,6.8358
2009-02-25,6.8361
2009-02-26,6.8371
2009-02-27,6.8379
2009-03-02,6.8389
2009-03-03,6.8392
2009-03-04,6.8395
2009-03-05,6.8365
2009-03-06,6.8370
2009-03-09,6.8355
2009-03-10,6.8358
2009-03-11,6.8347
2009-03-12,6.8339
2009-03-13,6.8334
2009-03-16,6.8349
2009-03-17,6.8327
2009-03-18,6.8319
2009-03-19,6.8301
2009-03-20,6.8293
2009-03-23,6.8304
2009-03-24,6.8301
2009-03-25,6.8328
2009-03-26,6.8321
2009-03-27,6.8317
2009-03-30,6.8340
2009-03-31,6.8359
2009-04-01,6.8349
2009-04-02,6.8341
2009-04-03,6.8320
2009-04-07,6.8340
2009-04-08,6.8370
2009-04-09,6.8358
2009-04-10,6.8347
2009-04-13,6.8332
2009-04-14,6.8296
2009-04-15,6.8293
2009-04-16,6.8301
2009-04-17,6.8311
2009-04-20,6.8329
2009-04-21,6.8342
2009-04-22,6.8306
2009-04-23,6.8295
2009-04-24,6.8273
2009-04-27,6.8253
2009-04-28,6.8274
2009-04-29,6.8265
2009-04-30,6.8250
2009-05-04,6.8225
2009-05-05,6.8201
2009-05-06,6.8232
2009-05-07,6.8230
2009-05-08,6.8221
2009-05-11,6.8220
2009-05-12,6.8242
2009-05-13,6.8235
2009-05-14,6.8250
2009-05-15,6.8247
2009-05-18,6.8267
2009-05-19,6.8260
2009-05-20,6.8251
2009-05-21,6.8245
2009-05-22,6.8239
2009-05-25,6.8235
2009-05-26,6.8285
2009-05-27,6.8324
2009-06-01,6.8317
2009-06-02,6.8309
2009-06-03,6.8302
2009-06-04,6.8325
2009-06-05,6.8334
2009-06-08,6.8365
2009-06-09,6.8366
2009-06-10,6.8336
2009-06-11,6.8348
2009-06-12,6.8325
2009-06-15,6.8343
2009-06-16,6.8368
2009-06-17,6.8340
2009-06-18,6.8321
2009-06-19,6.8338
2009-06-22,6.8328
2009-06-23,6.8339
2009-06-24,6.8316
2009-06-25,6.8331
2009-06-26,6.8328
2009-06-29,6.8316
2009-06-30,6.8319
2009-07-01,6.8325
2009-07-02,6.8309
2009-07-03,6.8333
2009-07-06,6.8330
2009-07-07,6.8326
2009-07-08,6.8336
2009-07-09,6.8325
2009-07-10,6.8313
2009-07-13,6.8320
2009-07-14,6.8332
2009-07-15,6.8328
2009-07-16,6.8315
2009-07-17,6.8310
2009-07-20,6.8321
2009-07-21,6.8311
2009-07-22,6.8309
2009-07-23,6.8307
2009-07-24,6.8318
2009-07-27,6.8316
2009-07-28,6.8310
2009-07-29,6.8314
2009-07-30,6.8335
2009-07-31,6.8323
2009-08-03,6.8310
2009-08-04,6.8303
2009-08-05,6.8306
2009-08-06,6.8304
2009-08-07,6.8316
2009-08-10,6.8346
2009-08-11,6.8352
2009-08-12,6.8351
2009-08-13,6.8343
2009-08-14,6.8328
2009-08-17,6.8333
2009-08-18,6.8339
2009-08-19,6.8329
2009-08-20,6.8318
2009-08-21,6.8313
2009-08-24,6.8309
2009-08-25,6.8311
2009-08-26,6.8313
2009-08-27,6.8320
2009-08-28,6.8309
2009-08-31,6.8312
2009-09-01,6.8308
2009-09-02,6.8316
2009-09-03,6.8307
2009-09-04,6.8310
2009-09-07,6.8305
2009-09-08,6.8300
2009-09-09,6.8292
2009-09-10,6.8288
2009-09-11,6.8282
2009-09-14,6.8280
2009-09-15,6.8284
2009-09-16,6.8281
2009-09-17,6.8272
2009-09-18,6.8271
2009-09-21,6.8280
2009-09-22,6.8289
2009-09-23,6.8271
2009-09-24,6.8280
2009-09-25,6.8287
2009-09-28,6.8279
2009-09-29,6.8288
2009-09-30,6.8290
2009-10-09,6.8270
2009-10-12,6.8275
2009-10-13,6.8270
2009-10-14,6.8269
2009-10-15,6.8267
2009-10-16,6.8270
2009-10-19,6.8275
2009-10-20,6.8273
2009-10-21,6.8278
2009-10-22,6.8272
2009-10-23,6.8275
2009-10-26,6.8280
2009-10-27,6.8284
2009-10-28,6.8283
2009-10-29,6.8285
2009-10-30,6.8281
2009-11-02,6.8282
2009-11-03,6.8279
2009-11-04,6.8280
2009-11-05,6.8277
2009-11-06,6.8276
2009-11-09,6.8273
2009-11-10,6.8268
2009-11-11,6.8267
2009-11-12,6.8268
2009-11-13,6.8273
2009-11-16,6.8272
2009-11-17,6.8271
2009-11-18,6.8275
2009-11-19,6.8274
2009-11-20,6.8278
2009-11-23,6.8279
2009-11-24,6.8276
2009-11-25,6.8275
2009-11-26,6.8268
2009-11-27,6.8269
2009-11-30,6.8272
2009-12-01,6.8270
2009-12-02,6.8268
2009-12-03,6.8270
2009-12-04,6.8272
2009-12-07,6.8278
2009-12-08,6.8277
2009-12-09,6.8279
2009-12-10,6.8276
2009-12-11,6.8277
2009-12-14,6.8279
2009-12-15,6.8278
2009-12-16,6.8280
2009-12-17,6.8281
2009-12-18,6.8284
2009-12-21,6.8283
2009-12-22,6.8285
2009-12-23,6.8287
2009-12-24,6.8285
2009-12-25,6.8283
2009-12-28,6.8282
2009-12-29,6.8282
2009-12-30,6.8283
2009-12-31,6.8282
2010-01-04,6.8281
2010-01-05,6.8278
2010-01-06,6.8277
2010-01-07,6.8276
2010-01-08,6.8279
2010-01-11,6.8275
2010-01-12,6.8274
2010-01-13,6.8273
2010-01-14,6.8272
2010-01-15,6.8271
2010-01-18,6.8272
2010-01-19,6.8270
2010-01-20,6.8273
2010-01-21,6.8272
2010-01-22,6.8271
2010-01-25,6.8270
2010-01-26,6.8269
2010-01-27,6.8270
2010-01-28,6.8271
2010-01-29,6.8270
2010-02-01,6.8271
2010-02-02,6.8271
2010-02-03,6.8269
2010-02-04,6.8270
2010-02-05,6.8272
2010-02-08,6.8273
2010-02-09,6.8271
2010-02-10,6.8269
2010-02-11,6.8270
2010-02-12,6.8269
2010-02-22,6.8271
2010-02-23,6.8270
2010-02-24,6.8271
2010-02-25,6.8270
2010-02-26,6.8269
2010-03-01,6.8267
2010-03-02,6.8268
2010-03-03,6.8266
2010-03-04,6.8265
2010-03-05,6.8266
2010-03-08,6.8266
2010-03-09,6.8265
2010-03-10,6.8264
2010-03-11,6.8263
2010-03-12,6.8262
2010-03-15,6.8261
2010-03-16,6.8263
2010-03-17,6.8262
2010-03-18,6.8262
2010-03-19,6.8263
2010-03-22,6.8264
2010-03-23,6.8263
2010-03-24,6.8264
2010-03-25,6.8266
2010-03-26,6.8268
2010-03-29,6.8266
2010-03-30,6.8264
2010-03-31,6.8263
2010-04-01,6.8261
2010-04-02,6.8260
2010-04-06,6.8260
2010-04-07,6.8259
2010-04-08,6.8259
2010-04-09,6.8260
2010-04-12,6.8259
2010-04-13,6.8260
2010-04-14,6.8261
2010-04-15,6.8260
2010-04-16,6.8261
2010-04-19,6.8262
2010-04-20,6.8263
2010-04-21,6.8264
2010-04-22,6.8263
2010-04-23,6.8264
2010-04-26,6.8263
2010-04-27,6.8262
2010-04-28,6.8264
2010-04-29,6.8265
2010-04-30,6.8263
2010-05-04,6.8265
2010-05-05,6.8267
2010-05-06,6.8269
2010-05-07,6.8271
2010-05-10,6.8269
2010-05-11,6.8270
2010-05-12,6.8271
