日期,南华沪铜指数
2009-01-05,1743.66 
2009-01-06,1844.16 
2009-01-07,1844.16 
2009-01-08,1810.43 
2009-01-09,1917.25 
2009-01-12,1977.70 
2009-01-13,1853.30 
2009-01-14,1946.77 
2009-01-15,1879.30 
2009-01-16,1948.18 
2009-01-19,1983.38 
2009-01-20,1970.41 
2009-01-21,1929.14 
2009-01-22,1873.37 
2009-01-23,1831.54 
2009-02-02,1784.03 
2009-02-03,1878.34 
2009-02-04,1923.01 
2009-02-05,1937.90 
2009-02-06,2029.37 
2009-02-09,2092.48 
2009-02-10,2095.31 
2009-02-11,1979.73 
2009-02-12,2008.80 
2009-02-13,2014.61 
2009-02-16,1949.28 
2009-02-17,1948.58 
2009-02-18,1881.70 
2009-02-19,1899.49 
2009-02-20,1888.11 
2009-02-23,1940.75 
2009-02-24,1888.82 
2009-02-25,1956.40 
2009-02-26,1979.17 
2009-02-27,1981.30 
2009-03-02,1965.65 
2009-03-03,1994.82 
2009-03-04,2080.19 
2009-03-05,2098.69 
2009-03-06,2119.32 
2009-03-09,2064.54 
2009-03-10,2079.48 
2009-03-11,2071.22 
2009-03-12,2057.12 
2009-03-13,2064.95 
2009-03-16,2127.86 
2009-03-17,2177.95 
2009-03-18,2187.96 
2009-03-19,2217.30 
2009-03-20,2326.77 
2009-03-23,2397.60 
2009-03-24,2350.38 
2009-03-25,2325.34 
2009-03-26,2422.64 
2009-03-27,2376.85 
2009-03-30,2371.13 
2009-03-31,2398.32 
2009-04-01,2379.71 
2009-04-02,2457.70 
2009-04-03,2452.68 
2009-04-07,2579.71 
2009-04-08,2551.79 
2009-04-09,2659.92 
2009-04-10,2760.39 
2009-04-13,2904.96 
2009-04-14,2788.58 
2009-04-15,2844.96 
2009-04-16,2912.18 
2009-04-17,2839.90 
2009-04-20,2826.17 
2009-04-21,2701.12 
2009-04-22,2631.01 
2009-04-23,2664.26 
2009-04-24,2549.33 
2009-04-27,2523.98 
2009-04-28,2491.63 
2009-04-29,2545.31 
2009-04-30,2641.32 
2009-05-04,2762.44 
2009-05-05,2727.42 
2009-05-06,2771.20 
2009-05-07,2787.98 
2009-05-08,2839.79 
2009-05-11,2684.37 
2009-05-12,2682.91 
2009-05-13,2728.15 
2009-05-14,2590.25 
2009-05-15,2618.70 
2009-05-18,2572.01 
2009-05-19,2689.48 
2009-05-20,2668.32 
2009-05-21,2630.38 
2009-05-22,2646.43 
2009-05-25,2683.64 
2009-05-26,2655.19 
