日期,国债到期收益率:1年
2009-01-05,0.4801
2009-01-06,0.7691
2009-01-07,0.7797
2009-01-08,0.4944
2009-01-09,0.7908
2009-01-12,0.6272
2009-01-13,0.7195
2009-01-14,0.8436
2009-01-15,0.9496
2009-01-16,1.0386
2009-01-19,1.0846
2009-01-20,1.1978
2009-01-21,1.2411
2009-01-22,1.1704
2009-01-23,1.1301
2009-02-02,1.1447
2009-02-03,1.1868
2009-02-04,1.3097
2009-02-05,1.3627
2009-02-06,1.3806
2009-02-09,1.3305
2009-02-10,1.3124
2009-02-11,1.3145
2009-02-12,1.2630
2009-02-13,1.2517
2009-02-16,1.2688
2009-02-17,1.2716
2009-02-18,1.2798
2009-02-19,1.2309
2009-02-20,1.2339
2009-02-23,1.2094
2009-02-24,1.2034
2009-02-25,1.1362
2009-02-26,1.1909
2009-02-27,1.1967
2009-03-02,1.1935
2009-03-03,1.1759
2009-03-04,1.2323
2009-03-05,1.1618
2009-03-06,1.1335
2009-03-09,1.1421
2009-03-10,1.1346
2009-03-11,1.1517
2009-03-12,1.1739
2009-03-13,1.1670
2009-03-16,1.1225
2009-03-17,1.1783
2009-03-18,1.1645
2009-03-19,1.1397
2009-03-20,1.1569
2009-03-23,1.1597
2009-03-24,1.1664
2009-03-25,1.1807
2009-03-26,1.0263
2009-03-27,1.1007
2009-03-30,1.1328
2009-03-31,1.1579
2009-04-01,1.1420
2009-04-02,1.2178
2009-04-03,1.1579
2009-04-07,1.1427
2009-04-08,1.2197
2009-04-09,1.2243
2009-04-10,1.2085
2009-04-13,1.2701
2009-04-14,1.2371
2009-04-15,1.2707
2009-04-16,1.2728
2009-04-17,1.2687
2009-04-20,1.2648
2009-04-21,1.2456
2009-04-22,1.2823
2009-04-23,1.2980
2009-04-24,1.3262
2009-04-27,1.3054
2009-04-28,1.2785
2009-04-29,1.3447
2009-04-30,1.3238
2009-05-04,1.3101
2009-05-05,1.3559
2009-05-06,1.2978
2009-05-07,1.2805
2009-05-08,1.2532
2009-05-11,1.2439
2009-05-12,1.2501
2009-05-13,1.2373
2009-05-14,1.1232
2009-05-15,1.2489
2009-05-18,1.2122
2009-05-19,1.1959
2009-05-20,1.1424
2009-05-21,1.1454
2009-05-22,1.2030
2009-05-25,1.2320
2009-05-26,1.2990
2009-05-27,1.2082
2009-06-01,1.2133
2009-06-02,1.2997
2009-06-03,1.2872
2009-06-04,1.2956
2009-06-05,1.2346
2009-06-08,1.2476
2009-06-09,1.2664
2009-06-10,1.2682
2009-06-11,1.2676
2009-06-12,1.2847
2009-06-15,1.2971
2009-06-16,1.3023
2009-06-17,1.3225
2009-06-18,1.3125
2009-06-19,1.2654
2009-06-22,1.3084
2009-06-23,1.2921
2009-06-24,1.3101
2009-06-25,1.4170
2009-06-26,1.4112
2009-06-29,1.3425
2009-06-30,1.2714
2009-07-01,1.2581
2009-07-02,1.3694
2009-07-03,1.3145
2009-07-06,1.3412
2009-07-07,1.3394
2009-07-08,1.3103
2009-07-09,1.4212
2009-07-10,1.5318
2009-07-13,1.5195
2009-07-14,1.5573
2009-07-15,1.6305
2009-07-16,1.7371
2009-07-17,1.7833
2009-07-20,1.8833
2009-07-21,1.8401
2009-07-22,1.8229
2009-07-23,1.8526
2009-07-24,1.8160
2009-07-27,1.8588
2009-07-28,1.8582
2009-07-29,1.7887
2009-07-30,1.8480
2009-07-31,1.8469
2009-08-03,1.8417
2009-08-04,1.8961
2009-08-05,1.8707
2009-08-06,1.8431
2009-08-07,1.8274
2009-08-10,1.8918
2009-08-11,1.8253
2009-08-12,1.8593
2009-08-13,1.8544
2009-08-14,1.8089
2009-08-17,1.8049
2009-08-18,1.8448
2009-08-19,1.8132
2009-08-20,1.8517
2009-08-21,1.8038
2009-08-24,1.8189
2009-08-25,1.8174
2009-08-26,1.7515
2009-08-27,1.7644
2009-08-28,1.8019
2009-08-31,1.7541
2009-09-01,1.8547
2009-09-02,1.8367
2009-09-03,1.7090
2009-09-04,1.7627
2009-09-07,1.7993
2009-09-08,1.7452
2009-09-09,1.6997
2009-09-10,1.7149
2009-09-11,1.7020
2009-09-14,1.7356
2009-09-15,1.7227
2009-09-16,1.7153
2009-09-17,1.7583
2009-09-18,1.7864
2009-09-21,1.6799
2009-09-22,1.7137
2009-09-23,1.6533
2009-09-24,1.6688
2009-09-25,1.6452
2009-09-28,1.6229
2009-09-29,1.6264
2009-09-30,1.6465
2009-10-09,1.6633
2009-10-12,1.7676
2009-10-13,1.7443
2009-10-14,1.7235
2009-10-15,1.8348
2009-10-16,1.8831
2009-10-19,1.8121
2009-10-20,1.8741
2009-10-21,1.8387
2009-10-22,1.9260
2009-10-23,1.7911
2009-10-26,1.9005
2009-10-27,1.8059
2009-10-28,1.8251
2009-10-29,1.9459
2009-10-30,1.8674
2009-11-02,1.8042
2009-11-03,1.8290
2009-11-04,1.8572
2009-11-05,1.8165
2009-11-06,1.8488
2009-11-09,1.8681
2009-11-10,1.8742
2009-11-11,1.8953
2009-11-12,1.8616
2009-11-13,1.9596
2009-11-16,1.9251
2009-11-17,1.8685
2009-11-18,1.8052
2009-11-19,1.8239
2009-11-20,1.8762
2009-11-23,1.7932
2009-11-24,1.7812
