日期,螺纹钢
2009-03-27,3577.00 
2009-03-30,3548.00 
2009-03-31,3549.00 
2009-04-01,3549.00 
2009-04-02,3481.00 
2009-04-03,3456.00 
2009-04-07,3482.00 
2009-04-08,3469.00 
2009-04-09,3472.00 
2009-04-10,3485.00 
2009-04-13,3481.00 
2009-04-14,3558.00 
2009-04-15,3566.00 
2009-04-16,3597.00 
2009-04-17,3622.00 
2009-04-20,3632.00 
2009-04-21,3539.00 
2009-04-22,3536.00 
2009-04-23,3507.00 
2009-04-24,3506.00 
2009-04-27,3505.00 
2009-04-28,3507.00 
2009-04-29,3511.00 
2009-04-30,3543.00 
2009-05-04,3624.00 
2009-05-05,3588.00 
2009-05-06,3591.00 
2009-05-07,3608.00 
2009-05-08,3602.00 
2009-05-11,3649.00 
2009-05-12,3647.00 
2009-05-13,3646.00 
2009-05-14,3598.00 
2009-05-15,3606.00 
2009-05-18,3596.00 
2009-05-19,3617.00 
2009-05-20,3624.00 
2009-05-21,3629.00 
2009-05-22,3617.00 
2009-05-25,3607.00 
2009-05-26,3606.00 
2009-05-27,3610.00 
2009-06-01,3643.00 
2009-06-02,3663.00 
2009-06-03,3665.00 
2009-06-04,3693.00 
2009-06-05,3754.00 
2009-06-08,3770.00 
2009-06-09,3782.00 
2009-06-10,3797.00 
2009-06-11,3869.00 
2009-06-12,3893.00 
2009-06-15,3850.00 
2009-06-16,3864.00 
2009-06-17,3857.00 
2009-06-18,3845.00 
2009-06-19,3891.00 
2009-06-22,3917.00 
2009-06-23,3868.00 
2009-06-24,3874.00 
2009-06-25,3871.00 
2009-06-26,3860.00 
2009-06-29,3838.00 
2009-06-30,3828.00 
2009-07-01,3835.00 
2009-07-02,3864.00 
2009-07-03,3869.00 
2009-07-06,3866.00 
2009-07-07,3869.00 
2009-07-08,3851.00 
2009-07-09,3852.00 
2009-07-10,3878.00 
2009-07-13,3894.00 
2009-07-14,3898.00 
2009-07-15,3941.00 
2009-07-16,4002.00 
2009-07-17,3985.00 
2009-07-20,3991.00 
2009-07-21,4010.00 
2009-07-22,4042.00 
2009-07-23,4088.00 
2009-07-24,4149.00 
2009-07-27,4245.00 
2009-07-28,4264.00 
2009-07-29,4338.00 
2009-07-30,4361.00 
2009-07-31,4490.00 
2009-08-03,4799.00 
2009-08-04,4826.00 
2009-08-05,4843.00 
2009-08-06,4917.00 
2009-08-07,4883.00 
2009-08-10,4834.00 
2009-08-11,4886.00 
2009-08-12,4815.00 
2009-08-13,4751.00 
2009-08-14,4632.00 
2009-08-17,4596.00 
2009-08-18,4603.00 
2009-08-19,4457.00 
2009-08-20,4377.00 
2009-08-21,4511.00 
2009-08-24,4538.00 
2009-08-25,4425.00 
2009-08-26,4399.00 
2009-08-27,4387.00 
2009-08-28,4324.00 
2009-08-31,4154.00 
2009-09-01,3996.00 
2009-09-02,3917.00 
2009-09-03,3913.00 
2009-09-04,3906.00 
2009-09-07,3813.00 
2009-09-08,3726.00 
2009-09-09,3748.00 
2009-09-10,3742.00 
2009-09-11,3736.00 
2009-09-14,3658.00 
2009-09-15,3634.00 
2009-09-16,3769.00 
2009-09-17,3750.00 
2009-09-18,3689.00 
2009-09-21,3674.00 
2009-09-22,3652.00 
2009-09-23,3654.00 
2009-09-24,3636.00 
2009-09-25,3582.00 
2009-09-28,3471.00 
2009-09-29,3439.00 
2009-09-30,3483.00 
2009-10-09,3449.00 
2009-10-12,3436.00 
2009-10-13,3442.00 
2009-10-14,3503.00 
2009-10-15,3479.00 
2009-10-16,3617.00 
2009-10-19,3683.00 
2009-10-20,3673.00 
2009-10-21,3691.00 
2009-10-22,3696.00 
2009-10-23,3669.00 
2009-10-26,3681.00 
2009-10-27,3681.00 
2009-10-28,3633.00 
2009-10-29,3608.00 
2009-10-30,3619.00 
2009-11-02,3600.00 
2009-11-03,3610.00 
2009-11-04,3609.00 
2009-11-05,3607.00 
2009-11-06,3609.00 
2009-11-09,3639.00 
2009-11-10,3626.00 
2009-11-11,3630.00 
2009-11-12,3640.00 
2009-11-13,3624.00 
2009-11-16,3644.00 
2009-11-17,3731.00 
2009-11-18,3717.00 
2009-11-19,3736.00 
2009-11-20,3744.00 
2009-11-23,3747.00 
2009-11-24,3739.00 
2009-11-25,3729.00 
2009-11-26,3730.00 
2009-11-27,3683.00 
2009-11-30,3663.00 
2009-12-01,3634.00 
2009-12-02,3668.00 
2009-12-03,3666.00 
2009-12-04,3682.00 
2009-12-07,3675.00 
2009-12-08,3664.00 
2009-12-09,3666.00 
2009-12-10,3671.00 
2009-12-11,3674.00 
2009-12-14,3703.00 
2009-12-15,3702.00 
2009-12-16,3771.00 
2009-12-17,3781.00 
2009-12-18,3771.00 
2009-12-21,3782.00 
2009-12-22,3817.00 
2009-12-23,3863.00 
2009-12-24,3859.00 
2009-12-25,3882.00 
2009-12-28,3902.00 
2009-12-29,3908.00 
2009-12-30,3889.00 
2009-12-31,3896.00 
2010-01-04,3942.00 
2010-01-05,3958.00 
2010-01-06,4003.00 
2010-01-07,4013.00 
2010-01-08,3968.00 
2010-01-11,4006.00 
2010-01-12,3998.00 
2010-01-13,3995.00 
2010-01-14,3993.00 
2010-01-15,3969.00 
2010-01-18,4005.00 
2010-01-19,4004.00 
2010-01-20,3981.00 
2010-01-21,3953.00 
2010-01-22,3898.00 
2010-01-25,3874.00 
2010-01-26,3877.00 
2010-01-27,3886.00 
2010-01-28,3882.00 
2010-01-29,3884.00 
2010-02-01,3875.00 
2010-02-02,3820.00 
2010-02-03,3793.00 
2010-02-04,3782.00 
2010-02-05,3788.00 
2010-02-08,3823.00 
2010-02-09,3820.00 
2010-02-10,3915.00 
2010-02-11,3926.00 
2010-02-12,3974.00 
2010-02-22,3968.00 
2010-02-23,3965.00 
2010-02-24,3944.00 
2010-02-25,3930.00 
2010-02-26,3891.00 
2010-03-01,3877.00 
2010-03-02,3863.00 
2010-03-03,3857.00 
2010-03-04,3858.00 
2010-03-05,3861.00 
2010-03-08,3884.00 
2010-03-09,3885.00 
2010-03-10,3919.00 
2010-03-11,3957.00 
2010-03-12,3969.00 
2010-03-15,4002.00 
2010-03-16,4196.00 
2010-03-17,4243.00 
2010-03-18,4216.00 
2010-03-19,4225.00 
2010-03-22,4259.00 
2010-03-23,4258.00 
2010-03-24,4292.00 
2010-03-25,4310.00 
2010-03-26,4354.00 
2010-03-29,4365.00 
2010-03-30,4358.00 
2010-03-31,4328.00 
2010-04-01,4305.00 
2010-04-02,4305.00 
2010-04-06,4307.00 
2010-04-07,4331.00 
2010-04-08,4330.00 
2010-04-09,4317.00 
2010-04-12,4381.00 
2010-04-13,4441.00 
2010-04-14,4455.00 
2010-04-15,4419.00 
2010-04-16,4497.00 
2010-04-19,4478.00 
2010-04-20,4469.00 
2010-04-21,4452.00 
2010-04-22,4445.00 
2010-04-23,4426.00 
2010-04-26,4408.00 
2010-04-27,4357.00 
2010-04-28,4296.00 
2010-04-29,4289.00 
2010-04-30,4274.00 
2010-05-04,4305.00 
2010-05-05,4293.00 
2010-05-06,4301.00 
2010-05-07,4271.00 
2010-05-10,4259.00 
2010-05-11,4231.00 
2010-05-12,4068.00 
2010-05-13,4077.00 
2010-05-14,4066.00 
2010-05-17,3941.00 
2010-05-18,3954.00 
2010-05-19,3968.00 
2010-05-20,4049.00 
2010-05-21,4024.00 
2010-05-24,4064.00 
2010-05-25,4075.00 
2010-05-26,4072.00 
2010-05-27,4053.00 
2010-05-28,4066.00 
2010-05-31,4026.00 
2010-06-01,3993.00 
2010-06-02,3988.00 
2010-06-03,3998.00 
2010-06-04,3998.00 
2010-06-07,3939.00 
2010-06-08,3929.00 
2010-06-09,3932.00 
2010-06-10,3921.00 
2010-06-11,3933.00 
2010-06-17,3996.00 
2010-06-18,3956.00 
2010-06-21,3965.00 
2010-06-22,3971.00 
2010-06-23,3951.00 
2010-06-24,3947.00 
2010-06-25,3940.00 
2010-06-28,3953.00 
2010-06-29,3865.00 
2010-06-30,3826.00 
2010-07-01,3823.00 
2010-07-02,3803.00 
2010-07-05,3828.00 
2010-07-06,3810.00 
2010-07-07,3807.00 
2010-07-08,3802.00 
2010-07-09,3750.00 
2010-07-12,3736.00 
2010-07-13,3715.00 
2010-07-14,3741.00 
2010-07-15,3748.00 
2010-07-16,3765.00 
2010-07-19,3802.00 
2010-07-20,3840.00 
2010-07-21,3898.00 
2010-07-22,3890.00 
2010-07-23,3941.00 
2010-07-26,3938.00 
2010-07-27,3898.00 
2010-07-28,3894.00 
2010-07-29,3903.00 
2010-07-30,3956.00 
2010-08-02,4024.00 
2010-08-03,4019.00 
2010-08-04,4009.00 
2010-08-05,4069.00 
