,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,1846.11,1850.49,1790.02,1803.53,-0.0176,1871.14,500.54
1,2022-03-07,1887.94,1892.32,1829.6,1835.82,-0.0401,1640.66,451.97
2,2022-03-04,1936.03,1953.46,1904.01,1912.51,-0.022000000000000002,1534.98,390.52
3,2022-03-03,1986.92,1988.65,1952.1,1955.5,-0.010700000000000001,1662.21,374.38
4,2022-03-02,1994.98,1994.98,1952.38,1976.74,-0.0137,1416.55,392.64
5,2022-03-01,2018.51,2029.93,1989.66,2004.25,-0.0002,1725.52,461.1
6,2022-02-28,1978.6,2004.63,1969.87,2004.63,0.0103,1629.32,408.22
7,2022-02-25,1976.03,2002.84,1972.89,1984.1,0.019,1715.38,462.68
8,2022-02-24,1954.63,1989.48,1921.58,1947.01,-0.013600000000000001,2493.05,597.14
9,2022-02-23,1923.9,1974.13,1923.9,1973.8,0.0274,1787.62,469.21
10,2022-02-22,1927.18,1927.28,1901.11,1921.23,-0.0089,1523.54,391.07
11,2022-02-21,1953.33,1955.34,1926.56,1938.41,-0.0077,1316.13,339.38
12,2022-02-18,1953.94,1962.96,1941.39,1953.39,-0.009300000000000001,1235.14,303.43
13,2022-02-17,1944.85,1983.09,1937.26,1971.71,0.0125,1654.26,418.86
14,2022-02-16,1943.01,1964.06,1933.79,1947.44,0.005,1196.49,326.55
15,2022-02-15,1899.33,1938.78,1887.49,1937.73,0.028300000000000002,1278.88,378.96
16,2022-02-14,1861.68,1902.12,1859.75,1884.35,0.0034999999999999996,1330.4,378.61
17,2022-02-11,1909.3,1926.29,1874.74,1877.8,-0.0281,1522.63,438.57
18,2022-02-10,1989.1,1989.1,1903.88,1932.03,-0.026000000000000002,1427.99,470.11
19,2022-02-09,1964.06,1986.88,1940.76,1983.6,0.0091,1519.53,382.32
20,2022-02-08,2020.82,2021.12,1917.84,1965.68,-0.026699999999999998,1590.06,450.39
21,2022-02-07,2053.28,2064.88,2010.17,2019.51,0.0034999999999999996,1469.86,382.31
22,2022-01-28,2032.43,2044.66,1975.15,2012.53,0.0068000000000000005,1403.04,459.13
23,2022-01-27,2064.56,2067.39,1996.0,1998.88,-0.0354,1473.01,422.72
24,2022-01-26,2046.87,2076.2,2033.85,2072.2,0.0187,1424.09,363.4
25,2022-01-25,2081.58,2100.56,2033.4,2034.18,-0.0282,1626.22,361.65
26,2022-01-24,2057.38,2110.66,2046.74,2093.23,0.0118,1487.36,417.93
27,2022-01-21,2068.63,2090.22,2047.65,2068.74,-0.0051,1647.52,390.98
