,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,6140.217,6181.1567,6005.0406,6034.9103,-0.0155,4386.82,1121.44
1,2022-03-07,6291.1061,6292.8591,6110.9965,6130.1133,-0.0348,4491.31,1093.68
2,2022-03-04,6386.2106,6416.2064,6327.6976,6351.2844,-0.0158,3470.75,907.26
3,2022-03-03,6517.2125,6520.7208,6438.5494,6452.9382,-0.0051,4089.12,833.47
4,2022-03-02,6525.4328,6525.4328,6456.1853,6485.8946,-0.011200000000000002,3345.43,764.19
5,2022-03-01,6520.2923,6564.7278,6502.6706,6559.2626,0.0105,2944.39,911.82
6,2022-02-28,6455.6502,6490.8949,6419.4661,6490.8949,0.0023,3195.01,819.6
7,2022-02-25,6449.1923,6535.0258,6449.1923,6475.8524,0.0129,3598.79,920.78
8,2022-02-24,6469.0904,6498.9708,6335.3726,6393.2075,-0.0196,4805.17,1149.97
9,2022-02-23,6461.7551,6524.3959,6451.5207,6520.8068,0.0115,3038.41,872.06
10,2022-02-22,6497.6366,6497.6366,6403.1341,6446.7438,-0.0155,2991.09,832.89
11,2022-02-21,6584.257,6584.257,6519.3364,6548.2106,-0.0076,2733.12,695.77
12,2022-02-18,6543.9456,6599.5595,6528.8204,6598.3313,0.0023,2490.08,641.3
13,2022-02-17,6554.5473,6609.113,6542.2107,6583.0811,0.0040999999999999995,2477.54,732.26
14,2022-02-16,6562.5026,6596.144,6540.8893,6556.2929,0.0034000000000000002,2462.63,710.42
15,2022-02-15,6456.9674,6536.302,6449.7446,6534.197,0.0123,2896.35,897.62
16,2022-02-14,6474.9672,6516.9532,6419.0035,6454.8713,-0.0078000000000000005,3766.6,1002.27
17,2022-02-11,6543.1783,6605.319,6494.1306,6505.7755,-0.0126,3990.96,1115.53
18,2022-02-10,6634.1551,6634.4007,6532.325,6588.8477,-0.0051,3633.71,1075.56
19,2022-02-09,6559.2954,6635.3432,6535.3286,6622.3011,0.0096,3518.72,934.51
20,2022-02-08,6602.1881,6602.8676,6417.4256,6559.0614,-0.0102,3433.09,947.49
21,2022-02-07,6654.8926,6691.6703,6603.702,6626.6084,0.0151,3254.96,887.7
22,2022-01-28,6653.5923,6683.7535,6519.1514,6528.1914,-0.0134,3078.46,966.46
23,2022-01-27,6732.3713,6734.2615,6610.4971,6617.1368,-0.0184,2534.99,792.35
24,2022-01-26,6707.0806,6742.0985,6637.2409,6741.2416,0.0105,2397.55,738.5
25,2022-01-25,6767.2457,6803.4387,6669.7295,6671.3761,-0.020499999999999997,2899.15,802.29
26,2022-01-24,6762.0822,6840.0588,6746.7885,6811.1223,0.0013,2566.37,758.95
27,2022-01-21,6850.9044,6855.1897,6764.0576,6802.5016,-0.0103,3177.35,859.11
28,2022-01-20,6780.6467,6906.6983,6779.2776,6873.0922,0.0123,3420.45,916.6
29,2022-01-19,6841.2353,6866.4794,6749.8141,6789.6448,-0.005600000000000001,3191.91,910.14
30,2022-01-18,6765.8205,6850.3221,6736.2172,6827.5428,0.0091,3118.73,831.71
31,2022-01-17,6715.1453,6779.1882,6704.1602,6765.8568,0.0089,2391.17,795.98
32,2022-01-14,6719.0762,6762.5152,6702.2313,6706.3029,-0.0068000000000000005,2966.99,796.16
33,2022-01-13,6893.1452,6893.1452,6752.1377,6752.5119,-0.0178,3289.57,929.88
34,2022-01-12,6828.8272,6887.6895,6822.7451,6875.0466,0.0126,3360.73,991.59
35,2022-01-11,6859.8302,6876.2336,6783.7066,6789.412,-0.012199999999999999,3310.76,883.75
36,2022-01-10,6817.0718,6888.5068,6761.1794,6873.5033,0.005,3460.39,970.13
37,2022-01-07,6835.8361,6887.3042,6830.1532,6839.3839,0.0029,4250.73,1053.73
38,2022-01-06,6867.9133,6901.5085,6787.4777,6819.8088,-0.0141,3273.05,1044.57
39,2022-01-05,6972.0423,6981.7857,6889.8981,6917.1094,-0.0109,3778.81,1152.71
40,2022-01-04,7063.3366,7068.3795,6917.8806,6993.0014,-0.004699999999999999,3139.17,1113.8
41,2021-12-31,7026.28,7038.7772,6993.1479,7026.0935,0.0040999999999999995,2263.65,772.48
42,2021-12-30,6948.1912,7030.754,6934.3474,6997.1906,0.0062,2549.27,816.17
43,2021-12-29,7068.2685,7068.2685,6952.8235,6954.0572,-0.0152,2113.58,824.05
44,2021-12-28,7000.9737,7069.387,6999.1209,7061.26,0.009399999999999999,2466.11,834.71
45,2021-12-27,7006.0284,7041.4527,6963.8947,6995.1562,-0.0023,2223.02,728.39
46,2021-12-24,7058.3051,7071.4405,6978.6696,7011.5364,-0.005699999999999999,2694.35,970.96
47,2021-12-23,7004.1707,7051.9029,6976.3291,7051.9029,0.01,2990.52,789.65
48,2021-12-22,6995.9206,7024.1933,6964.4111,6981.8612,0.0005,2389.05,719.57
49,2021-12-21,6910.5145,6985.8407,6910.5145,6978.1464,0.008199999999999999,2507.17,763.43
50,2021-12-20,7003.4637,7056.2203,6905.8335,6921.5017,-0.016399999999999998,2853.76,954.21
51,2021-12-17,7121.6553,7132.8919,7031.8877,7036.8437,-0.015700000000000002,2769.58,928.82
52,2021-12-16,7106.5561,7149.004,7088.2935,7149.004,0.0058,3021.27,897.93
53,2021-12-15,7173.221,7209.5351,7107.5767,7108.0283,-0.011899999999999999,2796.4,832.96
54,2021-12-14,7198.0962,7218.0075,7177.4945,7193.5903,-0.0040999999999999995,3328.54,945.47
