,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-07,,,,117.2334,0.0005,0.21,20.8
1,2022-03-04,,,,117.171,-0.0009,0.41,41.28
2,2022-03-03,,,,117.2787,-0.0005,0.18,17.72
3,2022-03-02,,,,117.3371,-0.0005,0.94,94.68
4,2022-03-01,,,,117.3952,0.0003,0.37,37.56
5,2022-02-28,,,,117.3645,0.0005,0.33,33.0
6,2022-02-25,,,,117.3006,0.0003,0.49,48.65
7,2022-02-24,,,,117.2694,0.0001,0.24,24.47
8,2022-02-23,,,,117.2543,-0.0006,0.28,28.35
9,2022-02-22,,,,117.3257,-0.0004,0.16,15.77
10,2022-02-21,,,,117.3699,-0.0004,0.54,54.37
11,2022-02-18,,,,117.422,0.0006,0.7,70.5
12,2022-02-17,,,,117.3532,0.0002,0.67,68.3
13,2022-02-16,,,,117.3263,-0.0001,0.88,89.29
14,2022-02-15,,,,117.3419,-0.0004,0.87,87.68
15,2022-02-14,,,,117.3872,0.0002,0.53,53.23
16,2022-02-11,,,,117.3588,-0.0012,0.49,49.72
17,2022-02-10,,,,117.502,-0.0006,0.66,66.05
18,2022-02-09,,,,117.5732,0.0001,0.87,87.95
19,2022-02-08,,,,117.5576,0.0001,0.66,66.57
20,2022-02-07,,,,117.5471,0.0011,0.44,44.59
21,2022-01-28,,,,117.4206,0.0004,0.2,19.89
22,2022-01-27,,,,117.3686,-0.0003,0.36,37.1
23,2022-01-26,,,,117.4086,0.0001,0.43,44.34
24,2022-01-25,,,,117.4017,0.0003,0.53,53.93
25,2022-01-24,,,,117.3656,0.001,0.37,37.32
26,2022-01-21,,,,117.2461,0.0004,0.87,87.99
27,2022-01-20,,,,117.2036,0.001,0.3,30.37
28,2022-01-19,,,,117.0867,0.0013,0.49,49.56
29,2022-01-18,,,,116.9366,0.0005,0.42,42.49
30,2022-01-17,,,,116.8746,0.0017000000000000001,0.27,27.53
31,2022-01-14,,,,116.6719,0.0007000000000000001,0.3,30.25
32,2022-01-13,,,,116.5896,0.0008,0.52,52.62
33,2022-01-12,,,,116.5008,0.0007000000000000001,0.81,81.24
34,2022-01-11,,,,116.4228,0.0011,0.72,72.77
35,2022-01-10,,,,116.2958,0.0003,0.51,50.93
36,2022-01-07,,,,116.2559,0.0003,1.29,130.05
37,2022-01-06,,,,116.2199,0.0004,1.45,145.15
38,2022-01-05,,,,116.1684,0.0008,0.37,37.52
39,2022-01-04,,,,116.07,0.0002,0.02,2.0
40,2021-12-31,,,,116.0513,0.001,0.08,8.45
41,2021-12-30,,,,115.9349,0.0006,0.09,8.8
42,2021-12-29,,,,115.8711,0.0005,0.3,30.17
43,2021-12-28,,,,115.8159,-0.0001,0.14,14.32
44,2021-12-27,,,,115.8297,0.0002,0.28,28.4
45,2021-12-24,,,,115.8025,0.0004,0.34,34.17
46,2021-12-23,,,,115.7507,0.0003,0.51,51.64
