,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,2444.6653,2462.4875,2393.5682,2404.3625,-0.0209,4783.16,850.46
1,2022-03-07,2489.307,2489.3163,2449.3707,2455.6212,-0.0242,4917.43,862.03
2,2022-03-04,2525.4263,2534.7135,2509.8967,2516.4224,-0.0168,3627.66,728.96
3,2022-03-03,2568.0099,2572.0352,2553.6083,2559.5111,0.0009,3991.59,649.54
4,2022-03-02,2565.6119,2569.4933,2552.0212,2557.2855,-0.006999999999999999,3086.21,558.45
5,2022-03-01,2568.1296,2584.3647,2555.9202,2575.4088,0.0068000000000000005,2972.25,638.41
6,2022-02-28,2544.6994,2558.2086,2523.547,2557.9538,0.0034999999999999996,3800.8,690.35
7,2022-02-25,2566.2092,2579.9812,2542.9063,2549.0887,-0.0004,3488.36,635.69
8,2022-02-24,2578.8478,2594.6878,2529.4166,2550.1911,-0.0192,4758.65,855.34
9,2022-02-23,2590.0092,2601.7632,2586.8226,2600.0427,0.0070999999999999995,3115.09,641.78
10,2022-02-22,2585.7879,2589.8369,2565.5215,2581.7097,-0.0132,3214.07,635.84
11,2022-02-21,2616.621,2621.0675,2606.5219,2616.2192,-0.0043,2991.83,598.97
12,2022-02-18,2613.944,2635.0231,2606.2152,2627.4888,0.0001,2686.04,489.95
13,2022-02-17,2623.225,2635.5777,2616.584,2627.0995,0.0016,2603.88,516.48
14,2022-02-16,2618.4789,2631.8023,2611.3173,2622.8242,0.006,2627.63,477.12
15,2022-02-15,2601.4718,2612.7027,2593.0194,2607.2133,0.001,2936.75,565.9
16,2022-02-14,2619.1169,2622.2103,2594.7323,2604.6751,-0.0109,3486.91,608.47
17,2022-02-11,2640.9759,2661.0177,2628.336,2633.287,-0.0091,4055.72,742.24
18,2022-02-10,2682.776,2682.7867,2639.5022,2657.487,-0.0053,3803.12,728.3
19,2022-02-09,2651.7387,2677.5325,2643.6235,2671.5681,0.0124,4077.19,706.51
20,2022-02-08,2646.6469,2646.8496,2600.8742,2638.8898,-0.0033,4081.85,698.28
21,2022-02-07,2635.9497,2649.4932,2627.5915,2647.6902,0.0163,3746.81,661.66
22,2022-02-04,2603.6463,2606.6589,2592.9995,2605.3343,0.0062,475.02,110.2
23,2022-01-31,2581.5997,2592.5076,2576.5307,2589.1925,0.0029,321.35,68.46
24,2022-01-28,2621.8961,2629.5547,2575.642,2581.636,-0.0121,3217.9,646.04
25,2022-01-27,2654.8036,2654.8442,2605.4591,2613.1385,-0.0218,3097.09,623.74
26,2022-01-26,2657.1335,2678.6318,2642.7851,2671.3521,0.0104,2631.5,540.35
27,2022-01-25,2671.6545,2685.6537,2636.135,2643.9247,-0.0192,3563.39,642.43
28,2022-01-24,2681.9021,2702.5151,2669.7874,2695.7529,-0.0006,2983.99,587.65
29,2022-01-21,2712.1395,2717.5535,2685.6305,2697.378,-0.0078000000000000005,3594.47,682.44
30,2022-01-20,2685.5788,2722.1234,2685.5587,2718.461,0.0115,3835.1,725.49
31,2022-01-19,2692.5693,2707.0124,2673.8687,2687.5737,-0.0025,3339.84,671.42
32,2022-01-18,2678.3111,2704.5885,2665.7193,2694.3377,0.0055000000000000005,3630.38,662.66
33,2022-01-17,2668.5799,2693.7336,2668.3674,2679.4902,0.004699999999999999,2707.04,582.33
34,2022-01-14,2665.1461,2676.6666,2655.9026,2666.93,-0.0058,3427.4,583.29
35,2022-01-13,2718.4022,2718.8114,2679.1612,2682.5107,-0.0102,3574.97,650.45
36,2022-01-12,2703.1136,2714.3473,2687.5785,2710.2677,0.011899999999999999,4054.43,807.34
37,2022-01-11,2701.9429,2708.0211,2670.4555,2678.3007,-0.008100000000000001,4043.25,738.96
38,2022-01-10,2684.1777,2703.7909,2671.2447,2700.1357,0.0075,4231.92,758.86
39,2022-01-07,2667.5422,2693.2784,2667.2118,2679.9421,0.008,4960.21,861.66
40,2022-01-06,2653.0694,2671.9988,2643.3081,2658.767,-0.0060999999999999995,3875.18,756.92
41,2022-01-05,2698.2706,2702.3026,2671.5023,2675.1751,-0.0103,4697.76,996.62
42,2022-01-04,2703.4335,2706.3945,2671.3595,2703.1261,0.0054,3663.72,762.74
43,2022-01-03,2692.5546,2694.6586,2686.72,2688.4743,-0.0006,185.15,39.94
44,2021-12-31,2688.9162,2697.4544,2683.2815,2690.0752,0.01,2563.86,589.09
45,2021-12-30,2664.1271,2683.1603,2662.2769,2663.3761,-0.0008,2807.85,528.61
46,2021-12-29,2680.5984,2680.6008,2660.7671,2665.4899,-0.0072,2271.5,506.02
47,2021-12-28,2670.6109,2687.6697,2660.7697,2684.7585,0.006,3177.74,679.13
48,2021-12-27,2657.4249,2676.1859,2657.1697,2668.7855,0.0039000000000000003,2364.88,483.21
49,2021-12-24,2679.4073,2680.6387,2655.2945,2658.4794,-0.0069,2824.13,571.37
50,2021-12-23,2654.6417,2678.6472,2651.2286,2676.9793,0.0111,2814.3,632.27
51,2021-12-22,2653.3624,2655.0804,2638.2932,2647.601,0.0024,2964.13,597.45
52,2021-12-21,2606.8996,2646.8625,2606.8839,2641.2083,0.013000000000000001,3101.29,615.76
53,2021-12-20,2634.1199,2650.444,2600.7153,2607.3481,-0.0134,3502.17,720.42
54,2021-12-17,2664.9796,2670.6021,2642.3414,2642.7314,-0.0126,3629.67,727.76
55,2021-12-16,2657.4862,2678.5989,2653.872,2676.4401,0.0062,3512.95,693.85
56,2021-12-15,2668.9968,2680.8607,2657.1578,2660.026,-0.0055000000000000005,3343.71,616.91
