,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,4876.9412,4909.458,4769.5757,4793.3001,-0.0155,4386.82,1121.44
1,2022-03-07,4996.7866,4998.179,4853.7324,4868.9162,-0.0348,4491.31,1093.68
2,2022-03-04,5072.3246,5096.1491,5025.8499,5044.584,-0.0158,3470.75,907.26
3,2022-03-03,5176.3744,5179.161,5113.8953,5125.3238,-0.0051,4089.12,833.47
4,2022-03-02,5182.9035,5182.9035,5127.9028,5151.4998,-0.011200000000000002,3345.43,764.19
5,2022-03-01,5178.8205,5214.114,5164.8243,5209.7732,0.0105,2944.39,911.82
6,2022-02-28,5127.4778,5155.4713,5098.7381,5155.4713,0.0023,3195.01,819.6
7,2022-02-25,5122.3485,5190.5228,5122.3485,5143.5236,0.0129,3598.79,920.78
8,2022-02-24,5138.1527,5161.8856,5031.9458,5077.8819,-0.0196,4805.17,1149.97
9,2022-02-23,5132.3265,5182.0797,5124.1977,5179.2291,0.0115,3038.41,872.06
10,2022-02-22,5160.8258,5160.8258,5085.766,5120.4036,-0.0155,2991.09,832.89
11,2022-02-21,5229.6251,5229.6251,5178.0611,5200.9948,-0.0076,2733.12,695.77
12,2022-02-18,5197.6073,5241.7794,5185.594,5240.8038,0.0023,2490.08,641.3
13,2022-02-17,5206.0279,5249.3674,5196.2294,5228.6912,0.0040999999999999995,2477.54,732.26
14,2022-02-16,5212.3466,5239.0666,5195.1799,5207.4144,0.0034000000000000002,2462.63,710.42
15,2022-02-15,5128.5239,5191.5364,5122.7872,5189.8645,0.0123,2896.35,897.62
16,2022-02-14,5142.8205,5176.1684,5098.3707,5126.8591,-0.0078000000000000005,3766.6,1002.27
17,2022-02-11,5196.998,5246.354,5158.0413,5167.2904,-0.0126,3990.96,1115.53
18,2022-02-10,5269.2575,5269.4525,5188.3777,5233.2715,-0.0051,3633.71,1075.56
19,2022-02-09,5209.7993,5270.2012,5190.7634,5259.8423,0.0096,3518.72,934.51
20,2022-02-08,5243.8673,5244.407,5097.1175,5209.6134,-0.0102,3433.09,947.49
21,2022-02-07,5285.7285,5314.9396,5245.0697,5263.2634,0.0151,3254.96,887.7
22,2022-01-28,5284.6957,5308.6515,5177.9143,5185.0945,-0.0134,3078.46,966.46
23,2022-01-27,5347.2668,5348.7681,5250.4667,5255.7404,-0.0184,2534.99,792.35
24,2022-01-26,5327.1794,5354.9927,5271.7083,5354.3121,0.0105,2397.55,738.5
25,2022-01-25,5374.9662,5403.7129,5297.5128,5298.8206,-0.020499999999999997,2899.15,802.29
26,2022-01-24,5370.865,5432.7989,5358.7178,5409.8157,0.0013,2566.37,758.95
27,2022-01-21,5441.4131,5444.8167,5372.434,5402.9686,-0.0103,3177.35,859.11
28,2022-01-20,5385.61,5485.7281,5384.5227,5459.036,0.0123,3420.45,916.6
29,2022-01-19,5433.7333,5453.7838,5361.121,5392.7569,-0.005600000000000001,3191.91,910.14
30,2022-01-18,5373.8343,5440.9507,5350.3215,5422.8579,0.0091,3118.73,831.71
31,2022-01-17,5333.5849,5384.4517,5324.8598,5373.8631,0.0089,2391.17,795.98
32,2022-01-14,5336.707,5371.209,5323.3277,5326.5617,-0.0068000000000000005,2966.99,796.16
33,2022-01-13,5474.9635,5474.9635,5362.9665,5363.2637,-0.0178,3289.57,929.88
34,2022-01-12,5423.8781,5470.6302,5419.0473,5460.5884,0.0126,3360.73,991.59
35,2022-01-11,5448.5026,5461.5312,5388.0405,5392.5721,-0.012199999999999999,3310.76,883.75
36,2022-01-10,5414.5411,5471.2792,5370.1479,5459.3626,0.005,3460.39,970.13
