,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,2102.8044,2118.1344,2058.8528,2068.1376,-0.0209,4783.16,850.46
1,2022-03-07,2141.2035,2141.2115,2106.8519,2112.2283,-0.0242,4917.43,862.03
2,2022-03-04,2172.2719,2180.2604,2158.914,2164.5271,-0.0168,3627.66,728.96
3,2022-03-03,2208.9006,2212.363,2196.5129,2201.5903,0.0009,3991.59,649.54
4,2022-03-02,2206.838,2210.1767,2195.1478,2199.6759,-0.006999999999999999,3086.21,558.45
5,2022-03-01,2209.0036,2222.9684,2198.5016,2215.2649,0.0068000000000000005,2972.25,638.41
6,2022-02-28,2188.8499,2200.47,2170.6554,2200.2508,0.0034999999999999996,3800.8,690.35
7,2022-02-25,2207.3517,2219.1979,2187.3075,2192.6254,-0.0004,3488.36,635.69
8,2022-02-24,2218.223,2231.8479,2175.7042,2193.5736,-0.0192,4758.65,855.34
9,2022-02-23,2227.8236,2237.9339,2225.0826,2236.454,0.0070999999999999995,3115.09,641.78
10,2022-02-22,2224.1926,2227.6754,2206.7602,2220.6847,-0.0132,3214.07,635.84
11,2022-02-21,2250.7141,2254.5388,2242.0272,2250.3684,-0.0043,2991.83,598.97
12,2022-02-18,2248.4113,2266.5428,2241.7633,2260.0621,0.0001,2686.04,489.95
13,2022-02-17,2256.3944,2267.0198,2250.6821,2259.7272,0.0016,2603.88,516.48
14,2022-02-16,2252.3121,2263.7723,2246.1519,2256.0497,0.006,2627.63,477.12
15,2022-02-15,2237.6831,2247.3435,2230.4128,2242.6218,0.001,2936.75,565.9
16,2022-02-14,2252.8607,2255.5215,2231.8861,2240.4385,-0.0109,3486.91,608.47
17,2022-02-11,2271.663,2288.9022,2260.7906,2265.0493,-0.0091,4055.72,742.24
18,2022-02-10,2307.6178,2307.627,2270.3954,2285.8652,-0.0053,3803.12,728.3
19,2022-02-09,2280.9207,2303.1075,2273.9404,2297.9772,0.0124,4077.19,706.51
20,2022-02-08,2276.5409,2276.7153,2237.169,2269.8686,-0.0033,4081.85,698.28
21,2022-02-07,2267.3396,2278.9891,2260.1502,2277.4383,0.0163,3746.81,661.66
22,2022-02-04,2239.5535,2242.1448,2230.3955,2241.0054,0.0062,475.02,110.2
23,2022-01-31,2220.5899,2229.9724,2216.2297,2227.1209,0.0029,321.35,68.46
24,2022-01-28,2255.2512,2261.8388,2215.4653,2220.6211,-0.0121,3217.9,646.04
25,2022-01-27,2283.5569,2283.5919,2241.1128,2247.7183,-0.0218,3097.09,623.74
26,2022-01-26,2285.5611,2304.0531,2273.2192,2297.7913,0.0104,2631.5,540.35
27,2022-01-25,2298.0515,2310.0931,2267.4991,2274.1994,-0.0192,3563.39,642.43
28,2022-01-24,2306.8661,2324.5965,2296.4455,2318.78,-0.0006,2983.99,587.65
29,2022-01-21,2332.8751,2337.532,2310.0731,2320.1778,-0.0078000000000000005,3594.47,682.44
30,2022-01-20,2310.0286,2341.4629,2310.0113,2338.3126,0.0086,3835.1,725.49
31,2022-01-19,2322.7701,2335.2295,2306.6378,2318.4605,-0.0025,3339.84,671.42
32,2022-01-18,2310.47,2333.1384,2299.6076,2324.2956,0.0055000000000000005,3630.38,662.66
33,2022-01-17,2302.0753,2323.7744,2301.892,2311.4872,0.004699999999999999,2707.04,582.33
34,2022-01-14,2299.1131,2309.0513,2291.1391,2300.652,-0.0058,3427.4,583.29
35,2022-01-13,2345.0549,2345.4079,2311.2033,2314.0928,-0.0102,3574.97,650.45
36,2022-01-12,2331.8659,2341.5568,2318.4645,2338.0376,0.011899999999999999,4054.43,807.34
37,2022-01-11,2330.8561,2336.0995,2303.6932,2310.4609,-0.008100000000000001,4043.25,738.96
38,2022-01-10,2315.5308,2332.4503,2304.374,2329.2971,0.0075,4231.92,758.86
39,2022-01-07,2301.1801,2323.3816,2300.895,2311.8769,0.008,4960.21,861.66
40,2022-01-06,2288.6949,2305.0246,2280.2743,2293.61,-0.0060999999999999995,3875.18,756.92
41,2022-01-05,2327.6881,2331.1664,2304.5963,2307.7646,-0.0103,4697.76,996.62
42,2022-01-04,2332.142,2334.6963,2304.4731,2331.8768,0.0054,3663.72,762.74
43,2022-01-03,2322.7572,2324.5722,2317.7239,2319.2373,-0.0006,185.15,39.94
44,2021-12-31,2319.6185,2326.9841,2314.7576,2320.6183,0.01,2563.86,589.09
45,2021-12-30,2298.234,2314.6532,2296.6379,2297.5861,-0.0009,2807.85,528.61
46,2021-12-29,2312.7695,2312.7716,2295.6594,2299.7342,-0.0072,2271.5,506.02
47,2021-12-28,2304.1526,2318.8705,2295.6617,2316.3588,0.006,3177.74,679.13
48,2021-12-27,2292.7759,2308.9625,2292.5557,2302.5776,0.0039000000000000003,2364.88,483.21
49,2021-12-24,2311.7419,2312.8044,2290.9378,2293.6857,-0.0069,2824.13,571.37
50,2021-12-23,2290.3747,2311.0862,2287.43,2309.6471,0.0111,2814.3,632.27
51,2021-12-22,2289.271,2290.7532,2276.2695,2284.3001,0.0024,2964.13,597.45
52,2021-12-21,2249.1836,2283.6629,2249.1701,2278.7846,0.013000000000000001,3101.29,615.76
53,2021-12-20,2272.6688,2286.753,2243.848,2249.5706,-0.0134,3502.17,720.42
54,2021-12-17,2299.294,2304.145,2279.7622,2280.0987,-0.0126,3629.67,727.76
55,2021-12-16,2292.8288,2311.0445,2289.7105,2309.1819,0.0062,3512.95,693.85
56,2021-12-15,2302.76,2312.9959,2292.5455,2295.0201,-0.0055000000000000005,3343.71,616.91
57,2021-12-14,2325.4823,2328.1612,2304.308,2307.8,-0.0128,3941.14,760.4
58,2021-12-13,2340.0572,2365.7767,2337.6702,2337.6702,0.0079,4934.8,1028.6
59,2021-12-10,2314.0085,2327.6043,2310.7647,2319.426,-0.0026,8550.17,1011.06
60,2021-12-09,2311.2591,2331.2846,2305.8546,2325.4595,0.005600000000000001,9420.18,1090.97
61,2021-12-08,2294.612,2312.8028,2287.4338,2312.4159,0.0104,6876.85,944.82
62,2021-12-07,2289.9772,2293.2219,2263.1697,2288.6276,0.006,7430.84,950.23
63,2021-12-06,2291.9052,2305.8425,2273.1631,2275.0599,-0.0078000000000000005,6894.48,887.93
64,2021-12-03,2263.2603,2294.0087,2253.0849,2293.0085,0.0127,6774.68,909.34
65,2021-12-02,2264.0207,2274.1955,2256.0614,2264.1569,-0.0013,6934.27,820.06
66,2021-12-01,2258.1074,2267.5097,2250.5062,2267.0622,0.002,5571.27,776.07
67,2021-11-30,2269.051,2280.6626,2251.4488,2262.5784,0.0012,6330.16,806.82
68,2021-11-29,2228.4634,2259.9403,2223.878,2259.9403,-0.0014000000000000002,6758.28,861.0
69,2021-11-26,2269.5762,2276.1563,2257.2148,2263.1502,-0.006500000000000001,6691.6,769.8
