,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,2181.3917,2193.2014,2129.1087,2137.3187,-0.0209,2334.3,666.63
1,2022-03-07,2231.894,2231.905,2178.6489,2182.8712,-0.0355,2542.07,705.13
2,2022-03-04,2279.1624,2280.1967,2257.1576,2263.1172,-0.020099999999999996,2093.54,646.52
3,2022-03-03,2324.7683,2329.1183,2306.4896,2309.4657,-0.0011,1629.62,471.45
4,2022-03-02,2332.6056,2333.6901,2310.79,2311.9165,-0.0167,1557.02,447.55
5,2022-03-01,2351.1249,2357.6561,2332.4658,2351.1007,0.0016,1704.32,531.65
6,2022-02-28,2358.1529,2358.1962,2331.1892,2347.2968,-0.0063,1764.1,551.78
7,2022-02-25,2366.9881,2386.6526,2357.3982,2362.1299,0.0033,1755.21,571.13
8,2022-02-24,2395.7453,2400.7596,2340.1498,2354.2692,-0.026600000000000002,2493.18,742.32
9,2022-02-23,2404.3579,2421.9091,2399.8564,2418.7016,0.0072,1913.67,558.13
10,2022-02-22,2411.3446,2411.3446,2386.5899,2401.3458,-0.0168,1863.75,557.85
11,2022-02-21,2444.683,2445.0359,2429.0027,2442.2612,-0.0031,1611.78,543.78
12,2022-02-18,2437.5804,2453.9647,2435.7577,2449.9008,0.0001,1550.41,459.46
13,2022-02-17,2450.7278,2457.8494,2439.1948,2449.752,0.0017000000000000001,1599.17,495.81
14,2022-02-16,2449.3301,2453.5962,2436.767,2445.6476,0.004699999999999999,1502.75,416.95
15,2022-02-15,2413.4236,2436.2299,2411.8482,2434.1682,0.0074,1686.31,513.14
16,2022-02-14,2445.96,2445.9977,2406.4882,2416.3277,-0.0169,1946.85,524.21
17,2022-02-11,2466.4142,2476.9193,2451.2777,2457.8707,-0.0058,2286.04,654.29
18,2022-02-10,2478.5447,2478.5573,2459.1111,2472.1143,0.0004,2026.55,521.99
19,2022-02-09,2458.6069,2475.3599,2456.7465,2471.1779,0.0097,1971.71,577.8
20,2022-02-08,2457.2441,2457.3061,2415.1965,2447.4512,-0.0038,1981.05,556.08
21,2022-02-07,2451.8382,2471.1422,2442.298,2456.6683,0.0134,1961.45,555.0
22,2022-02-04,2418.4171,2425.0574,2407.7547,2424.089,0.0105,384.37,153.57
23,2022-01-31,2396.5498,2405.1878,2387.559,2399.0038,0.0009,237.92,93.1
24,2022-01-28,2436.0697,2444.0216,2395.9861,2396.8722,-0.0124,2039.76,601.45
25,2022-01-27,2456.4697,2456.9675,2415.4495,2427.0243,-0.0169,2005.05,552.9
26,2022-01-26,2476.2192,2482.3771,2449.6777,2468.7405,0.0016,1663.49,467.43
27,2022-01-25,2501.2006,2507.5507,2458.2798,2464.8023,-0.0222,1948.5,555.57
28,2022-01-24,2514.0893,2528.8689,2505.8388,2520.8123,-0.0026,1666.27,475.02
29,2022-01-21,2536.9731,2542.8888,2518.6829,2527.4569,-0.0021,2020.03,634.27
30,2022-01-20,2496.0339,2533.6662,2496.0091,2532.8592,0.0172,2477.02,808.62
31,2022-01-19,2505.9005,2509.8704,2477.3828,2490.1171,-0.0042,1774.08,568.71
32,2022-01-18,2502.0583,2512.8091,2492.0374,2500.6517,0.0001,2042.86,625.97
33,2022-01-17,2493.7961,2508.5645,2493.2052,2500.2915,0.0053,2391.46,616.99
34,2022-01-14,2481.7923,2492.5531,2474.1317,2487.0489,-0.0029,2424.12,649.54
35,2022-01-13,2531.3454,2531.3454,2491.527,2494.2321,-0.0113,2165.0,616.12
36,2022-01-12,2510.2523,2524.5113,2505.7375,2522.7582,0.010700000000000001,2227.69,721.98
37,2022-01-11,2511.2316,2514.6311,2489.1818,2496.0162,-0.0064,2448.28,669.15
38,2022-01-10,2490.9407,2514.6544,2479.8443,2512.2053,0.0098,2288.56,632.88
39,2022-01-07,2478.0145,2497.7832,2474.7087,2487.9478,0.0083,2380.93,696.23
40,2022-01-06,2471.9339,2479.5602,2451.758,2467.357,-0.009399999999999999,2073.02,618.96
41,2022-01-05,2519.088,2522.8299,2484.4412,2490.7042,-0.0143,2829.49,841.78
42,2022-01-04,2543.891,2545.0801,2508.178,2526.8047,-0.0004,2507.4,705.19
43,2022-01-03,2531.5791,2537.1791,2524.8785,2527.8465,-0.0011,330.41,54.79
44,2021-12-31,2533.3273,2540.543,2526.6998,2530.6303,0.005600000000000001,1756.37,476.22
45,2021-12-30,2511.9787,2525.8625,2505.9411,2516.4255,0.0031,1696.01,456.89
46,2021-12-29,2531.5331,2531.5331,2504.784,2508.7127,-0.0079,1840.01,487.3
47,2021-12-28,2518.6898,2528.652,2513.5848,2528.652,0.0053,1682.47,510.95
48,2021-12-27,2514.4176,2526.7021,2510.4715,2515.4213,0.0012,1407.47,370.54
49,2021-12-24,2532.0381,2532.0503,2506.8766,2512.3738,-0.0049,1631.28,455.93
50,2021-12-23,2525.3196,2530.6098,2513.706,2524.6842,0.0034999999999999996,1636.05,516.83
51,2021-12-22,2518.2481,2527.3212,2510.528,2515.9875,0.0034999999999999996,1764.46,491.84
52,2021-12-21,2477.7886,2512.3791,2477.5314,2507.2309,0.0124,1851.64,484.19
53,2021-12-20,2507.2113,2518.918,2473.7617,2476.6277,-0.0144,1901.13,565.91
54,2021-12-17,2539.7808,2539.7929,2512.7361,2512.7361,-0.0121,1900.2,563.23
55,2021-12-16,2528.1827,2545.8247,2517.9086,2543.6286,0.0062,1838.3,553.52
56,2021-12-15,2541.9166,2552.8728,2524.5053,2527.8397,-0.0058,2044.06,523.06
57,2021-12-14,2566.7224,2569.8256,2539.4578,2542.5431,-0.0155,2331.87,600.86
58,2021-12-13,2605.3652,2617.5499,2582.6583,2582.6583,-0.0033,2384.5,720.5
59,2021-12-10,2588.0344,2600.6224,2587.6579,2591.2037,-0.0043,2083.07,618.75
60,2021-12-09,2571.9809,2608.6961,2569.1788,2602.4612,0.0137,2678.67,749.19
61,2021-12-08,2555.118,2568.5254,2541.5464,2567.1689,0.0087,1735.02,578.12
62,2021-12-07,2546.8381,2547.2321,2521.5288,2545.0111,0.011200000000000002,1915.34,692.85
63,2021-12-06,2509.8066,2544.727,2509.7922,2516.9053,-0.0042,2014.72,710.13
64,2021-12-03,2517.8237,2528.1918,2503.1245,2527.5808,0.0022,1582.21,589.72
65,2021-12-02,2503.9048,2522.076,2501.1292,2522.076,0.0048,1535.67,539.34
