,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,5136.1212,5167.4296,4903.4141,4926.5569,-0.0431,563.94,147.48
1,2022-03-07,5289.0079,5289.0079,5066.3917,5148.6366,-0.032799999999999996,549.42,142.09
2,2022-03-04,5393.1807,5403.6881,5305.8003,5322.9993,-0.025699999999999997,501.06,127.73
3,2022-03-03,5488.0275,5550.7972,5442.613,5463.3992,-0.001,413.57,95.48
4,2022-03-02,5586.3113,5586.3113,5452.467,5469.1004,-0.0248,363.92,78.07
5,2022-03-01,5565.5708,5637.0744,5548.2748,5608.1143,0.0121,333.21,97.24
6,2022-02-28,5581.0334,5611.7957,5447.1694,5541.2828,-0.0067,444.06,124.38
7,2022-02-25,5553.6873,5638.743,5534.6473,5578.7545,0.0139,302.35,89.35
8,2022-02-24,5703.3236,5703.3236,5458.6494,5502.542,-0.0433,439.15,123.11
9,2022-02-23,5715.0698,5768.2754,5708.2007,5751.7047,0.0064,248.18,77.48
10,2022-02-22,5798.0844,5798.0844,5641.5149,5715.0518,-0.0225,366.88,99.93
11,2022-02-21,5893.5214,5910.2251,5797.8448,5846.3077,-0.0111,277.72,86.27
12,2022-02-18,5933.7818,5964.76,5898.9499,5912.105,-0.0063,305.9,89.67
13,2022-02-17,5889.0611,5953.3116,5865.753,5949.6161,0.0126,319.45,112.79
14,2022-02-16,5880.1179,5895.3228,5832.5999,5875.3474,0.0127,286.46,100.51
15,2022-02-15,5756.9511,5842.5031,5756.6426,5801.4007,0.0049,343.48,109.6
16,2022-02-14,5832.9741,5851.4349,5746.8558,5773.1249,-0.0152,355.58,111.79
17,2022-02-11,5877.5968,5939.2394,5805.6583,5862.2635,-0.0027,530.08,151.23
18,2022-02-10,5832.3947,5877.9625,5789.1877,5877.9625,0.0179,480.3,147.31
19,2022-02-09,5736.8572,5781.7793,5718.944,5774.8046,0.0184,453.98,173.83
20,2022-02-08,5777.6366,5778.9481,5606.8784,5670.5271,-0.0197,397.38,164.54
21,2022-02-07,5810.0076,5858.7906,5752.5878,5784.341,0.0005,311.72,94.86
22,2022-02-04,5641.4093,5786.9909,5606.4861,5781.176,0.0374,262.26,85.64
23,2022-01-31,5542.9614,5610.6757,5484.5618,5572.5197,0.008199999999999999,152.37,41.2
24,2022-01-28,5601.3559,5612.7507,5425.3755,5527.0187,-0.0132,414.83,108.43
25,2022-01-27,5787.0023,5787.0023,5521.1241,5601.1373,-0.0338,426.17,108.57
26,2022-01-26,5921.1001,5947.2667,5781.3182,5797.1727,-0.0181,467.3,120.64
27,2022-01-25,6009.366,6035.651,5862.5217,5903.7372,-0.025,435.26,124.88
28,2022-01-24,6052.4442,6099.5621,6005.2108,6054.8529,-0.004699999999999999,338.61,104.2
29,2022-01-21,6057.8961,6108.5468,6010.9756,6083.2947,0.004,437.4,125.13
30,2022-01-20,5887.4664,6058.854,5876.04,6058.854,0.0352,526.81,148.72
31,2022-01-19,5848.7206,5905.6729,5810.2157,5852.8849,0.004699999999999999,368.77,106.39
32,2022-01-18,5805.7624,5907.243,5797.5225,5825.5529,0.0053,371.15,100.08
33,2022-01-17,5902.9034,5902.9034,5771.8532,5795.093,-0.0171,323.56,98.99
34,2022-01-14,5851.9518,5896.0768,5800.4974,5896.0768,0.002,260.03,87.72
35,2022-01-13,6026.7759,6031.4416,5865.837,5884.4274,-0.02,357.8,113.29
36,2022-01-12,5899.0162,6004.5809,5899.0162,6004.5809,0.0256,421.35,145.28
37,2022-01-11,5828.1267,5911.4604,5808.0737,5854.7086,0.0011,444.9,130.14
38,2022-01-10,5676.9512,5855.2198,5634.4814,5848.3773,0.0305,423.94,119.99
39,2022-01-07,5653.6311,5679.1236,5573.609,5675.4194,0.0073,496.82,126.12
40,2022-01-06,5680.1128,5685.495,5533.8684,5634.5284,-0.0102,450.87,139.72
41,2022-01-05,5862.0416,5862.0416,5673.1685,5692.4369,-0.0316,422.85,141.55
42,2022-01-04,5937.6707,5986.322,5844.612,5878.2422,-0.01,369.51,139.87
43,2022-01-03,6060.7962,6071.4046,5885.712,5937.6707,-0.0169,149.13,48.93
44,2021-12-31,5952.4338,6062.673,5950.2783,6039.7267,0.026600000000000002,157.23,51.26
45,2021-12-30,5847.4499,5891.4916,5808.9495,5883.1577,0.008,152.31,54.05
46,2021-12-29,5982.9826,5982.9826,5809.1521,5836.3751,-0.0253,172.05,53.78
47,2021-12-28,6000.5113,6026.2252,5945.6128,5987.6364,-0.0001,347.88,93.53
48,2021-12-24,6081.7607,6087.3414,5960.5216,5988.0781,-0.0085,185.76,41.76
49,2021-12-23,6050.4266,6077.0309,6010.5381,6039.6605,-0.0001,289.71,68.42
50,2021-12-22,6014.8398,6053.749,5983.7642,6040.1307,0.0070999999999999995,260.7,93.74
51,2021-12-21,5875.3447,6009.5727,5872.9365,5997.3292,0.0206,364.49,115.93
52,2021-12-20,6143.9684,6147.8679,5863.3152,5876.4861,-0.0461,379.94,141.32
53,2021-12-17,6296.4133,6315.1634,6152.7876,6160.7536,-0.019299999999999998,545.56,198.57
54,2021-12-16,6140.1928,6288.4627,6137.0195,6282.2482,0.022000000000000002,401.84,196.68
55,2021-12-15,6317.1696,6375.9997,6092.4989,6146.82,-0.0265,462.65,191.87
56,2021-12-14,6420.2295,6439.7254,6306.812,6313.9283,-0.020099999999999996,346.05,112.24
57,2021-12-13,6535.276,6581.1904,6443.4646,6443.4646,-0.009399999999999999,320.27,102.89
58,2021-12-10,6570.5907,6588.8931,6484.4746,6504.52,-0.016,334.9,142.91
59,2021-12-09,6515.4388,6615.7496,6498.2912,6609.9893,0.0212,404.26,141.61
60,2021-12-08,6442.1486,6479.344,6402.7241,6472.9266,0.011000000000000001,415.7,149.51
61,2021-12-07,6295.7088,6402.7599,6295.7088,6402.7599,0.0286,827.82,236.21
62,2021-12-06,6365.3354,6411.0894,6220.8863,6224.9801,-0.028900000000000002,519.16,264.7
63,2021-12-03,6421.4525,6429.9056,6364.8916,6410.4963,-0.0019,456.22,203.17
64,2021-12-02,6415.2052,6486.166,6392.5797,6422.9432,-0.0013,336.12,164.19
65,2021-12-01,6474.7266,6519.5781,6425.161,6431.0417,-0.0042,398.99,179.48
66,2021-11-30,6486.7553,6526.8474,6347.8373,6458.4154,-0.0014000000000000002,865.81,306.3
