,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,11137.7139,11260.3148,10813.7771,10847.8842,-0.024900000000000002,537.61,204.99
1,2022-03-07,11505.1379,11505.1725,11093.2,11124.4504,-0.042199999999999994,570.48,217.83
2,2022-03-04,11486.7863,11747.7691,11453.6518,11614.0652,-0.0083,559.21,207.88
3,2022-03-03,11859.4876,11877.7145,11676.2168,11710.9127,-0.0060999999999999995,394.73,154.93
4,2022-03-02,11910.0178,11910.0178,11714.8215,11782.9496,-0.015700000000000002,369.38,139.04
5,2022-03-01,11890.3827,12030.2136,11878.516,11971.114,0.0106,421.45,173.26
6,2022-02-28,11865.9654,11925.713,11688.0424,11845.6328,-0.0042,432.62,183.18
7,2022-02-25,11634.3158,11991.081,11634.1625,11895.0665,0.037000000000000005,488.12,246.34
8,2022-02-24,11674.62,11832.6074,11364.2188,11470.9587,-0.0253,539.23,242.31
9,2022-02-23,11558.1663,11790.8639,11545.5969,11768.1114,0.0209,305.23,151.97
10,2022-02-22,11644.6748,11666.7675,11460.6515,11527.0267,-0.0219,343.01,165.69
11,2022-02-21,11809.7311,11870.7485,11686.3009,11784.5194,0.005699999999999999,376.85,183.07
12,2022-02-18,11633.4149,11756.8253,11518.605,11717.5505,-0.0011,347.05,160.61
13,2022-02-17,11661.2503,11773.8804,11599.4609,11730.5785,0.0060999999999999995,327.47,151.7
14,2022-02-16,11660.7833,11750.7359,11621.686,11659.9682,0.006500000000000001,394.22,205.51
15,2022-02-15,11098.2546,11587.5346,11094.8153,11584.5779,0.0438,462.39,248.74
16,2022-02-14,11054.7516,11268.936,11051.5527,11098.8767,-0.0037,415.16,202.99
17,2022-02-11,11400.8888,11465.1989,11087.8218,11139.6024,-0.0339,523.99,235.31
18,2022-02-10,11655.7991,11705.1449,11468.4479,11530.865,-0.0098,442.6,246.03
19,2022-02-09,11694.1937,11694.3535,11469.3835,11645.324,0.0043,485.45,249.19
20,2022-02-08,11627.4569,11627.6556,11310.9605,11595.2253,-0.032799999999999996,430.04,216.25
21,2022-02-07,12052.2128,12179.3554,11946.9181,11988.1812,0.0098,329.95,163.79
22,2022-02-04,11886.6429,11900.5607,11758.0826,11871.6484,0.0083,72.55,16.56
23,2022-01-31,11730.5107,11794.1098,11681.745,11773.3619,0.009399999999999999,59.25,10.27
24,2022-01-28,11855.1918,11899.9356,11619.4885,11664.2235,-0.0152,373.09,171.2
25,2022-01-27,11986.5991,12007.5515,11745.6057,11843.6945,-0.0154,447.46,210.57
26,2022-01-26,12382.5771,12414.1608,11995.6697,12028.9134,-0.0297,447.12,216.31
27,2022-01-25,12643.4102,12663.7577,12356.0728,12397.408,-0.0242,514.84,215.62
28,2022-01-24,12681.8902,12898.8028,12681.8902,12705.4983,-0.0121,502.25,279.57
29,2022-01-21,13072.0654,13110.7024,12810.8315,12861.1466,-0.0161,673.75,284.14
30,2022-01-20,13038.9165,13160.4386,13024.4403,13071.5027,-0.0011,451.82,193.69
31,2022-01-19,13441.1694,13459.6738,13007.3831,13086.3122,-0.0296,529.87,259.01
32,2022-01-18,13590.348,13716.3585,13447.574,13484.8936,-0.0084,617.96,244.72
33,2022-01-17,13606.6911,13658.1264,13489.0909,13599.127,0.001,748.04,283.2
34,2022-01-14,13366.4659,13627.6383,13316.5855,13585.8866,0.0064,790.01,290.69
35,2022-01-13,13812.3673,13816.4778,13477.8572,13498.8669,-0.019299999999999998,538.44,239.72
36,2022-01-12,13622.2052,13776.2622,13566.7486,13765.1561,0.016200000000000003,497.05,229.37
37,2022-01-11,13413.2017,13627.2053,13386.9915,13546.157,0.0077,570.21,241.24
38,2022-01-10,13160.019,13484.1751,13066.3565,13442.7384,0.0252,604.0,246.3
39,2022-01-07,13074.1525,13183.822,13031.1464,13111.7923,0.0055000000000000005,521.57,235.39
40,2022-01-06,12960.7489,13073.7334,12785.4719,13040.6243,-0.0072,492.2,226.47
41,2022-01-05,13333.3211,13333.3211,13070.1961,13134.9153,-0.0189,480.02,233.6
42,2022-01-04,13673.9634,13689.1199,13309.5173,13387.4675,-0.0305,601.08,284.91
43,2022-01-03,13942.59,13944.1381,13757.2349,13808.859,-0.0087,68.03,14.4
44,2021-12-31,13949.9546,14005.2684,13896.4465,13929.4788,0.0073,366.97,181.47
45,2021-12-30,13762.3961,13828.2288,13655.9197,13828.2288,0.0036,306.78,152.68
46,2021-12-29,13872.6018,14023.2641,13755.5295,13778.9321,-0.0104,369.09,178.87
47,2021-12-28,13856.5794,13928.7545,13668.3862,13923.6988,0.005,365.57,207.24
48,2021-12-27,13830.6682,13855.432,13754.6013,13853.8526,0.0019,254.65,144.04
49,2021-12-24,13865.7698,13889.993,13766.3024,13827.8348,-0.0006,319.82,164.97
50,2021-12-23,13982.5805,13991.4429,13817.7333,13836.0379,-0.0063,298.64,151.59
51,2021-12-22,14015.1201,14016.4341,13874.8241,13924.3588,-0.0084,299.59,151.33
52,2021-12-21,13920.7747,14052.9828,13872.6322,14042.0185,0.0127,365.77,179.56
53,2021-12-20,14150.5261,14256.0952,13833.0485,13866.4665,-0.0218,511.76,266.69
54,2021-12-17,14524.3975,14592.8211,14122.6708,14175.5798,-0.0129,489.11,294.65
55,2021-12-16,13968.8536,14379.2093,13968.7199,14360.2638,0.0187,565.36,358.3
