,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,3757.6896,3781.64,3648.0685,3663.31,-0.0223,626.69,252.13
1,2022-03-07,3829.4792,3829.4792,3695.8383,3746.8277,-0.038599999999999995,618.74,296.74
2,2022-03-04,3936.2514,3953.8696,3883.4349,3897.2777,-0.0275,617.57,313.69
3,2022-03-03,4015.8793,4052.4969,3992.371,4007.4504,0.002,454.25,220.05
4,2022-03-02,4107.5901,4107.5901,3988.7469,3999.5075,-0.0336,389.72,172.49
5,2022-03-01,4137.8648,4167.1695,4101.4624,4138.7689,0.0024,421.83,189.19
6,2022-02-28,4185.2793,4187.9217,4075.4387,4128.8527,-0.0137,676.47,255.18
7,2022-02-25,4197.4218,4250.2881,4164.293,4186.211,0.0025,380.57,212.51
8,2022-02-24,4297.9953,4302.9298,4149.3241,4175.6756,-0.0393,581.06,308.24
9,2022-02-23,4337.4725,4355.445,4296.9415,4346.2783,0.0060999999999999995,341.86,181.43
10,2022-02-22,4347.9016,4349.2564,4260.4795,4320.0092,-0.0233,432.57,241.02
11,2022-02-21,4425.0751,4447.167,4398.6493,4423.2623,-0.0059,353.4,289.07
12,2022-02-18,4462.1006,4485.4774,4444.7843,4449.4488,-0.0083,352.89,195.88
13,2022-02-17,4447.9439,4486.7476,4423.6754,4486.7476,0.0079,411.31,149.82
14,2022-02-16,4434.9549,4464.557,4408.4048,4451.492,0.0165,367.95,142.3
15,2022-02-15,4352.4349,4421.4046,4348.4647,4379.2602,0.0028000000000000004,384.42,147.93
16,2022-02-14,4412.7356,4422.0555,4348.604,4366.9565,-0.0178,363.4,148.17
17,2022-02-11,4463.0617,4477.4022,4408.952,4446.0681,-0.0049,480.03,193.15
18,2022-02-10,4477.559,4478.2603,4402.5606,4468.0534,0.0096,408.67,183.55
19,2022-02-09,4398.2771,4441.1406,4391.636,4425.5405,0.0187,412.18,211.63
20,2022-02-08,4385.0707,4387.331,4301.2432,4344.1107,-0.0072,392.31,170.39
21,2022-02-07,4391.542,4430.1083,4346.0027,4375.5045,-0.0003,432.3,165.63
22,2022-02-04,4337.117,4382.641,4264.6095,4376.6409,0.029300000000000003,335.29,175.97
23,2022-01-31,4229.987,4283.2874,4185.1287,4252.1921,0.0077,195.56,100.07
24,2022-01-28,4286.8931,4295.1919,4208.9395,4219.7062,-0.0137,409.62,187.49
25,2022-01-27,4316.1596,4316.1596,4229.9457,4278.5112,-0.0174,387.73,181.38
