,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,2397.2895,2439.4871,2395.8034,2424.338,0.0152,31.5,5.43
1,2022-03-07,2406.868,2406.8898,2368.6853,2388.1574,-0.0102,23.77,4.58
2,2022-03-04,2409.9858,2414.8747,2390.1156,2412.8721,-0.0029,22.04,4.92
3,2022-03-03,2399.1956,2428.7559,2399.1956,2419.866,0.009899999999999999,17.7,3.78
4,2022-03-02,2439.193,2439.1957,2393.223,2396.0378,-0.0215,34.06,4.7
5,2022-03-01,2454.6649,2461.1302,2442.3804,2448.7746,-0.0037,17.37,3.94
6,2022-02-28,2480.5953,2481.6163,2439.1548,2457.8291,-0.0097,46.27,6.15
7,2022-02-25,2501.6047,2502.3422,2481.3408,2481.9813,-0.0078000000000000005,27.34,4.36
8,2022-02-24,2541.7174,2545.2722,2493.499,2501.4161,-0.0172,34.96,5.94
9,2022-02-23,2558.2976,2560.2704,2540.1459,2545.24,-0.005699999999999999,20.08,3.82
10,2022-02-22,2568.9218,2570.4654,2549.628,2559.7785,-0.006500000000000001,19.11,4.16
11,2022-02-21,2583.6259,2584.43,2569.3011,2576.645,-0.0029,12.76,2.84
12,2022-02-18,2577.2768,2585.4893,2573.7072,2584.2016,0.0009,14.41,3.86
13,2022-02-17,2596.2065,2596.2284,2577.6665,2581.9472,-0.0055000000000000005,19.63,6.59
14,2022-02-16,2590.5394,2597.0887,2583.8979,2596.1174,0.0024,14.1,2.62
15,2022-02-15,2586.3494,2601.0907,2583.6479,2589.8349,0.0014000000000000002,16.71,3.76
16,2022-02-14,2602.4343,2602.4343,2585.7256,2586.279,-0.0064,18.38,4.47
17,2022-02-11,2600.3106,2606.1061,2590.9906,2602.8174,-0.0013,34.31,10.71
18,2022-02-10,2608.5595,2612.0074,2598.7611,2606.1644,0.0,20.61,4.54
19,2022-02-09,2596.8961,2607.2717,2593.2892,2606.1425,0.004699999999999999,19.08,4.39
20,2022-02-08,2598.9243,2606.3753,2590.5732,2593.8307,-0.0005,19.15,3.5
21,2022-02-07,2586.5643,2598.8427,2584.0929,2595.0372,0.0037,15.78,3.65
22,2022-02-04,2570.6722,2591.1248,2568.7756,2585.412,0.0077,23.35,5.6
23,2022-01-31,2576.0397,2577.1378,2559.4359,2565.5541,-0.0034999999999999996,15.75,3.98
24,2022-01-28,2590.9448,2596.4785,2568.9966,2574.4487,-0.005699999999999999,19.36,5.07
25,2022-01-27,2610.6827,2610.7789,2582.0765,2589.1617,-0.0070999999999999995,18.27,3.88
26,2022-01-26,2602.9391,2612.878,2596.8368,2607.7099,0.0044,30.93,2.9
27,2022-01-25,2603.729,2603.729,2586.4711,2596.4096,-0.0033,34.8,3.69
28,2022-01-24,2611.1073,2611.1073,2589.0046,2604.8883,-0.003,21.42,3.4
29,2022-01-21,2609.2246,2616.2455,2594.7129,2612.7902,0.0026,18.96,5.31
30,2022-01-20,2591.3268,2610.5567,2589.2534,2605.9788,0.0076,19.13,5.57
31,2022-01-19,2584.619,2591.9382,2577.4067,2586.2137,-0.0002,11.79,2.54
32,2022-01-18,2583.6918,2594.5016,2580.7908,2586.7262,0.0019,13.6,2.15
33,2022-01-17,2580.543,2585.4813,2575.2693,2581.8434,0.0,7.72,1.65
34,2022-01-14,2578.2558,2589.6707,2575.6723,2581.9153,0.0001,12.14,3.6
35,2022-01-13,2584.3514,2588.1457,2570.0544,2581.6036,-0.0002,14.91,3.15
36,2022-01-12,2597.913,2597.913,2575.8946,2582.1021,-0.0060999999999999995,13.74,4.18
37,2022-01-11,2595.1137,2600.0102,2583.8224,2597.9618,0.0005,12.67,3.46
38,2022-01-10,2573.6774,2596.7771,2568.9498,2596.7771,0.0102,12.98,3.02
39,2022-01-07,2572.393,2580.2796,2560.1335,2570.5185,-0.0004,15.36,3.53
40,2022-01-06,2594.2116,2594.2143,2561.5248,2571.5819,-0.008199999999999999,15.09,3.85
41,2022-01-05,2609.4339,2613.4102,2586.4208,2592.789,-0.0042,19.88,5.74
42,2022-01-04,2580.1755,2609.0803,2580.1755,2603.6203,0.0091,19.11,4.77
43,2022-01-03,2584.7428,2589.0744,2577.0738,2580.1864,-0.0002,9.4,1.39
44,2021-12-31,2582.0071,2583.084,2573.5345,2580.6925,0.0002,8.83,1.81
45,2021-12-30,2567.1703,2580.2076,2557.2882,2580.2076,0.005,11.11,2.12
46,2021-12-29,2563.0078,2567.2819,2555.6475,2567.2819,0.0034000000000000002,12.17,2.34
47,2021-12-28,2551.9476,2566.723,2551.9448,2558.6476,0.0027,11.66,2.13
48,2021-12-24,2554.8821,2557.3515,2545.9228,2551.7766,0.0037,5.46,1.37
49,2021-12-23,2541.8834,2549.1476,2537.032,2542.4962,0.0032,12.75,2.38
50,2021-12-22,2529.9111,2539.216,2523.5194,2534.4291,0.0029,8.58,1.84
51,2021-12-21,2520.1141,2533.437,2514.8007,2527.1995,0.0034999999999999996,13.65,2.24
52,2021-12-20,2537.0321,2537.2411,2508.0246,2518.3601,-0.0077,22.24,3.6
53,2021-12-17,2566.8497,2569.4652,2537.9521,2537.9521,-0.0128,33.32,5.3
54,2021-12-16,2550.34,2570.9734,2549.8478,2570.9734,0.006999999999999999,16.44,3.8
55,2021-12-15,2562.5699,2564.1492,2550.35,2553.1681,-0.0011,15.04,2.92
56,2021-12-14,2584.9939,2586.7043,2552.8711,2555.9776,-0.0079,16.5,3.01
57,2021-12-13,2594.5108,2597.608,2575.2897,2576.2375,-0.0063,14.4,3.86
58,2021-12-10,2578.8926,2596.0871,2574.9551,2592.4647,0.0029,16.68,2.91
59,2021-12-09,2582.0097,2593.0113,2576.2118,2585.0643,0.0028000000000000004,17.06,3.35
60,2021-12-08,2575.3518,2581.7525,2568.4428,2577.7353,0.0025,13.48,3.56
61,2021-12-07,2563.038,2581.6918,2562.9046,2571.278,0.0032,16.76,4.47
62,2021-12-06,2569.1177,2573.5403,2559.3612,2563.0578,-0.0024,13.49,3.65
63,2021-12-03,2563.2383,2576.8816,2556.772,2569.2186,0.0021,17.03,5.52
64,2021-12-02,2569.982,2573.9412,2561.7695,2563.8555,-0.0025,17.57,4.16
65,2021-12-01,2575.2055,2585.5143,2565.5622,2570.2558,-0.003,22.36,7.1
66,2021-11-30,2600.3398,2612.6093,2567.0101,2577.8713,-0.01,40.33,6.77
67,2021-11-29,2623.0127,2626.2911,2600.9753,2603.9229,-0.0098,16.28,3.06
68,2021-11-26,2660.8275,2660.8341,2623.3971,2629.6437,-0.0132,20.43,4.55
69,2021-11-25,2645.333,2664.905,2633.8124,2664.905,0.0086,21.03,4.21
70,2021-11-24,2618.646,2642.0776,2614.068,2642.0776,0.008,26.84,4.84
71,2021-11-23,2617.2866,2629.113,2613.4572,2621.0738,0.0016,18.31,3.88
72,2021-11-22,2616.0521,2622.7644,2606.1463,2617.0132,-0.0027,13.32,3.95
73,2021-11-19,2625.3043,2626.4464,2608.6593,2624.0439,-0.0023,20.62,6.02
74,2021-11-18,2628.0243,2630.1109,2618.0236,2630.1109,-0.0005,18.24,4.14
75,2021-11-17,2636.495,2640.1499,2629.9351,2631.4563,-0.0023,20.07,3.74
