,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,8684.654,8752.2389,8377.1391,8386.6382,-0.0359,977.09,215.77
1,2022-03-07,8876.866,8892.7706,8661.2548,8699.1599,-0.0184,825.53,185.72
2,2022-03-04,8931.9499,9048.1367,8816.7577,8862.1725,-0.013300000000000001,918.8,188.83
3,2022-03-03,9186.5108,9186.7744,8961.9472,8981.4391,-0.0215,827.88,190.75
4,2022-03-02,9242.9307,9242.9307,9127.7321,9178.9287,-0.008100000000000001,725.79,174.43
5,2022-03-01,9148.3666,9272.4881,9104.3897,9254.2062,0.013300000000000001,923.61,235.4
6,2022-02-28,9063.8872,9201.5464,9043.0256,9132.3354,0.0148,896.34,228.74
7,2022-02-25,8949.0401,9065.7548,8938.5019,8999.4659,-0.0012,888.69,215.21
8,2022-02-24,8953.7917,9192.1995,8870.8325,9010.1142,0.0032,1560.72,372.42
9,2022-02-23,8646.5192,8993.9635,8646.0529,8981.0118,0.0361,875.71,250.7
10,2022-02-22,8787.7744,8795.9435,8603.4761,8668.051,-0.0101,735.08,181.81
11,2022-02-21,8726.312,8826.9259,8719.2629,8756.5163,0.0042,673.6,159.29
12,2022-02-18,8679.6976,8720.1941,8644.8107,8719.8731,-0.0004,525.86,119.23
13,2022-02-17,8678.061,8757.0351,8613.1794,8723.7189,0.0027,633.6,160.32
14,2022-02-16,8786.3188,8791.0687,8675.5314,8700.2315,-0.0116,565.6,141.79
15,2022-02-15,8617.8948,8805.4496,8616.8557,8802.6379,0.0204,560.95,148.87
16,2022-02-14,8602.4258,8770.0332,8573.6155,8626.8561,0.0004,628.82,164.51
17,2022-02-11,8750.3957,8766.2567,8605.1324,8623.1877,-0.0183,602.82,140.8
18,2022-02-10,8856.6508,8884.1267,8746.7739,8784.0848,-0.0078000000000000005,572.32,139.76
19,2022-02-09,8654.3336,8860.7606,8626.3442,8853.0315,0.0223,756.92,188.96
