,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-07,,,,105.9603,0.0002,12.96,1302.23
1,2022-03-04,,,,105.9437,0.0002,12.37,1243.03
2,2022-03-03,,,,105.9177,-0.0007000000000000001,17.17,1725.54
3,2022-03-02,,,,105.9871,-0.0006,17.55,1767.31
4,2022-03-01,,,,106.0467,-0.0004,15.59,1572.12
5,2022-02-28,,,,106.0906,0.0004,14.98,1510.22
6,2022-02-25,,,,106.0525,0.0003,16.21,1632.27
7,2022-02-24,,,,106.0202,0.0005,15.58,1569.3
8,2022-02-23,,,,105.9651,0.0004,16.0,1610.11
9,2022-02-22,,,,105.9184,-0.0011,18.65,1879.61
10,2022-02-21,,,,106.0307,-0.001,21.96,2213.4
11,2022-02-18,,,,106.1351,-0.0004,14.13,1428.19
12,2022-02-17,,,,106.1816,0.0004,13.87,1401.63
13,2022-02-16,,,,106.1374,0.0002,18.21,1839.39
14,2022-02-15,,,,106.1199,0.0002,18.12,1831.02
15,2022-02-14,,,,106.0953,-0.0004,24.73,2492.72
16,2022-02-11,,,,106.137,-0.0019,22.74,2293.69
17,2022-02-10,,,,106.3391,0.0001,15.01,1519.21
18,2022-02-09,,,,106.3272,-0.0004,18.48,1872.19
19,2022-02-08,,,,106.3714,0.0002,17.36,1762.32
20,2022-02-07,,,,106.3492,0.0005,18.46,1869.34
21,2022-01-28,,,,106.2966,0.0003,5.68,575.32
22,2022-01-27,,,,106.2658,-0.0004,16.72,1693.58
23,2022-01-26,,,,106.3111,-0.0009,22.59,2291.82
24,2022-01-25,,,,106.41,0.0,23.02,2338.42
25,2022-01-24,,,,106.409,0.0014000000000000002,18.21,1846.85
26,2022-01-21,,,,106.258,0.0009,15.62,1581.09
27,2022-01-20,,,,106.1612,0.0003,21.54,2181.3
28,2022-01-19,,,,106.1243,0.0016,24.02,2431.53
29,2022-01-18,,,,105.9514,0.0012,19.42,1962.96
30,2022-01-17,,,,105.8254,0.0002,24.19,2439.77
31,2022-01-14,,,,105.8041,0.0001,16.7,1683.55
32,2022-01-13,,,,105.7972,0.0002,18.08,1821.66
33,2022-01-12,,,,105.7778,0.0004,19.21,1936.93
34,2022-01-11,,,,105.7311,0.0006,17.04,1716.56
35,2022-01-10,,,,105.6678,0.0007000000000000001,13.95,1404.67
36,2022-01-07,,,,105.5985,0.0,15.56,1565.65
37,2022-01-06,,,,105.5954,-0.0004,14.97,1506.99
38,2022-01-05,,,,105.6368,-0.0001,17.01,1714.12
39,2022-01-04,,,,105.6471,-0.0005,0.13,12.75
40,2021-12-31,,,,105.695,0.0004,3.94,396.82
41,2021-12-30,,,,105.6536,0.0008,8.12,816.75
42,2021-12-29,,,,105.5727,0.0007000000000000001,11.14,1121.16
43,2021-12-28,,,,105.4962,0.0004,11.05,1111.12
44,2021-12-27,,,,105.4533,0.0006,9.56,962.7
45,2021-12-24,,,,105.3928,-0.0003,9.91,997.77
46,2021-12-23,,,,105.4215,0.0007000000000000001,13.57,1364.13
47,2021-12-22,,,,105.3511,0.0004,13.76,1380.81
48,2021-12-21,,,,105.3068,-0.0002,10.15,1018.91
49,2021-12-20,,,,105.3317,-0.0002,22.98,2306.4
50,2021-12-17,,,,105.3504,0.0001,11.99,1204.12
51,2021-12-16,,,,105.3414,-0.0001,12.07,1211.59
52,2021-12-15,,,,105.3506,0.0001,13.68,1373.77
53,2021-12-14,,,,105.3364,0.0005,13.98,1405.03
54,2021-12-13,,,,105.2888,0.0001,21.95,2199.52
55,2021-12-10,,,,105.28,-0.0003,10.79,1082.98
56,2021-12-09,,,,105.311,0.0,8.92,895.74
57,2021-12-08,,,,105.3097,-0.0003,13.23,1327.88
58,2021-12-07,,,,105.3465,-0.0004,12.9,1297.87
59,2021-12-06,,,,105.3891,0.0007000000000000001,21.12,2116.86
60,2021-12-03,,,,105.3163,-0.0011,10.41,1044.87
61,2021-12-02,,,,105.435,-0.0004,9.59,965.38
62,2021-12-01,,,,105.4793,-0.0003,11.33,1138.96
63,2021-11-30,,,,105.5144,-0.0001,12.52,1261.25
64,2021-11-29,,,,105.5296,-0.0001,13.26,1334.13
65,2021-11-26,,,,105.538,0.0007000000000000001,9.97,1002.63
66,2021-11-25,,,,105.4635,0.0002,11.43,1148.12
67,2021-11-24,,,,105.4385,0.0005,10.53,1056.45
68,2021-11-23,,,,105.3846,-0.0003,9.66,968.79
69,2021-11-22,,,,105.4141,-0.0003,13.07,1311.6
70,2021-11-19,,,,105.4459,-0.0006,9.67,969.65
71,2021-11-18,,,,105.5054,0.0003,9.68,971.53
72,2021-11-17,,,,105.4712,-0.0004,11.1,1114.97
73,2021-11-16,,,,105.5124,0.0003,10.36,1039.71
74,2021-11-15,,,,105.4844,0.0006,17.33,1734.9
75,2021-11-12,,,,105.4225,0.0,10.67,1070.74
76,2021-11-11,,,,105.4191,-0.0004,11.83,1186.22
77,2021-11-10,,,,105.4612,0.0001,11.73,1177.23
78,2021-11-09,,,,105.4552,-0.0001,10.36,1040.16
79,2021-11-08,,,,105.463,0.0002,26.58,2658.87
80,2021-11-05,,,,105.4371,0.0004,12.11,1215.52
81,2021-11-04,,,,105.3969,0.0003,9.42,945.01
82,2021-11-03,,,,105.3699,-0.0001,11.1,1114.51
83,2021-11-02,,,,105.3802,0.0008,10.56,1058.54
84,2021-11-01,,,,105.2984,0.0007000000000000001,9.56,957.11
85,2021-10-29,,,,105.2224,0.0,7.21,720.97
86,2021-10-28,,,,105.2205,0.0003,9.57,957.63
87,2021-10-27,,,,105.1879,0.0001,10.33,1036.71
88,2021-10-26,,,,105.1736,0.0003,8.54,856.37
