,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,3364.5826,3385.9944,3288.9413,3302.7136,-0.0146,2948.83,1287.84
1,2022-03-07,3444.2528,3444.5538,3340.4723,3351.6442,-0.037599999999999995,2940.27,1266.74
2,2022-03-04,3506.334,3519.4788,3470.1873,3482.4586,-0.0176,2237.5,976.14
3,2022-03-03,3590.5017,3593.1666,3540.5383,3544.7753,-0.0086,2206.39,872.79
4,2022-03-02,3599.7134,3599.7134,3561.1809,3575.5197,-0.013600000000000001,1898.87,798.35
5,2022-03-01,3607.1425,3628.0355,3591.6184,3624.7607,0.009899999999999999,2114.63,1034.91
6,2022-02-28,3572.3177,3589.1373,3547.9546,3589.1373,0.0009,2150.09,903.08
7,2022-02-25,3580.4667,3621.6998,3578.2006,3585.7857,0.011000000000000001,2142.72,994.4
8,2022-02-24,3590.0628,3606.1877,3514.8832,3546.6478,-0.0203,2825.59,1251.15
9,2022-02-23,3590.3396,3622.1845,3581.3572,3620.2122,0.011200000000000002,2145.51,973.45
10,2022-02-22,3602.8458,3602.8458,3553.3839,3580.2337,-0.0148,2096.54,974.52
11,2022-02-21,3656.0131,3656.0131,3616.9712,3634.0905,-0.0084,1767.09,764.68
12,2022-02-18,3632.4626,3665.3984,3626.9192,3664.9102,0.0029,1693.96,717.8
13,2022-02-17,3640.1508,3675.7579,3632.2174,3654.2114,0.004699999999999999,1886.39,897.11
14,2022-02-16,3636.1704,3659.6241,3628.3032,3636.9418,0.0052,1741.34,814.47
15,2022-02-15,3578.1587,3619.4347,3573.0668,3618.2894,0.011899999999999999,2339.1,1092.69
16,2022-02-14,3592.1932,3609.5732,3557.6104,3575.8212,-0.0091,2664.64,1157.03
17,2022-02-11,3614.6987,3658.8263,3601.246,3608.5603,-0.0069,2738.02,1301.12
18,2022-02-10,3673.3598,3673.6974,3605.2462,3633.574,-0.0088,2581.5,1166.76
19,2022-02-09,3635.0134,3673.6889,3614.5901,3665.6518,0.0092,2368.7,1046.21
20,2022-02-08,3674.7659,3675.3065,3560.7581,3632.1471,-0.0143,2295.41,1135.68
21,2022-02-07,3698.2492,3729.9443,3666.0891,3684.6988,0.0155,2210.04,1049.42
22,2022-01-28,3705.9292,3720.8011,3622.6901,3628.2808,-0.014499999999999999,2229.39,1164.03
23,2022-01-27,3757.0346,3758.0866,3678.4895,3681.8261,-0.021,2185.45,1035.65
24,2022-01-26,3752.9573,3769.3005,3706.8159,3760.7079,0.0073,1696.08,868.19
25,2022-01-25,3789.3134,3806.5533,3732.6976,3733.5571,-0.021,2000.69,905.99
26,2022-01-24,3789.4708,3826.3963,3779.2437,3813.6047,0.0011,1784.25,887.71
27,2022-01-21,3820.1914,3835.2877,3787.6599,3809.3111,-0.0058,2155.7,987.98
28,2022-01-20,3772.0337,3850.9738,3772.0337,3831.571,0.015600000000000001,2714.24,1130.55
29,2022-01-19,3802.6788,3814.2459,3750.4487,3772.7626,-0.004699999999999999,2152.01,1041.2
30,2022-01-18,3758.6563,3803.1157,3738.1217,3790.4947,0.0087,2121.19,960.72
31,2022-01-17,3726.0338,3766.2723,3722.0848,3757.8358,0.0098,1930.08,974.22
32,2022-01-14,3731.8582,3754.2679,3719.8587,3721.4201,-0.008100000000000001,2214.73,970.18
33,2022-01-13,3835.9452,3835.9452,3750.4512,3751.7534,-0.0191,2276.67,1106.44
34,2022-01-12,3798.7728,3832.3412,3792.3463,3824.8153,0.0132,2449.12,1173.4
35,2022-01-11,3802.7976,3818.9319,3770.5824,3775.0522,-0.0077,2268.8,1044.48
36,2022-01-10,3787.7973,3814.513,3751.2522,3804.479,0.0019,2211.11,1098.78
37,2022-01-07,3792.4801,3820.6118,3781.7398,3797.1419,0.0037,2878.81,1206.0
38,2022-01-06,3815.8379,3828.8893,3764.3093,3783.1748,-0.0144,2510.07,1207.38
39,2022-01-05,3862.327,3881.8298,3824.4322,3838.5012,-0.0084,2968.01,1427.22
40,2022-01-04,3920.6658,3923.6933,3827.9985,3871.2101,-0.008199999999999999,2448.15,1308.53
41,2021-12-31,3911.9996,3919.6059,3887.5128,3903.0397,0.0024,1814.19,960.72
42,2021-12-30,3861.9883,3912.4188,3855.256,3893.6469,0.008199999999999999,1828.44,957.79
43,2021-12-29,3941.4449,3941.4449,3861.825,3861.825,-0.0187,1868.96,1052.23
44,2021-12-28,3895.9747,3940.5706,3895.9747,3935.53,0.011000000000000001,2090.81,1044.56
45,2021-12-27,3893.567,3913.9458,3869.985,3892.6924,-0.0014000000000000002,1830.29,944.91
46,2021-12-24,3930.9666,3940.5099,3882.6251,3898.2757,-0.0069,1768.91,1111.33
47,2021-12-23,3905.4459,3925.3976,3880.041,3925.3976,0.0077,1689.07,880.19
48,2021-12-22,3904.5251,3915.6486,3883.0948,3895.4236,0.0002,1662.9,840.91
49,2021-12-21,3869.2113,3901.0644,3862.3811,3894.6994,0.0052,1885.0,978.61
50,2021-12-20,3926.1787,3953.1044,3863.8253,3874.3911,-0.0169,2172.91,1197.5
51,2021-12-17,3999.2531,4002.1297,3939.9345,3940.9451,-0.0182,2022.09,1130.73
52,2021-12-16,3994.8176,4013.9413,3975.1966,4013.9413,0.0051,2085.71,1071.37
53,2021-12-15,4022.7947,4047.8738,3992.3457,3993.4001,-0.0108,1971.25,1003.46
54,2021-12-14,4053.6292,4063.5907,4026.6683,4036.8764,-0.0077,2438.62,1113.4
55,2021-12-13,4072.7927,4127.3063,4064.7953,4068.187,0.008199999999999999,3486.84,1672.25
56,2021-12-10,4012.2601,4036.2499,4008.0549,4034.9933,-0.0022,3813.2,1335.17
57,2021-12-09,3971.5253,4074.0567,3970.1238,4044.0786,0.0196,5098.48,1748.14
58,2021-12-08,3916.2753,3968.0179,3898.4,3966.3577,0.0158,2747.72,1295.59
59,2021-12-07,3909.9011,3914.9142,3884.8485,3904.4828,0.0069,3444.47,1442.74
60,2021-12-06,3880.7526,3919.2372,3875.0138,3877.8204,0.0,3160.33,1278.54
61,2021-12-03,3851.0818,3877.7276,3835.9102,3877.7276,0.0073,2279.67,1057.93
62,2021-12-02,3829.9834,3856.4336,3819.7274,3849.7129,0.0042,2342.58,949.53
63,2021-12-01,3828.7287,3837.8446,3815.8733,3833.7313,0.0017000000000000001,1937.08,843.71
64,2021-11-30,3861.4985,3865.8759,3812.2447,3827.4094,-0.0087,1880.6,876.72
65,2021-11-29,3831.2008,3869.193,3830.2931,3861.094,0.0001,2004.11,982.14
66,2021-11-26,3882.1482,3884.9367,3852.9162,3860.7263,-0.0074,1877.07,843.96
67,2021-11-25,3907.3358,3911.9745,3878.6651,3889.5891,-0.0051,1854.98,910.32
68,2021-11-24,3909.8827,3924.0042,3890.571,3909.6109,0.0005,2080.29,1003.92
69,2021-11-23,3906.8164,3924.6886,3896.6378,3907.6026,-0.0018,2277.5,1036.57
70,2021-11-22,3902.9271,3916.2615,3899.9159,3914.5266,0.0053,2435.85,1128.88
71,2021-11-19,3842.3557,3894.3532,3835.7352,3893.8269,0.0124,2263.88,957.77
72,2021-11-18,3883.0008,3883.0008,3839.4962,3846.3223,-0.0123,1971.59,779.03
73,2021-11-17,3905.5164,3914.1729,3881.7208,3894.3596,-0.0017000000000000001,1858.71,793.82
74,2021-11-16,3899.9606,3925.8831,3895.7741,3901.1305,0.0006,2171.99,974.3
75,2021-11-15,3912.95,3922.1236,3876.1305,3898.6861,-0.0016,2078.73,929.4
76,2021-11-12,3936.782,3940.5319,3894.205,3905.0451,-0.006,2467.9,959.98
77,2021-11-11,3848.1866,3929.6657,3844.3464,3928.4953,0.022000000000000002,3547.05,1258.8
78,2021-11-10,3858.6742,3861.1002,3787.1596,3843.891,-0.0084,2703.41,1168.27
79,2021-11-09,3897.1589,3905.1528,3857.1804,3876.5472,-0.0028000000000000004,2067.29,930.33
80,2021-11-08,3889.9716,3908.2489,3873.4,3887.4324,-0.0007000000000000001,2449.26,1063.62
81,2021-11-05,3890.494,3924.4232,3880.2686,3890.3367,-0.0040999999999999995,2496.36,1085.25
82,2021-11-04,3886.4529,3917.469,3875.891,3906.3387,0.0108,2509.0,1169.59
83,2021-11-03,3890.2605,3910.3314,3851.8508,3864.7905,-0.0086,2903.9,1128.12
84,2021-11-02,3931.6423,3957.3082,3866.7533,3898.4943,-0.009300000000000001,3351.41,1438.04
85,2021-11-01,3920.8231,3958.0192,3896.3822,3935.0329,-0.0048,3096.84,1486.6
86,2021-10-29,3901.3347,3954.8154,3901.3347,3953.9016,0.0138,3222.2,1473.73
87,2021-10-28,3904.5285,3933.6394,3887.1774,3900.1672,-0.0032,2781.47,1196.4
88,2021-10-27,3942.2001,3942.2001,3898.5685,3912.8265,-0.0116,2681.35,1133.43
89,2021-10-26,4003.7717,4014.3605,3953.5842,3958.9455,-0.0079,2405.99,1102.33
90,2021-10-25,3974.993,3994.6646,3958.6909,3990.3362,0.0003,2735.8,1197.76
91,2021-10-22,3951.8386,4008.3658,3946.534,3989.1025,0.0146,2685.92,1160.78
92,2021-10-21,3900.6514,3941.1679,3895.6058,3931.6697,0.0087,2745.04,1054.45
93,2021-10-20,3926.2137,3943.7075,3887.925,3897.9189,-0.0029,2305.69,1056.48
94,2021-10-19,3874.4461,3919.0134,3874.4461,3909.1409,0.0095,2247.31,1062.7
95,2021-10-18,3930.457,3930.457,3847.3279,3872.4506,-0.015600000000000001,2437.25,1211.27
96,2021-10-15,3876.5067,3938.4543,3865.3975,3933.8689,0.0106,2517.2,1172.64
97,2021-10-14,3921.0654,3937.0887,3883.9293,3892.796,-0.008,1996.11,855.25
98,2021-10-13,3859.8379,3935.5204,3850.4833,3924.0233,0.016,2373.66,1079.63
99,2021-10-12,3879.7581,3899.1462,3830.5955,3862.1576,-0.0072,2840.67,1092.27
100,2021-10-11,3905.5765,3955.1921,3887.6559,3890.1543,-0.0014000000000000002,2737.67,1204.97
101,2021-10-08,3868.1725,3902.1481,3852.1192,3895.5627,0.0187,3397.3,1412.3
102,2021-09-30,3804.7921,3834.2084,3804.5817,3824.0485,0.0073,2170.89,1055.93
103,2021-09-29,3770.0114,3820.6209,3749.8593,3796.177,-0.0012,2711.66,1088.55
104,2021-09-28,3795.5113,3823.9876,3773.6686,3800.7535,-0.0004,2670.76,1127.83
105,2021-09-27,3743.405,3825.2371,3743.405,3802.2436,0.0209,3376.79,1636.79
106,2021-09-24,3695.4797,3758.7398,3693.8329,3724.5155,0.006,2902.77,1179.62
107,2021-09-23,3720.8102,3736.6742,3689.1424,3702.3623,0.0005,2848.45,1072.44
108,2021-09-22,3678.6241,3717.8618,3671.7192,3700.5915,-0.0139,2809.15,993.39
109,2021-09-17,3683.683,3753.8908,3683.0421,3752.6402,0.0165,2592.5,1095.12
110,2021-09-16,3714.632,3724.7902,3671.8111,3691.7872,-0.0083,2972.91,1215.18
111,2021-09-15,3767.9845,3767.9845,3701.5752,3722.5264,-0.0151,2680.53,1177.72
112,2021-09-14,3817.0607,3843.7608,3771.5225,3779.6188,-0.0077,3077.4,1335.31
113,2021-09-13,3822.6481,3849.6398,3788.5677,3808.7984,-0.0049,3254.68,1264.63
114,2021-09-10,3776.6251,3838.8274,3774.0444,3827.4951,0.0113,3417.04,1294.18
115,2021-09-09,3792.7859,3808.211,3752.7363,3784.7391,-0.0044,2733.42,1030.8
116,2021-09-08,3835.3069,3854.1431,3789.6642,3801.4984,-0.0096,3887.39,1287.97
117,2021-09-07,3807.5384,3850.1834,3787.3369,3838.2217,0.0084,3309.37,1298.89
118,2021-09-06,3715.8624,3814.1233,3707.798,3806.2854,0.024399999999999998,3670.64,1650.91
119,2021-09-03,3723.1466,3742.8782,3683.3799,3715.7698,-0.0006,3325.78,1388.06
120,2021-09-02,3736.1584,3757.893,3697.629,3717.9235,-0.0034000000000000002,3833.7,1423.36
121,2021-09-01,3644.3335,3759.5725,3606.5922,3730.76,0.021099999999999997,4768.7,1909.92
122,2021-08-31,3681.7288,3698.7687,3606.7146,3653.5375,-0.0078000000000000005,3967.67,1576.57
123,2021-08-30,3731.1863,3732.4934,3657.4293,3682.4271,-0.0111,3793.68,1581.69
124,2021-08-27,3705.6211,3764.2462,3703.9195,3723.7077,0.0036,2863.54,1189.26
125,2021-08-26,3810.8038,3810.8038,3708.8984,3710.5128,-0.0241,2594.29,1209.98
126,2021-08-25,3801.8729,3812.4726,3774.4786,3802.0098,0.0026,2640.11,1237.74
127,2021-08-24,3754.7043,3805.4232,3752.5306,3792.0113,0.0126,3116.4,1434.06
128,2021-08-23,3704.4861,3756.3796,3693.7952,3744.9147,0.0141,2727.06,1339.49
129,2021-08-20,3749.149,3755.4923,3655.3073,3692.6921,-0.0271,3175.78,1564.55
130,2021-08-19,3832.0666,3835.3174,3774.7808,3795.5496,-0.0105,3169.95,1314.53
131,2021-08-18,3790.6095,3859.3264,3769.2009,3835.7662,0.0132,3166.85,1371.47
132,2021-08-17,3874.4553,3894.0582,3775.481,3785.7248,-0.0231,3072.5,1376.76
133,2021-08-16,3876.6559,3902.3597,3863.9321,3875.3988,-0.0031,2572.07,1188.46
134,2021-08-13,3877.8442,3931.381,3863.2433,3887.291,-0.0025,2588.49,1213.57
135,2021-08-12,3947.4278,3957.9699,3893.48,3897.1891,-0.0167,2747.3,1312.02
136,2021-08-11,3987.3978,4008.3949,3960.4055,3963.4131,-0.0060999999999999995,3053.68,1262.08
137,2021-08-10,3931.423,3987.7308,3877.5832,3987.6404,0.0127,3172.8,1569.32
138,2021-08-09,3859.9397,3958.9366,3854.1649,3937.5608,0.0126,3694.18,1553.53
139,2021-08-06,3916.2676,3918.2626,3870.9658,3888.438,-0.0095,2495.02,1240.01
140,2021-08-05,3924.9942,3967.6728,3896.3032,3925.7372,-0.005600000000000001,2940.17,1387.74
141,2021-08-04,3907.2075,3949.8785,3892.4629,3947.9108,0.0085,3135.19,1573.6
142,2021-08-03,3880.9099,3920.3287,3855.5376,3914.6845,0.0070999999999999995,3550.78,1613.73
143,2021-08-02,3760.8988,3894.0808,3728.9406,3886.9361,0.028399999999999998,4043.53,1890.26
