,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,6516.3487,6556.0706,6221.1063,6250.4683,-0.0431,563.94,147.48
1,2022-03-07,6710.3206,6710.3206,6427.8809,6532.2274,-0.032799999999999996,549.42,142.09
2,2022-03-04,6842.4876,6855.8187,6731.6255,6753.4465,-0.0252,501.06,127.73
3,2022-03-03,6959.6053,7039.2063,6902.0133,6928.3731,-0.001,413.57,95.48
4,2022-03-02,7084.2432,7084.2432,6914.5096,6935.6031,-0.0248,363.92,78.07
5,2022-03-01,7057.9414,7148.6181,7036.0075,7111.8926,0.0121,333.21,97.24
6,2022-02-28,7077.5501,7116.5612,6907.7914,7027.1407,-0.0067,444.06,124.38
7,2022-02-25,7042.8714,7150.7342,7018.7259,7074.6602,0.0139,302.35,89.35
8,2022-02-24,7232.6315,7232.6315,6922.3496,6978.0118,-0.0429,439.15,123.11
9,2022-02-23,7244.5417,7311.9863,7235.8343,7290.9809,0.0064,248.18,77.48
10,2022-02-22,7349.7728,7349.7728,7151.302,7244.5189,-0.0225,366.88,99.93
11,2022-02-21,7470.7508,7491.9248,7349.4691,7410.9017,-0.0111,277.72,86.27
12,2022-02-18,7521.7857,7561.0543,7477.6321,7494.3078,-0.0063,305.9,89.67
13,2022-02-17,7465.0968,7546.542,7435.551,7541.8576,0.0126,319.45,112.79
14,2022-02-16,7453.7603,7473.0343,7393.5255,7447.713,0.0127,286.46,100.51
15,2022-02-15,7297.6314,7406.0789,7297.2404,7353.9767,0.0049,343.48,109.6
16,2022-02-14,7393.9998,7417.4011,7284.8344,7318.1337,-0.0152,355.58,111.79
17,2022-02-11,7450.5644,7528.7037,7359.3735,7431.1276,-0.0027,530.08,151.23
18,2022-02-10,7393.2653,7451.0279,7338.4952,7451.0279,0.0179,480.3,147.31
19,2022-02-09,7272.16,7329.1041,7249.4527,7320.2629,0.0184,453.98,173.83
20,2022-02-08,7323.8527,7325.5153,7107.3962,7188.0785,-0.0197,397.38,164.54
21,2022-02-07,7364.8869,7426.7253,7292.1004,7332.3514,0.0005,311.72,94.86
22,2022-02-04,7151.1683,7335.7105,7106.8989,7328.3394,0.0374,262.26,85.64
