,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,11995.071,12127.1095,11646.1982,11682.9309,-0.024900000000000002,537.61,204.99
1,2022-03-07,12390.7785,12390.8158,11947.1306,11980.7865,-0.042199999999999994,570.48,217.83
2,2022-03-04,12371.0144,12652.0871,12335.3292,12508.0908,-0.0083,559.21,207.88
3,2022-03-03,12772.4053,12792.0353,12575.0268,12612.3935,-0.0060999999999999995,394.73,154.93
4,2022-03-02,12826.8253,12826.8253,12616.6032,12689.9756,-0.015700000000000002,369.38,139.04
5,2022-03-01,12805.6787,12956.2736,12792.8986,12892.6245,0.0106,421.45,173.26
6,2022-02-28,12779.3819,12843.7288,12587.7628,12757.4841,-0.0042,432.62,183.18
7,2022-02-25,12529.9005,12914.1287,12529.7354,12810.7232,0.037000000000000005,488.12,246.34
8,2022-02-24,12573.3072,12743.4561,12239.012,12353.9685,-0.0253,539.23,242.31
9,2022-02-23,12447.8893,12698.4994,12434.3523,12673.9954,0.0209,305.23,151.97
10,2022-02-22,12541.0571,12564.8504,12342.868,12414.3526,-0.0219,343.01,165.69
11,2022-02-21,12718.8191,12784.5335,12585.8874,12691.6666,0.005699999999999999,376.85,183.07
12,2022-02-18,12528.9304,12661.8406,12405.2826,12619.5426,-0.0011,347.05,160.61
13,2022-02-17,12558.9085,12680.2087,12492.3627,12633.5734,0.0060999999999999995,327.47,151.7
14,2022-02-16,12558.4056,12655.2825,12516.2986,12557.5277,0.006500000000000001,394.22,205.51
15,2022-02-15,11952.5745,12479.5183,11948.8704,12476.334,0.0438,462.39,248.74
16,2022-02-14,11905.7228,12136.3947,11902.2777,11953.2445,-0.0037,415.16,202.99
17,2022-02-11,12278.5048,12347.7654,11941.3386,11997.1052,-0.0339,523.99,235.31
18,2022-02-10,12553.0376,12606.1819,12351.2645,12418.4863,-0.0098,442.6,246.03
19,2022-02-09,12594.3877,12594.5598,12352.272,12541.7561,0.0043,485.45,249.19
20,2022-02-08,12522.5136,12522.7276,12181.6541,12487.8009,-0.032799999999999996,430.04,216.25
21,2022-02-07,12979.9663,13116.8961,12866.5663,12911.0057,0.0098,329.95,163.79
22,2022-02-04,12801.6513,12816.6405,12663.1947,12785.5025,0.0083,72.55,16.56
23,2022-01-31,12633.5004,12701.9952,12580.9807,12679.6502,0.009399999999999999,59.25,10.27
24,2022-01-28,12767.7791,12815.9672,12513.932,12562.1105,-0.0152,373.09,171.2
25,2022-01-27,12909.3019,12931.8672,12649.7574,12755.3968,-0.0154,447.46,210.57
26,2022-01-26,13335.7615,13369.7764,12919.0708,12954.8735,-0.0297,447.12,216.31
27,2022-01-25,13616.673,13638.5868,13307.2169,13351.734,-0.0242,514.84,215.62
28,2022-01-24,13658.1151,13891.7252,13658.1151,13683.5405,-0.0121,502.25,279.57
29,2022-01-21,14078.3251,14119.9363,13796.982,13851.1703,-0.0161,673.75,284.14
30,2022-01-20,14042.6244,14173.5011,14027.0339,14077.7191,-0.0011,451.82,193.69
31,2022-01-19,14475.8419,14495.7708,14008.6637,14093.6686,-0.0296,529.87,259.01
32,2022-01-18,14636.5039,14772.2144,14482.7395,14522.9319,-0.0084,617.96,244.72
33,2022-01-17,14654.1051,14709.4998,14527.4523,14645.9587,0.001,748.04,283.2
34,2022-01-14,14395.3879,14676.6648,14341.6678,14631.6991,0.0064,790.01,290.69
35,2022-01-13,14875.6139,14880.0408,14515.354,14537.9809,-0.019299999999999998,538.44,239.72
36,2022-01-12,14670.8136,14836.7295,14611.088,14824.7685,0.016200000000000003,497.05,229.37
37,2022-01-11,14445.7213,14676.1985,14417.4936,14588.9113,0.0077,570.21,241.24
38,2022-01-10,14173.0492,14522.1581,14072.1768,14477.5317,0.0252,604.0,246.3
39,2022-01-07,14080.5728,14198.6845,14034.2562,14121.1101,0.0055000000000000005,521.57,235.39
40,2022-01-06,13958.4398,14080.1216,13769.6703,14044.4637,-0.0072,492.2,226.47
41,2022-01-05,14359.6917,14359.6917,14076.3119,14146.0131,-0.0189,480.02,233.6
42,2022-01-04,14726.5559,14742.8792,14334.0556,14418.0062,-0.0305,601.08,284.91
43,2022-01-03,15015.8608,15017.5281,14816.2375,14871.8355,-0.0087,68.03,14.4
44,2021-12-31,15023.7923,15083.364,14966.1653,15001.7403,0.0073,366.97,181.47
45,2021-12-30,14821.796,14892.6963,14707.1233,14892.6963,0.0036,306.78,152.68
46,2021-12-29,14940.4852,15102.7451,14814.4009,14839.6049,-0.0104,369.09,178.87
47,2021-12-28,14923.2293,15000.9603,14720.5494,14995.5155,0.005,365.57,207.24
48,2021-12-27,14895.3235,14921.9936,14813.4012,14920.2926,0.0019,254.65,144.04
49,2021-12-24,14933.1271,14959.215,14826.0029,14892.272,-0.0006,319.82,164.97
50,2021-12-23,15058.9296,15068.4742,14881.3928,14901.1065,-0.0063,298.64,151.59
51,2021-12-22,15093.9739,15095.389,14942.8782,14996.2261,-0.0084,299.59,151.33
52,2021-12-21,14992.366,15134.7512,14940.5177,15122.9429,0.0127,365.77,179.56
53,2021-12-20,15239.8032,15353.4988,14897.8868,14933.8773,-0.0218,511.76,266.69
54,2021-12-17,15642.4544,15716.1451,15209.8036,15266.7855,-0.0129,489.11,294.65
55,2021-12-16,15044.1459,15486.0899,15044.0019,15465.686,0.0187,565.36,358.3
56,2021-12-15,15981.2444,16024.0341,15058.4987,15182.3268,-0.0524,609.39,347.67
57,2021-12-14,15885.1468,16160.5549,15885.1468,16022.1914,0.0052,353.0,197.81
58,2021-12-13,16206.316,16235.8147,15922.7882,15938.895,-0.013999999999999999,381.85,213.32
59,2021-12-10,16320.4943,16384.5144,16133.5232,16165.6027,-0.0171,404.96,205.51
60,2021-12-09,16098.8257,16468.169,16041.995,16447.5136,0.0245,438.62,238.51
61,2021-12-08,15915.5612,16099.9758,15882.9327,16054.9039,0.0165,300.52,165.2
62,2021-12-07,15737.2492,15862.5877,15683.977,15794.2112,0.006,373.12,169.77
63,2021-12-06,16180.7474,16180.7474,15682.1164,15700.7289,-0.0373,402.64,200.65
64,2021-12-03,16210.835,16330.3564,16174.7158,16308.3648,0.0043,413.33,182.71
65,2021-12-02,16450.2464,16516.1792,16209.5095,16239.064,-0.0159,392.27,199.41
66,2021-12-01,16650.1791,16671.1721,16496.2309,16501.5971,-0.010700000000000001,441.42,218.54
67,2021-11-30,16779.5269,16814.5269,16504.7174,16680.8671,-0.0063,624.2,291.18
68,2021-11-29,16954.8376,17241.1625,16677.82,16786.6415,0.0111,603.72,350.04
69,2021-11-26,16668.5021,16828.7736,16576.646,16602.7409,-0.0012,347.21,204.32
70,2021-11-25,16452.8303,16694.1183,16363.272,16622.9489,0.012199999999999999,359.11,195.23
71,2021-11-24,16256.9828,16493.3744,16146.1462,16423.1455,0.0131,331.85,207.59
72,2021-11-23,16219.8843,16301.3921,16138.7705,16210.1741,-0.0055000000000000005,329.34,186.67
73,2021-11-22,16631.7971,16641.6196,16265.1278,16299.0473,-0.0163,388.31,212.34
74,2021-11-19,16588.6225,16701.2015,16492.0518,16569.5176,-0.0031,332.18,181.94
75,2021-11-18,16843.9155,16855.291,16605.776,16621.3762,-0.0183,422.78,231.85
76,2021-11-17,16963.9219,17056.0327,16805.0247,16931.9956,0.0089,424.26,271.75
77,2021-11-16,16328.9861,16867.5898,16321.5598,16782.3379,0.0311,556.69,320.61
78,2021-11-15,16015.8063,16324.6619,15997.3833,16276.8206,0.0197,414.73,223.07
79,2021-11-12,16089.006,16147.6568,15927.3431,15962.6883,-0.0032,358.46,181.17
80,2021-11-11,16139.9824,16272.2626,15962.7792,16013.6315,-0.0105,514.43,271.82
81,2021-11-10,15627.3188,16215.1641,15440.7556,16183.0244,0.0385,680.25,360.91
82,2021-11-09,15247.8242,15601.5191,15246.8464,15583.4932,0.023700000000000002,367.57,214.66
83,2021-11-08,15603.7693,15603.8251,15078.7589,15222.5235,-0.030600000000000002,564.83,323.77
84,2021-11-05,15645.6251,15913.2016,15645.6251,15702.8591,-0.0043,449.19,242.36
85,2021-11-04,15883.3949,15966.3357,15635.0811,15770.2109,-0.0024,489.62,299.58
86,2021-11-03,15760.5985,16031.5718,15739.6276,15807.4821,0.0102,434.61,217.26
87,2021-11-02,15879.5169,16060.0425,15604.0621,15647.7515,-0.0134,484.78,253.85
88,2021-11-01,16378.3389,16378.5903,15820.5624,15860.5444,-0.0268,469.25,277.99
89,2021-10-29,16052.2136,16307.2419,15868.7389,16296.5993,0.010700000000000001,398.84,212.8
90,2021-10-28,16164.4339,16310.7552,16077.1703,16124.6226,-0.0052,391.73,185.94
91,2021-10-27,16577.3146,16577.3146,16159.3231,16208.4908,-0.0218,349.25,186.62
92,2021-10-26,16675.6597,16726.4826,16528.7099,16569.2017,-0.0046,367.63,175.94
93,2021-10-25,16594.7785,16737.0637,16562.405,16645.4066,-0.0003,371.38,188.5
94,2021-10-22,16563.8906,16704.237,16469.13,16651.0088,0.0036,332.79,196.08
95,2021-10-21,16710.5716,16776.5306,16487.1276,16590.7248,-0.0088,345.21,168.8
96,2021-10-20,16805.9537,16940.0528,16509.6557,16737.4259,-0.0055000000000000005,379.35,213.16
97,2021-10-19,16538.5127,16850.3489,16534.1317,16830.1002,0.0181,401.42,202.72
98,2021-10-18,16581.0713,16673.4955,16377.5246,16530.8318,-0.0076,363.94,191.61
99,2021-10-15,16746.5747,16746.5747,16506.3543,16658.1021,-0.0040999999999999995,430.26,227.23
100,2021-10-14,16882.5926,16906.8751,16686.3375,16726.6775,-0.0077,283.97,189.12
101,2021-10-13,16650.9064,16888.1739,16579.8601,16855.9692,0.013000000000000001,274.34,188.11
102,2021-10-12,16736.7414,16973.9932,16498.6186,16640.1362,-0.0086,392.9,222.58
103,2021-10-11,16929.5463,17157.8117,16747.6937,16785.2608,-0.0102,427.57,271.44
104,2021-10-08,17018.8184,17231.2264,16856.4,16957.4479,-0.0102,540.16,325.96
105,2021-10-07,17090.7363,17140.4022,17055.8898,17132.7964,0.0075,77.72,16.75
106,2021-10-06,17114.4884,17119.659,16936.8824,17005.4711,-0.0066,129.12,17.57
107,2021-10-05,17030.6108,17166.6144,17029.3676,17118.874,0.0014000000000000002,96.61,18.18
108,2021-10-04,17290.6405,17290.8323,17030.7082,17094.3888,-0.0172,150.49,35.38
109,2021-09-30,17208.2247,17454.5715,17196.7154,17393.0583,0.0124,339.36,191.63
110,2021-09-29,17223.7054,17314.1224,17056.5662,17180.7717,-0.0148,400.38,221.27
111,2021-09-28,17419.8875,17587.3871,17171.7643,17438.4768,-0.0004,372.18,220.04
112,2021-09-27,17243.9143,17752.7258,17213.3809,17445.1048,0.0132,497.72,293.62
113,2021-09-24,17098.4319,17450.9155,16993.4794,17218.1106,0.004699999999999999,428.15,245.16
114,2021-09-23,17230.353,17358.1152,17000.1911,17137.2166,-0.005,428.28,230.92
115,2021-09-22,17073.6465,17420.9876,17072.1971,17222.9919,-0.0014000000000000002,299.72,208.63
116,2021-09-21,17257.3731,17358.9496,17198.8241,17247.6984,-0.0012,78.07,15.7
117,2021-09-20,17307.6191,17307.6837,17167.4208,17267.7387,-0.0092,74.73,25.86
118,2021-09-17,16538.9242,17435.2309,16520.8961,17428.2816,0.054900000000000004,526.91,370.39
119,2021-09-16,16657.7883,16658.038,16357.319,16521.5873,-0.006999999999999999,444.58,232.36
