,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,4747.6811,4777.9414,4609.1795,4628.4365,-0.0223,626.69,252.13
1,2022-03-07,4838.3842,4838.3842,4669.5346,4733.9576,-0.038599999999999995,618.74,296.74
2,2022-03-04,4973.2863,4995.5462,4906.5549,4924.0447,-0.0275,617.57,313.69
3,2022-03-03,5073.8927,5120.1576,5044.191,5063.2432,0.002,454.25,220.05
4,2022-03-02,5189.7655,5189.7655,5039.6122,5053.2077,-0.0336,389.72,172.49
5,2022-03-01,5228.0165,5265.0416,5182.0236,5229.1586,0.0024,421.83,189.19
6,2022-02-28,5287.9227,5291.2612,5149.1437,5216.63,-0.0137,676.47,255.18
7,2022-02-25,5303.2641,5370.0586,5261.4073,5289.0998,0.0025,380.57,212.51
8,2022-02-24,5430.3345,5436.5691,5242.4948,5275.7888,-0.0393,581.06,308.24
9,2022-02-23,5480.2123,5502.9198,5429.0031,5491.338,0.0060999999999999995,341.86,181.43
10,2022-02-22,5493.3891,5495.1009,5382.935,5458.1482,-0.0233,432.57,241.02
11,2022-02-21,5590.8946,5618.8068,5557.5067,5588.6042,-0.0059,353.4,289.07
12,2022-02-18,5637.6747,5667.2104,5615.7964,5621.6897,-0.0083,352.89,195.88
13,2022-02-17,5619.7884,5668.8152,5589.1261,5668.8152,0.0079,411.31,149.82
14,2022-02-16,5603.3773,5640.7783,5569.8324,5624.2712,0.0165,367.95,142.3
15,2022-02-15,5499.1167,5586.2571,5494.1006,5533.0094,0.0028000000000000004,384.42,147.93
16,2022-02-14,5575.3042,5587.0795,5494.2767,5517.4642,-0.0178,363.4,148.17
17,2022-02-11,5638.8891,5657.0078,5570.5237,5617.4184,-0.0049,480.03,193.15
18,2022-02-10,5657.2058,5658.0919,5562.4486,5645.1959,0.0096,408.67,183.55
19,2022-02-09,5557.0366,5611.1928,5548.6459,5591.4827,0.0187,412.18,211.63
20,2022-02-08,5540.351,5543.2067,5434.4385,5488.5997,-0.0072,392.31,170.39
21,2022-02-07,5548.5272,5597.2541,5490.9902,5528.2645,-0.0003,432.3,165.63
22,2022-02-04,5479.7635,5537.2811,5388.1534,5529.7003,0.029300000000000003,335.29,175.97
23,2022-01-31,5344.4093,5411.7521,5287.7327,5372.4645,0.0077,195.56,100.07
24,2022-01-28,5416.3077,5426.7929,5317.8166,5331.4199,-0.0137,409.62,187.49
25,2022-01-27,5453.2848,5453.2848,5344.3572,5405.7175,-0.0174,387.73,181.38
26,2022-01-26,5550.7549,5573.8711,5474.4274,5501.5702,-0.0069,667.02,218.49
27,2022-01-25,5566.3205,5588.4029,5498.1968,5539.5618,-0.0195,596.89,240.32
28,2022-01-24,5689.4405,5694.0963,5629.8267,5650.0004,-0.0124,462.46,173.2
29,2022-01-21,5687.6427,5756.5631,5681.3009,5720.6683,0.005699999999999999,532.55,279.03
30,2022-01-20,5561.6009,5688.342,5536.9253,5688.342,0.0294,673.22,317.76
31,2022-01-19,5540.4708,5564.3767,5481.9687,5525.9807,0.0023,430.79,179.5
32,2022-01-18,5515.4213,5571.523,5488.8249,5513.3156,-0.0005,455.93,206.41
33,2022-01-17,5593.1128,5599.2757,5495.2735,5515.8557,-0.0007000000000000001,561.73,181.45
34,2022-01-14,5439.3706,5519.5309,5395.2542,5519.5309,0.0091,429.75,160.67
35,2022-01-13,5571.4645,5573.3557,5442.7475,5469.8693,-0.0167,506.27,199.98
36,2022-01-12,5506.2908,5562.7366,5496.7438,5562.7366,0.0171,487.28,255.46
37,2022-01-11,5466.8951,5520.9259,5434.6603,5468.9824,-0.0023,466.26,193.73
38,2022-01-10,5358.9093,5488.2684,5332.554,5481.5959,0.025,522.37,208.13
39,2022-01-07,5363.4049,5380.0473,5297.5334,5347.7928,-0.0014000000000000002,466.8,219.85
40,2022-01-06,5329.7617,5360.2594,5260.4189,5355.1068,0.0038,436.32,202.69
41,2022-01-05,5495.9999,5505.2582,5321.6182,5335.0382,-0.027999999999999997,516.51,258.71
42,2022-01-04,5499.1085,5550.8303,5467.4944,5488.7768,-0.0019,451.94,163.92
43,2022-01-03,5557.4286,5572.7098,5468.4055,5499.1085,-0.0054,187.15,74.14
44,2021-12-31,5510.2253,5558.3211,5506.7087,5529.194,0.0146,157.95,80.16
45,2021-12-30,5454.2493,5486.4388,5408.7944,5449.8315,0.001,185.82,78.89
46,2021-12-29,5512.3899,5516.0189,5426.5219,5444.227,-0.011399999999999999,200.36,82.23
47,2021-12-28,5539.3989,5549.9234,5483.2281,5507.2465,-0.0049,364.66,169.27
48,2021-12-24,5588.8309,5588.8309,5506.3792,5534.1894,0.0025,182.69,83.65
49,2021-12-23,5515.0374,5548.4697,5496.3721,5520.4895,0.0053,340.09,213.9
50,2021-12-22,5462.3433,5499.7124,5453.0828,5491.305,0.0124,278.84,129.4
51,2021-12-21,5366.4983,5445.3117,5345.0881,5424.237,0.0128,409.97,166.37
52,2021-12-20,5484.122,5507.7756,5338.1078,5355.6027,-0.0281,464.11,191.06
53,2021-12-17,5604.2445,5612.2889,5501.3328,5510.5882,-0.0212,577.24,253.81
54,2021-12-16,5545.6096,5639.5972,5523.061,5629.7325,0.0113,459.3,192.53
55,2021-12-15,5617.2317,5653.5491,5531.3148,5566.7921,-0.008,535.07,157.55
56,2021-12-14,5694.1815,5694.1815,5597.6039,5611.4601,-0.0206,449.36,158.4
57,2021-12-13,5828.1273,5848.4694,5729.2144,5729.6374,-0.0072,437.49,212.02
58,2021-12-10,5811.9499,5828.5866,5754.2824,5771.3977,-0.0139,354.63,147.45
59,2021-12-09,5749.9264,5858.4252,5749.9264,5852.9049,0.024300000000000002,476.8,172.59
60,2021-12-08,5701.8576,5722.9501,5672.2272,5714.2158,0.009300000000000001,355.43,157.29
61,2021-12-07,5593.739,5666.0254,5544.3106,5661.5889,0.0271,481.16,235.35
62,2021-12-06,5611.9173,5635.2488,5505.6764,5512.119,-0.0219,483.13,278.8
63,2021-12-03,5572.9847,5665.4392,5564.4996,5635.4765,0.01,507.3,243.16
64,2021-12-02,5549.6491,5579.916,5527.5238,5579.916,0.0023,475.38,199.3
65,2021-12-01,5631.7975,5646.6141,5562.0187,5567.1988,-0.0031,560.96,228.76
66,2021-11-30,5664.5789,5710.1398,5517.2311,5584.2488,-0.013500000000000002,1039.26,388.93
67,2021-11-29,5654.8884,5734.4938,5626.7383,5660.6213,-0.0085,498.47,221.6
68,2021-11-26,5817.2833,5817.2833,5692.9608,5709.3557,-0.0256,410.24,256.56
69,2021-11-25,5819.4058,5861.7507,5796.5312,5859.3584,0.0073,373.81,168.04
70,2021-11-24,5859.5183,5865.1039,5780.5844,5816.8438,-0.0077,444.98,240.73
71,2021-11-23,5892.495,5906.414,5851.025,5862.19,-0.0129,384.7,195.03
72,2021-11-22,5900.1731,5960.1089,5895.376,5938.6852,0.009399999999999999,518.09,212.62
73,2021-11-19,5848.1452,5884.6571,5814.1508,5883.5657,-0.0039000000000000003,455.88,212.3
74,2021-11-18,5932.4114,5934.5838,5888.0027,5906.3353,-0.0088,347.76,190.37
75,2021-11-17,5967.5636,5970.5289,5934.7116,5958.7191,-0.0017000000000000001,406.09,216.53
76,2021-11-16,5883.202,5978.9003,5864.2073,5968.875,0.0179,558.17,273.16
77,2021-11-15,5866.3539,5874.7522,5819.5417,5863.7515,0.0029,358.06,185.2
78,2021-11-12,5883.3993,5889.3506,5819.187,5846.5096,0.004699999999999999,615.3,257.01
79,2021-11-11,5694.2659,5829.0787,5684.4415,5819.0097,0.015300000000000001,421.76,272.46
80,2021-11-10,5680.8567,5732.8412,5597.855,5731.3118,0.0092,407.15,245.03
81,2021-11-09,5637.9751,5695.0919,5633.2799,5679.2485,0.0073,312.1,145.64
82,2021-11-08,5698.4117,5724.0281,5616.0167,5637.9751,-0.0072,566.07,231.54
83,2021-11-05,5696.6056,5721.6571,5649.2142,5678.9537,-0.0069,452.29,206.38
84,2021-11-04,5704.2423,5720.2214,5679.8333,5718.4777,0.0064,387.13,177.42
85,2021-11-03,5700.4866,5741.2975,5610.8974,5681.8556,-0.0067,431.09,192.36
86,2021-11-02,5845.3659,5857.9679,5692.1431,5720.1459,-0.0084,437.56,255.84
87,2021-11-01,5851.9926,5854.1323,5720.4301,5768.6645,-0.0143,419.94,205.77
88,2021-10-29,5845.6396,5859.7032,5818.0667,5852.4663,-0.001,453.27,182.12
89,2021-10-28,5880.7427,5924.3295,5829.0925,5858.2348,-0.0024,431.4,170.31
90,2021-10-27,5972.3791,5972.3791,5853.9776,5872.1707,-0.0218,740.95,204.96
91,2021-10-26,6049.0804,6057.961,5960.7527,6003.2891,-0.0029,407.53,181.51
92,2021-10-25,6011.2635,6046.3941,5984.6475,6020.7731,-0.0060999999999999995,340.14,155.28
93,2021-10-22,6021.4598,6075.3169,6018.6391,6057.7738,0.0103,359.32,173.27
94,2021-10-21,6093.511,6096.9974,5961.6502,5995.7755,-0.0127,489.4,204.35
95,2021-10-20,6031.8239,6080.4315,5992.3383,6073.1426,0.0125,476.0,299.06
96,2021-10-19,5926.2555,6001.1581,5890.3303,5998.2001,0.0183,464.02,206.87
97,2021-10-18,5851.5115,5890.614,5814.5861,5890.614,0.010700000000000001,478.68,210.48
98,2021-10-15,5774.0715,5828.539,5736.1093,5828.539,0.0199,696.0,323.92
99,2021-10-12,5695.3691,5775.0712,5670.8009,5714.8099,-0.004,490.42,216.01
100,2021-10-11,5727.0627,5793.2392,5727.0627,5737.6595,0.006,490.16,270.53
101,2021-10-08,5770.0058,5777.4106,5639.1098,5703.6557,-0.0054,580.34,305.92
102,2021-10-07,5671.6896,5742.7724,5663.8521,5734.6651,0.0212,279.87,143.61
103,2021-10-06,5763.6431,5763.6431,5596.6966,5615.5269,-0.0233,349.28,140.58
104,2021-10-05,5729.2729,5773.2658,5669.697,5749.6201,-0.0062,308.59,128.7
105,2021-10-04,5879.1271,5879.1271,5714.2395,5785.6307,-0.0197,363.83,145.07
106,2021-09-30,5843.6589,5910.3356,5817.2805,5901.8694,0.0070999999999999995,386.5,185.19
107,2021-09-29,5798.0399,5865.03,5736.6178,5860.4524,0.0058,315.17,171.42
108,2021-09-28,5763.1348,5876.6878,5749.1476,5826.4285,0.0124,478.36,224.1
109,2021-09-27,5841.1179,5858.5454,5735.3472,5755.3101,-0.019,607.69,235.55
110,2021-09-24,5997.9393,6025.2753,5844.071,5866.9944,-0.0226,550.63,221.67
111,2021-09-23,6067.1748,6112.73,5953.0318,6002.4017,0.0028000000000000004,631.57,272.12
112,2021-09-21,5866.1122,6006.2812,5853.4757,5985.5394,0.0101,388.35,171.33
