,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,4363.5458,4440.3537,4360.8407,4412.7793,0.0151,31.5,5.43
1,2022-03-07,4380.9806,4381.0203,4311.4806,4346.9235,-0.0102,23.77,4.58
2,2022-03-04,4386.6556,4395.5543,4350.4878,4391.9093,-0.0029,22.04,4.92
3,2022-03-03,4367.0153,4420.8208,4367.0153,4404.6395,0.009899999999999999,17.7,3.78
4,2022-03-02,4439.8185,4439.8234,4356.1439,4361.2674,-0.0192,34.06,4.7
5,2022-03-01,4457.4671,4469.2077,4435.1596,4446.7708,-0.0037,17.37,3.94
6,2022-02-28,4504.5546,4506.4085,4429.302,4463.2131,-0.0097,46.27,6.15
7,2022-02-25,4542.7059,4544.0452,4505.9083,4507.0714,-0.0078000000000000005,27.34,4.36
8,2022-02-24,4615.5473,4622.0024,4527.9867,4542.3634,-0.0172,34.96,5.94
9,2022-02-23,4645.6555,4649.238,4612.6935,4621.944,-0.005699999999999999,20.08,3.82
10,2022-02-22,4664.9481,4667.7512,4629.9122,4648.3447,-0.006500000000000001,19.11,4.16
11,2022-02-21,4691.6494,4693.1097,4665.6368,4678.9728,-0.0029,12.76,2.84
12,2022-02-18,4680.1201,4695.0333,4673.6379,4692.6949,0.0009,14.41,3.86
13,2022-02-17,4714.4948,4714.5344,4680.8276,4688.6011,-0.0055000000000000005,19.63,6.59
14,2022-02-16,4704.2036,4716.0966,4692.1432,4714.3329,0.0024,14.1,2.62
15,2022-02-15,4696.5951,4723.364,4691.6894,4702.9243,0.0014000000000000002,16.71,3.76
16,2022-02-14,4725.8039,4725.8039,4695.4623,4696.4672,-0.0064,18.38,4.47
17,2022-02-11,4721.9474,4732.4716,4705.0232,4726.4996,-0.0013,34.31,10.71
18,2022-02-10,4736.9267,4743.1879,4719.1337,4732.5775,0.0,20.61,4.54
19,2022-02-09,4715.7469,4734.5883,4709.1972,4732.5377,0.004699999999999999,19.08,4.39
20,2022-02-08,4719.43,4732.9604,4704.2651,4710.1805,-0.0005,19.15,3.5
21,2022-02-07,4696.9853,4719.2819,4692.4976,4712.3714,0.0037,15.78,3.65
22,2022-02-04,4668.1267,4705.2669,4664.6825,4694.8929,0.0077,23.35,5.6
23,2022-01-31,4677.8736,4679.8677,4647.7225,4658.8326,-0.0034999999999999996,15.75,3.98
24,2022-01-28,4704.9399,4714.9887,4665.0838,4674.9845,-0.005699999999999999,19.36,5.07
25,2022-01-27,4740.7825,4740.9571,4688.8359,4701.702,-0.0070999999999999995,18.27,3.88
26,2022-01-26,4726.7206,4744.7688,4715.6393,4735.3841,0.0044,30.93,2.9
27,2022-01-25,4728.1552,4728.1552,4696.8162,4714.8636,-0.0033,34.8,3.69
28,2022-01-24,4741.5534,4741.5534,4701.4169,4730.2603,-0.003,21.42,3.4
29,2022-01-21,4738.1348,4750.8842,4711.7827,4744.6095,0.0026,18.96,5.31
30,2022-01-20,4705.6339,4740.5537,4701.8687,4732.2406,0.0076,19.13,5.57
31,2022-01-19,4693.4531,4706.744,4680.3561,4696.3489,-0.0002,11.79,2.54
32,2022-01-18,4691.7693,4711.399,4686.5014,4697.2795,0.0019,13.6,2.15
33,2022-01-17,4686.0515,4695.019,4676.4749,4688.4128,0.0,7.72,1.65
34,2022-01-14,4681.898,4702.6266,4677.2066,4688.5434,0.0001,12.14,3.6
35,2022-01-13,4692.9671,4699.8573,4667.0051,4687.9774,-0.0002,14.91,3.15
36,2022-01-12,4717.5938,4717.5938,4677.6102,4688.8826,-0.0060999999999999995,13.74,4.18
37,2022-01-11,4712.5106,4721.4022,4692.0066,4717.6825,0.0005,12.67,3.46
38,2022-01-10,4673.584,4715.5312,4664.999,4715.5312,0.0102,12.98,3.02
39,2022-01-07,4671.2517,4685.573,4648.9893,4667.8477,-0.0004,15.36,3.53
40,2022-01-06,4710.8724,4710.8773,4651.516,4669.7787,-0.008199999999999999,15.09,3.85
41,2022-01-05,4738.5148,4745.7354,4696.7249,4708.2891,-0.0042,19.88,5.74
42,2022-01-04,4685.384,4737.8728,4685.384,4727.9578,0.0091,19.11,4.77
43,2022-01-03,4693.6777,4701.5436,4679.7515,4685.4038,-0.0002,9.4,1.39
44,2021-12-31,4688.71,4690.6656,4673.3245,4686.3228,0.0002,8.83,1.81
45,2021-12-30,4661.7678,4685.4423,4643.8226,4685.4423,0.005,11.11,2.12
46,2021-12-29,4654.2089,4661.9704,4640.8432,4661.9704,0.0034000000000000002,12.17,2.34
47,2021-12-28,4634.1246,4660.9555,4634.1196,4646.2912,0.0027,11.66,2.13
48,2021-12-24,4639.4535,4643.9376,4623.1841,4633.8141,0.0037,5.46,1.37
49,2021-12-23,4615.8487,4629.04,4607.039,4616.9617,0.0032,12.75,2.38
50,2021-12-22,4594.1081,4611.005,4582.5013,4602.3124,0.0029,8.58,1.84
51,2021-12-21,4576.3177,4600.5109,4566.669,4589.1841,0.0034999999999999996,13.65,2.24
52,2021-12-20,4607.0393,4607.4188,4554.364,4573.1325,-0.0077,22.24,3.6
53,2021-12-17,4661.1855,4665.935,4608.7099,4608.7099,-0.0128,33.32,5.3
54,2021-12-16,4631.2052,4668.6738,4630.3115,4668.6738,0.006999999999999999,16.44,3.8
55,2021-12-15,4653.4138,4656.2816,4631.2234,4636.3409,-0.0011,15.04,2.92
56,2021-12-14,4694.134,4697.24,4635.8017,4641.4427,-0.0079,16.5,3.01
57,2021-12-13,4711.4159,4717.0403,4676.512,4678.2331,-0.0063,14.4,3.86
58,2021-12-10,4683.0545,4714.2782,4675.9043,4707.7004,0.0029,16.68,2.91
59,2021-12-09,4688.7149,4708.693,4678.1864,4694.2618,0.0028000000000000004,17.06,3.35
