,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,5808.358,5814.7831,5589.3423,5598.9041,-0.0327,1326.2,45.87
1,2022-03-07,5845.7552,5867.3373,5721.2651,5788.3915,-0.015600000000000001,1245.59,45.13
2,2022-03-04,5951.1223,5951.1223,5860.8013,5879.8992,-0.019299999999999998,786.3,31.07
3,2022-03-03,5930.8649,6012.4685,5930.8649,5995.5147,0.0152,772.27,30.88
4,2022-03-02,6020.0982,6029.4096,5897.1715,5905.801,-0.0222,849.8,33.59
5,2022-03-01,5970.5557,6067.9371,5955.6068,6039.6595,0.0143,948.86,38.51
6,2022-02-28,6019.2964,6026.4353,5874.5888,5954.434,-0.0102,1501.15,61.48
7,2022-02-25,6105.2011,6133.9738,6003.1313,6015.8556,-0.0121,971.98,39.09
8,2022-02-24,6278.4694,6278.4694,6061.9392,6089.4779,-0.0359,1398.0,54.22
9,2022-02-23,6334.9003,6342.4892,6286.5913,6316.2708,-0.0031,606.02,24.91
10,2022-02-22,6402.9972,6402.9972,6274.8502,6335.9754,-0.0146,905.06,37.06
11,2022-02-21,6476.213,6478.023,6366.9879,6430.1321,-0.0086,866.08,40.77
12,2022-02-18,6374.088,6493.1039,6359.5887,6485.7967,0.015700000000000002,826.45,36.04
13,2022-02-17,6421.2698,6427.0757,6338.3658,6385.2413,-0.0043,830.31,33.06
14,2022-02-16,6368.2428,6463.0505,6353.2788,6412.7879,0.013500000000000002,916.76,34.67
15,2022-02-15,6431.6618,6432.8238,6293.9311,6327.4621,-0.0174,1232.57,45.11
16,2022-02-14,6625.7712,6629.0914,6424.2114,6439.3283,-0.0325,950.2,39.99
17,2022-02-11,6637.2597,6748.816,6616.6689,6655.4159,0.008,1404.97,59.94
18,2022-02-10,6454.8532,6602.5815,6447.8306,6602.5815,0.0275,1138.56,47.73
19,2022-02-09,6398.9541,6475.2204,6398.4055,6425.6955,0.0088,1141.28,44.13
20,2022-02-08,6350.209,6414.275,6299.9393,6369.7339,0.0059,1051.93,41.57
21,2022-02-07,6260.1823,6339.461,6221.6238,6332.1523,0.013300000000000001,1138.71,42.72
22,2022-02-04,6179.4028,6253.3682,6157.7475,6249.3351,0.0182,620.54,23.04
23,2022-01-31,6112.6708,6167.4515,6027.9722,6137.8921,0.0067,338.47,12.84
24,2022-01-28,6175.6104,6194.9103,6041.8617,6097.2342,-0.0115,634.86,24.75
25,2022-01-27,6312.2487,6312.2487,6103.6174,6168.147,-0.026099999999999998,876.05,33.95
26,2022-01-26,6346.0882,6391.1281,6308.3291,6333.7523,0.0019,830.37,32.56
27,2022-01-25,6471.497,6471.5339,6281.2995,6322.0075,-0.0265,961.06,40.58
28,2022-01-24,6459.5439,6548.2192,6414.4235,6494.3687,0.0028000000000000004,1045.08,46.9
29,2022-01-21,6466.7074,6488.7465,6394.9301,6475.9449,0.0025,990.36,47.59
30,2022-01-20,6323.4703,6460.068,6323.4703,6460.068,0.0275,1518.79,79.56
31,2022-01-19,6164.4742,6286.9234,6164.4742,6286.9234,0.022000000000000002,974.16,44.23
32,2022-01-18,6093.2666,6214.8319,6079.2533,6151.75,0.0108,789.46,31.81
33,2022-01-17,6185.2971,6188.7446,6067.4669,6086.221,-0.0154,782.47,33.88
34,2022-01-14,6201.1387,6227.9135,6150.1331,6181.2667,-0.0033,935.76,41.77
35,2022-01-13,6305.8605,6333.8946,6178.7853,6201.5073,-0.021099999999999997,1883.0,122.55
36,2022-01-12,6388.8834,6411.8573,6313.4075,6335.3325,-0.005,948.38,41.03
37,2022-01-11,6329.2329,6434.6438,6302.0088,6366.9917,0.0038,1168.39,49.42
38,2022-01-10,6196.5313,6358.3362,6196.5313,6342.8925,0.024900000000000002,1412.4,62.92
39,2022-01-07,6070.8561,6194.6594,6007.7778,6188.907,0.0207,1403.13,55.3
40,2022-01-06,6065.7174,6079.6611,6012.1015,6063.389,0.0026,862.16,35.46
41,2022-01-05,6082.3132,6100.5803,6024.2155,6047.9285,-0.004699999999999999,1126.06,40.98
42,2022-01-04,5932.9888,6091.7428,5932.9888,6076.2869,0.0242,1084.23,41.13
43,2022-01-03,5953.9678,5965.7665,5864.5793,5932.9888,-0.0011,404.41,18.1
44,2021-12-31,5928.8676,5977.3507,5920.4581,5939.3136,0.0070999999999999995,280.41,10.69
45,2021-12-30,5934.5898,5939.5395,5870.5084,5897.1543,-0.0044,419.04,14.66
46,2021-12-29,6028.8431,6028.8431,5913.5455,5923.3541,-0.0167,349.69,13.17
47,2021-12-28,5976.5721,6023.879,5970.0924,6023.879,0.0104,616.48,25.12
48,2021-12-24,5968.007,5983.1352,5926.9156,5962.1407,0.0002,324.72,13.52
49,2021-12-23,5879.4667,5973.5013,5876.7154,5961.092,0.0152,518.13,20.12
50,2021-12-22,5860.2193,5884.9822,5824.9379,5872.1064,0.0039000000000000003,439.82,16.86
51,2021-12-21,5749.9143,5863.6581,5738.3578,5849.5558,0.020099999999999996,650.86,26.52
52,2021-12-20,5934.9092,5936.8305,5729.9729,5734.296,-0.0345,876.75,38.21
53,2021-12-17,5959.5794,5984.2709,5931.299,5939.2342,-0.0023,897.28,34.39
54,2021-12-16,5882.3511,5993.3604,5875.6925,5952.9926,0.013999999999999999,658.12,30.48
55,2021-12-15,5909.6244,5967.9602,5864.8857,5871.0496,-0.0052,710.92,32.2
56,2021-12-14,6098.3641,6098.3641,5896.4558,5901.7789,-0.0337,993.25,49.56
57,2021-12-13,6190.4516,6209.985,6107.6993,6107.6993,-0.0098,779.53,39.03
58,2021-12-10,6272.6387,6272.6387,6148.3707,6167.9012,-0.0182,246.06,17.06
59,2021-12-09,6169.8438,6284.7167,6153.087,6281.9892,0.022099999999999998,357.05,23.75
60,2021-12-08,6184.7895,6186.7108,6117.5532,6146.0113,-0.0029,340.41,24.29
61,2021-12-07,6093.9343,6176.9743,6076.7374,6164.0781,0.0223,633.42,39.34
62,2021-12-06,6108.157,6193.9527,6015.5035,6029.5776,-0.0172,496.04,28.55
63,2021-12-03,6121.0988,6165.0844,6045.5158,6135.3635,0.0021,513.57,29.65
64,2021-12-02,6035.5941,6136.7127,6032.9172,6122.5923,0.0125,461.53,29.32
65,2021-12-01,6010.4812,6089.6041,6003.8747,6047.2156,0.006,478.97,30.35
66,2021-11-30,6069.5088,6086.1533,5953.8773,6011.0675,-0.0045000000000000005,955.46,43.24
67,2021-11-29,6051.6088,6071.6932,5999.5544,6038.2107,-0.0066,337.03,18.4
68,2021-11-26,6209.2692,6209.2692,6071.9137,6078.5679,-0.0223,333.0,16.58
69,2021-11-25,6207.0808,6240.4281,6187.9374,6217.4302,0.0049,451.26,16.68
70,2021-11-24,6169.5986,6198.7514,6157.6032,6187.1784,0.0037,294.64,20.49
71,2021-11-23,6091.1511,6181.5182,6065.0588,6164.27,0.0115,347.01,21.73
72,2021-11-22,6184.9601,6187.6122,6094.2136,6094.2958,-0.0134,273.85,17.83
73,2021-11-19,6083.8714,6194.8429,6061.1459,6177.1779,0.0131,400.88,29.55
74,2021-11-18,6159.9854,6167.9701,6075.9503,6097.4131,-0.011000000000000001,243.52,16.04
75,2021-11-17,6177.4328,6184.7475,6136.5621,6164.9492,-0.0034000000000000002,293.61,21.19
76,2021-11-16,6147.6798,6200.2983,6130.2177,6185.766,0.006999999999999999,302.97,20.89
77,2021-11-15,6272.4906,6272.4906,6122.2341,6142.6736,-0.021099999999999997,829.8,96.36
78,2021-11-12,6323.4485,6329.9347,6216.3181,6274.9134,-0.0019,381.32,24.89
79,2021-11-11,6131.1735,6289.7734,6109.7951,6287.067,0.0276,633.08,41.55
80,2021-11-10,6006.2931,6127.5654,5910.7848,6118.0014,0.018500000000000003,545.18,36.1
81,2021-11-09,6022.6977,6051.7581,5960.2447,6006.7692,-0.0026,289.33,14.91
82,2021-11-08,6032.369,6099.9415,6007.8936,6022.6977,0.0,327.16,18.7
83,2021-11-05,6186.7447,6188.0001,5989.3459,6022.7963,-0.027999999999999997,481.54,26.75
84,2021-11-04,6225.1872,6233.5181,6157.5796,6196.3538,-0.0008,541.33,26.37
85,2021-11-03,6144.432,6222.6216,6138.1751,6201.1478,0.0131,474.57,26.44
86,2021-11-02,6303.7012,6304.9872,6091.1391,6120.922,-0.0229,499.88,30.04
87,2021-11-01,6296.3422,6311.0049,6216.6972,6264.665,-0.0079,391.32,21.08
88,2021-10-29,6390.6062,6398.1286,6285.2803,6314.4476,-0.01,485.64,23.52
89,2021-10-28,6501.1057,6501.1057,6337.7644,6378.1337,-0.018600000000000002,592.18,30.0
90,2021-10-27,6557.5791,6557.5791,6482.4412,6498.8609,-0.0087,386.25,26.51
91,2021-10-26,6736.4585,6742.7024,6537.7741,6556.0335,-0.024300000000000002,493.47,33.83
92,2021-10-25,6756.2506,6789.2607,6685.7679,6719.2229,-0.0125,505.39,31.61
93,2021-10-22,6758.94,6858.3035,6758.94,6804.148,0.0144,804.52,55.69
94,2021-10-21,6660.2087,6760.738,6643.5645,6707.3626,0.012199999999999999,907.32,53.43
95,2021-10-20,6708.7495,6708.7495,6607.8146,6626.2552,-0.0127,448.36,29.49
96,2021-10-19,6682.2136,6731.6562,6657.0461,6711.5301,0.004699999999999999,404.03,27.37
97,2021-10-18,6620.3107,6680.8324,6610.5745,6680.0532,0.012199999999999999,476.65,34.12
98,2021-10-15,6619.3675,6638.6449,6506.5827,6599.3969,-0.0049,649.31,39.76
99,2021-10-12,6618.7213,6701.6986,6589.233,6632.095,-0.0005,487.31,34.28
100,2021-10-11,6819.1213,6824.3233,6620.7099,6635.1593,-0.0195,488.46,33.32
101,2021-10-08,6955.305,6956.1212,6745.1376,6766.8376,-0.0232,472.98,35.4
102,2021-10-07,6832.0979,6931.8985,6832.0979,6927.5005,0.0174,355.0,23.37
103,2021-10-06,6730.0451,6840.4964,6657.0549,6809.1362,0.0172,347.05,25.82
104,2021-10-05,6780.116,6780.116,6671.8039,6694.0281,-0.0146,307.1,23.79
105,2021-10-04,6797.3457,6820.7967,6682.7513,6793.2975,-0.0040999999999999995,307.82,23.54
106,2021-09-30,6694.5768,6820.9659,6651.2008,6820.9659,0.020499999999999997,461.98,38.04
107,2021-09-29,6730.8165,6778.8918,6635.7917,6683.7242,-0.0088,301.65,21.45
108,2021-09-28,6622.6692,6797.1595,6587.1854,6743.0138,0.0286,520.25,40.45
109,2021-09-27,6716.1611,6763.0082,6510.329,6555.4556,-0.0218,512.45,37.13
110,2021-09-24,6848.2558,6857.6313,6685.4997,6701.6369,-0.0187,530.58,36.76
111,2021-09-23,6746.2682,6935.7676,6746.2682,6829.4356,0.0405,763.96,53.21
112,2021-09-21,6416.3154,6563.5122,6382.7554,6563.5122,0.020099999999999996,341.72,22.79
113,2021-09-20,6811.6007,6816.1064,6395.132,6433.9453,-0.057699999999999994,815.14,27.33
114,2021-09-17,6866.8703,6883.4275,6746.9531,6828.1792,-0.006500000000000001,591.99,42.67
115,2021-09-16,7091.2521,7125.4494,6797.7785,6872.8867,-0.0297,534.99,38.84
116,2021-09-15,7221.4719,7224.1585,7061.9397,7083.2335,-0.0194,464.88,34.69
117,2021-09-14,7470.2609,7494.5522,7188.0244,7223.2394,-0.0326,538.33,39.43
118,2021-09-13,7423.8674,7466.8653,7400.4571,7466.8653,0.0038,398.08,27.13
119,2021-09-10,7391.1191,7479.7313,7391.1191,7438.5742,0.0067,456.87,30.99
120,2021-09-09,7406.4427,7452.7164,7356.7468,7389.3376,-0.004,559.84,43.08
121,2021-09-08,7462.6328,7498.9899,7395.7239,7419.3201,-0.0044,443.58,32.2
122,2021-09-07,7410.0841,7455.2478,7395.4485,7452.0877,0.0072,440.97,30.62
123,2021-09-06,7344.8646,7439.9426,7343.4376,7399.039,0.0116,604.03,38.15
124,2021-09-03,7299.9616,7372.2322,7286.9049,7314.2996,0.0051,506.59,35.37
125,2021-09-02,7166.4809,7276.8704,7166.4809,7276.8704,0.021,647.76,41.02
126,2021-09-01,7067.3508,7176.4188,7058.4904,7127.204,0.0104,626.36,38.54
127,2021-08-31,6948.0433,7053.8918,6879.7947,7053.8918,0.0154,518.8,34.53
128,2021-08-30,6882.8352,6950.3055,6882.8352,6946.7243,0.0139,331.82,23.12
129,2021-08-27,6831.6267,6873.7865,6817.691,6851.5392,0.0064,303.87,20.55
130,2021-08-26,6854.5737,6878.1965,6777.9636,6808.0419,-0.0054,327.0,19.84
131,2021-08-25,6745.0597,6845.121,6741.307,6845.121,0.0179,269.65,16.86
132,2021-08-24,6706.6398,6745.2297,6699.7201,6724.7328,0.008199999999999999,254.04,16.75
133,2021-08-23,6627.181,6697.3843,6616.9287,6670.1094,0.0088,298.46,19.69
134,2021-08-20,6732.5987,6736.4303,6512.5902,6612.0682,-0.0174,344.56,20.86
135,2021-08-19,6858.8351,6864.5883,6694.9131,6729.2976,-0.018500000000000003,273.56,19.64
136,2021-08-18,6793.1129,6856.2863,6793.1129,6856.0332,0.0098,222.26,14.19
137,2021-08-17,6915.7391,6945.6916,6755.5302,6789.8291,-0.0184,305.58,19.68
138,2021-08-16,6925.6295,6960.0556,6874.1937,6917.2852,0.0009,261.1,16.37
139,2021-08-13,6927.3252,6947.9704,6881.1272,6911.0466,0.0003,300.11,16.0
140,2021-08-12,6913.5068,6928.5808,6872.7651,6908.92,0.0001,257.01,17.84
141,2021-08-11,6811.0586,6950.1954,6800.1421,6908.5695,0.02,428.48,32.8
142,2021-08-10,6746.0274,6777.3406,6681.1101,6773.1928,0.008199999999999999,279.68,21.03
143,2021-08-09,6612.9991,6733.1757,6594.557,6717.7985,0.0167,272.27,20.23
144,2021-08-06,6658.0106,6663.6897,6593.4226,6607.2064,-0.0068000000000000005,204.22,13.24
145,2021-08-05,6693.4612,6715.8595,6630.8614,6652.4632,-0.006500000000000001,239.85,15.77
146,2021-08-04,6672.604,6712.2477,6641.5824,6696.0419,0.0067,209.17,13.88
147,2021-08-03,6676.3453,6680.9143,6560.6513,6651.7451,-0.001,361.66,20.65
148,2021-08-02,6478.7605,6658.7034,6403.5392,6658.7034,0.03,363.31,24.99
149,2021-07-30,6531.8515,6540.2181,6420.6917,6464.82,-0.0098,422.74,30.52
150,2021-07-29,6531.1718,6588.5665,6504.7333,6528.9181,0.0113,339.31,23.63
151,2021-07-28,6439.3896,6506.208,6368.7048,6455.6532,0.0066,393.07,26.24
