,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,4426.7757,4449.7772,4374.7834,4406.433,-0.0025,1152.12,96.61
1,2022-03-07,4442.305,4442.305,4381.2368,4417.3221,-0.0124,857.92,87.11
2,2022-03-04,4454.0827,4481.6499,4436.2686,4472.8373,-0.0034000000000000002,678.26,68.95
3,2022-03-03,4452.4261,4500.4831,4450.4358,4488.0603,0.009899999999999999,638.2,62.99
4,2022-03-02,4487.959,4493.5105,4427.9179,4443.88,-0.0137,730.11,74.97
5,2022-03-01,4525.3254,4532.0627,4479.0109,4505.4833,-0.0031,805.32,73.23
6,2022-02-28,4519.0266,4528.4651,4458.6775,4519.6672,0.0028000000000000004,1195.87,116.66
7,2022-02-25,4536.9392,4542.1562,4497.307,4506.9864,-0.0098,1041.04,96.29
8,2022-02-24,4592.1625,4607.0461,4522.8234,4551.4071,-0.0165,1002.55,91.07
9,2022-02-23,4662.2883,4662.2883,4603.3012,4627.8198,-0.0032,550.34,63.02
10,2022-02-22,4686.7727,4689.8912,4622.9129,4642.6428,-0.018799999999999997,795.45,77.85
11,2022-02-21,4716.8703,4735.0689,4677.7011,4731.7211,0.0007000000000000001,575.93,48.87
12,2022-02-18,4713.1793,4742.2619,4697.0615,4728.4436,-0.0003,661.11,60.59
13,2022-02-17,4729.1747,4745.408,4704.5858,4729.8338,0.0017000000000000001,673.75,58.3
14,2022-02-16,4706.8716,4732.5804,4693.7171,4721.5967,0.005699999999999999,726.51,63.61
15,2022-02-15,4740.7532,4742.3076,4667.0874,4694.6903,-0.0123,1024.83,90.8
16,2022-02-14,4782.9866,4784.4571,4743.0742,4752.9188,-0.0086,648.74,61.67
17,2022-02-11,4769.2327,4794.3181,4752.118,4794.3181,0.004699999999999999,987.89,98.59
18,2022-02-10,4766.8963,4771.7849,4732.8956,4771.7849,0.004699999999999999,842.35,79.95
19,2022-02-09,4742.2031,4753.4665,4731.1803,4749.4922,0.0072,967.09,92.61
20,2022-02-08,4700.4094,4729.0283,4688.8933,4715.709,0.004699999999999999,811.26,84.0
21,2022-02-07,4657.3523,4693.8556,4644.557,4693.8556,0.0088,972.12,83.29
22,2022-02-04,4614.39,4658.034,4581.4859,4652.9645,0.0176,670.46,79.97
23,2022-01-31,4575.0119,4596.8753,4537.9008,4572.4068,-0.0005,470.6,47.1
24,2022-01-28,4601.8336,4611.3814,4571.1283,4574.8514,-0.0052,688.42,73.93
25,2022-01-27,4586.4348,4598.9241,4561.2723,4598.9241,-0.0031,591.78,59.02
26,2022-01-26,4614.0114,4616.1997,4593.6597,4613.4029,0.0025,843.11,71.3
27,2022-01-25,4593.4439,4608.8313,4568.5355,4601.9609,-0.0076,859.79,80.94
28,2022-01-24,4614.4813,4643.4435,4606.8985,4637.0472,0.0028000000000000004,724.18,63.39
29,2022-01-21,4601.7986,4624.0131,4591.0913,4624.0131,0.0062,721.7,75.2
30,2022-01-20,4599.0692,4600.0888,4563.0883,4595.6857,0.0036,908.79,76.99
31,2022-01-19,4568.5764,4584.0165,4559.3376,4579.0845,0.0028000000000000004,681.74,66.08
32,2022-01-18,4551.2023,4573.3297,4542.8233,4566.3521,0.0023,625.71,52.93
33,2022-01-17,4566.8674,4570.2651,4541.2816,4555.9659,-0.0031,569.28,47.49
34,2022-01-14,4566.4557,4577.8641,4551.93,4570.1099,0.0005,768.47,67.83
35,2022-01-13,4532.319,4567.648,4528.0345,4567.648,0.0092,849.2,72.71
36,2022-01-12,4539.822,4540.6498,4502.5789,4526.2312,-0.0018,931.71,77.43
37,2022-01-11,4500.9807,4549.467,4494.8387,4534.5319,0.0053,1087.8,89.93
38,2022-01-10,4466.8591,4517.9889,4454.5558,4510.6161,0.013000000000000001,1140.27,86.26
39,2022-01-07,4411.1971,4454.4479,4396.676,4452.8221,0.0069,960.94,76.24
40,2022-01-06,4448.4521,4448.4521,4390.2705,4422.4891,-0.006,818.18,64.84
41,2022-01-05,4425.2867,4464.6595,4418.0271,4449.3571,0.0106,1137.89,89.78
42,2022-01-04,4385.7575,4412.036,4381.6724,4402.8027,0.0039000000000000003,790.85,56.93
43,2022-01-03,4374.8623,4395.5922,4369.5151,4385.7575,0.0077,302.52,28.54
44,2021-12-31,4370.5628,4388.2069,4352.0835,4352.0835,-0.0033,298.77,25.35
45,2021-12-30,4380.2075,4384.6544,4357.1991,4366.4827,-0.0017000000000000001,438.08,35.79
46,2021-12-29,4384.357,4384.357,4359.8107,4373.8632,0.0005,294.43,29.15
47,2021-12-28,4331.0745,4373.4371,4327.9231,4371.8022,0.0115,811.15,65.34
48,2021-12-24,4316.6612,4327.4773,4310.1885,4322.1737,0.0043,383.11,25.2
49,2021-12-23,4278.2263,4314.2067,4274.8623,4303.7537,0.008199999999999999,782.2,56.4
50,2021-12-22,4259.1571,4276.0561,4249.8469,4268.6578,0.0026,641.96,45.12
51,2021-12-21,4275.7425,4296.8168,4256.936,4257.458,0.0014000000000000002,780.27,58.98
52,2021-12-20,4260.8574,4273.1787,4243.1783,4251.6778,-0.006,717.04,60.38
53,2021-12-17,4267.5399,4291.9262,4257.8111,4277.3847,0.0025,1189.21,92.65
54,2021-12-16,4252.0674,4278.2739,4240.8382,4266.8941,-0.0006,817.16,70.47
55,2021-12-15,4262.6833,4279.2957,4236.1487,4269.5455,0.0029,807.57,60.43
56,2021-12-14,4263.2415,4273.2454,4241.8231,4257.1761,-0.004699999999999999,826.66,60.98
57,2021-12-13,4307.0879,4318.4644,4272.4194,4277.4433,-0.002,878.4,71.09
58,2021-12-10,4309.3681,4331.5521,4271.6716,4285.9252,-0.0098,950.94,68.36
59,2021-12-09,4267.0013,4334.3422,4263.977,4328.3064,0.015700000000000002,1192.56,89.37
60,2021-12-08,4245.8586,4262.508,4222.7488,4261.4674,0.0055000000000000005,1303.82,91.3
61,2021-12-07,4229.3469,4252.9679,4210.2578,4238.1856,0.0076,1220.12,93.04
62,2021-12-06,4229.3951,4268.3471,4200.6209,4206.0715,-0.0068000000000000005,1549.26,108.71
