日期,c_1,c_2,c_3,c_4,n
2009-01-30,-263.7740507374496,-46.81281091389287,-35.05646533833824,-6.661338147750941e-16,3
2009-02-27,-270.9290402556044,-51.58590706430993,-47.59728486563851,0.0,3
2009-03-31,-242.9189062619497,-43.72148501564088,-45.258871437485254,0.0,3
2009-04-30,-183.37387604321927,-27.88825962479206,-48.18280659238557,-7.732703366517205e-13,3
2009-05-29,-121.20892082176061,-14.570841825140455,-32.859079076599976,-4.6985505710933603e-07,3
2009-06-30,-110.55141279053157,-14.752279370217193,-35.79906360411459,-3.9189214569693495e-07,3
2009-07-31,-74.37486814249418,-7.620147126702351,-11.41418974372551,-0.0005016332070899984,3
2009-08-31,-86.3278018011108,-10.607333710779077,-22.916729569308615,-2.4734368741950213e-05,3
2009-09-30,-81.54736325843285,-4.651791589652188,-26.972873755666654,-0.009590327331850137,3
2009-10-30,-69.32733864168436,-6.916213427349579,-29.40072435739097,-0.0009920694595169231,3
2009-11-30,-68.00766852978781,-6.377386420289081,-24.161562687596877,-0.001701005011365214,3
2009-12-31,-63.14052208757606,-9.00587112339181,-28.7388533067236,-0.00012269489975781772,3
2010-01-29,-82.36224576356122,-11.712783619185736,-28.165525128908396,-8.188503059798025e-06,3
2010-02-26,-69.25456425100595,-9.005746583974954,-17.507665887923324,-0.00012273510296320685,3
2010-03-31,-53.31140807042509,-9.234492304845892,-14.044716472550434,-9.841374636811199e-05,3
2010-04-30,-52.35539893024332,-8.927378861766984,-11.068496563414065,-0.00014831239858750843,3
2010-05-31,-69.42963036295782,-10.896326085716924,-17.347445771604438,-1.8555593102704398e-05,3
2010-06-30,-65.27081313280588,-9.392266063830613,-19.6906183525942,-8.33726124997258e-05,3
2010-07-30,-47.60635739593364,-7.111441351433361,-15.199302769628853,-0.0008163021177327165,3
2010-08-31,-49.64863344993602,-9.094312152765289,-13.144091333296245,-0.00011426629719990038,3
2010-09-30,-34.69413302457201,-5.760215702709356,-11.316169949548284,-0.0031676180410216124,3
2010-10-29,-32.591176367783056,-2.8294078936741442,-4.005805698606356,-0.08040497588830016,3
2010-11-30,-35.99457873340726,-5.398557032079484,-0.0047815381308139145,-8.3060337744684,2
2010-12-31,-33.25506767633184,-7.491495527979677,-0.0008159612566975457,-8.263247602798634,2
2011-01-31,-27.344500344879457,-8.153228085027953,-0.00029293834664749404,-12.188106417083006,2
2011-02-28,-32.08359617315437,-11.992659529348522,-6.1895100748835796e-06,-25.214570088336394,2
2011-03-31,-32.16239407024337,-14.624207661327796,-4.4543816142076234e-07,-33.30990225082078,2
2011-04-29,-38.167709325593506,-19.649406460536085,-2.926652813270388e-09,-52.33833285924822,2
2011-05-31,-33.289915162356664,-22.000296954378452,-2.788674846987673e-10,-59.33128045161326,2
2011-06-30,-39.99522917877419,-30.100235439181496,-8.471001677890303e-14,-92.39465990240161,2
2011-07-29,-51.28504621265998,-26.595226928201875,-2.817412969595229e-12,-89.60404713203629,2
2011-08-31,-70.98402160912012,-17.501484840131713,-2.507273520259724e-08,-64.33883226552335,2
2011-09-30,-99.43370032538013,-19.165148549054273,-4.749870175136607e-09,-50.333244580060736,2
2011-10-31,-69.19633201438181,-18.30312937497142,-1.1247394856553114e-08,-34.732845602141026,2
2011-11-30,-94.6233226395778,-23.235855127116295,-1.8632256355952007e-08,-17.80273146552122,2
2011-12-30,-81.20856331796571,-21.505704364639737,-1.231266017978774e-06,-13.607839717594043,2
2012-01-31,-59.59524950781791,-14.32732514807121,-9.553471153930755e-06,-11.623408120181749,2
2012-02-29,-25.67753737411133,-8.898044201135727,-0.0789143241467476,-2.5803927673686244,2
2012-03-30,-59.06884917747968,-13.019581956153067,-2.816010396738962e-05,-10.559600670859705,2
2012-04-30,-57.06092635917906,-10.48275300730389,-5.503118357755707e-05,-10.519148645615443,2
2012-05-31,-73.34645380392713,-16.55977044674097,-8.500491040073368e-05,-9.373600732544656,2
2012-06-29,-70.1112291508748,-16.60218322212501,-6.399597745559148e-08,-19.860353955504834,2
2012-07-31,-61.94360191217079,-17.572001782865115,-2.3365595398366347e-08,-31.908801941204736,2
2012-08-31,-82.75078543785632,-18.359722402227348,-1.0628546321806277e-08,-37.94610662598822,2
2012-09-28,-61.32911772572007,-10.86065621743191,-1.9199139323300666e-05,-24.263374202529175,2
2012-10-31,-64.72382591605567,-7.17843163064222,-0.0007631545467029235,-23.497115487133218,2
2012-11-30,-59.98641959446413,-4.830120537046395,-0.008017668745036986,-16.728469527158996,2
2012-12-31,-58.677027715892855,-3.841118893207279,-0.021703890755174492,-14.528184702577542,2
2013-01-31,-43.88601181969198,-3.797608613550288,-0.022701365823349116,-10.757008491519947,2
2013-02-28,-42.66698829187948,-3.355569636814058,-0.03598563788216241,-7.692224237190625,2
2013-03-29,-59.78786303434618,-4.073036580637044,-0.01717264728545464,-14.66529373326177,2
2013-04-30,-63.90059331026589,-1.9015216478768449,-0.1617441727490063,-23.343599200704837,2
2013-05-31,-63.135586766968956,-0.24461379781764428,-1.527889898837578,-16.64074460758098,1
2013-06-28,-94.77897436112143,-3.031444323557749,-0.049448581231489167,-24.86963624635577,2
2013-07-31,-72.6315306207384,-2.78226735429691,-0.06389667709025475,-16.41100567690106,2
2013-08-30,-78.36030314563416,-3.9323417607178603,-0.019792310238630963,-19.718577089205244,2
2013-09-30,-66.37139081502343,-2.9013150670331047,-0.05651840905416408,-19.168622669565647,2
2013-10-31,-71.78558491093355,-2.3820094577703594,-0.09691272976492152,-24.608001656300356,2
2013-11-29,-74.12175096537767,-4.137429804408107,-0.016092623443801007,-29.65406585382631,2
2013-12-31,-82.06488201467432,-4.230534368533588,-0.014651426158134927,-26.539046779785956,2
2014-01-31,-90.27642069679297,-3.433017110454379,-0.03282220357767527,-17.421248791651205,2
2014-02-28,-83.24778655129212,-3.264092939371695,-0.03898160339034912,-27.98008754515077,2
2014-03-31,-76.32176555921397,-2.9145536247636694,-0.05575449799290434,-14.566104287078401,2
2014-04-30,-74.49204875130081,-2.783716154888881,-0.06380356707805723,-12.966730778881526,2
2014-05-30,-65.67494178717659,-0.18024947028203264,-1.8021848157774427,-19.672985003833375,1
2014-06-30,-79.23310654627852,-0.054644012209685955,-2.9341132303806385,-35.02986730011504,1
2014-07-31,-54.789158460471995,-0.024132459088916654,-3.736239458947807,-25.32057193909852,1
2014-08-29,-64.82668065354629,-6.071433540682401e-05,-9.709361076645097,-40.59298642319105,1
2014-09-30,-81.92966547458029,-1.0660194949565259e-10,-22.961919130526955,-54.643142241637605,1
2014-10-31,-83.02048007257974,-5.110356582350901e-13,-28.30213291967533,-72.62157360629786,1
2014-11-28,-70.65839110058162,0.0,-49.85092602080754,-79.22003688453403,1
2014-12-31,-73.20902315680907,0.0,-61.28354280559053,-89.52042537526408,1
