,日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量
0,2017-01-02,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3405.16,-0.27,-0.01,0.08,0.71,3269.0
1,2017-01-03,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3434.66,29.5,0.87,298.6,3537.45,3269.0
2,2017-01-04,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3460.42,25.77,0.75,359.95,4459.99,3269.0
3,2017-01-05,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3474.1,13.67,0.4,372.95,4566.74,3269.0
4,2017-01-06,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3462.79,-11.31,-0.33,367.89,4477.88,3269.0
5,2017-01-09,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3480.48,17.69,0.51,344.91,4180.52,3269.0
6,2017-01-10,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3481.87,1.38,0.04,358.2,4260.99,3269.0
7,2017-01-11,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3467.57,-14.29,-0.41,352.79,4077.94,3269.0
8,2017-01-12,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3438.63,-28.94,-0.83,317.25,3653.99,3269.0
9,2017-01-13,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3423.47,-15.16,-0.44,317.55,3758.07,3268.0
10,2017-01-16,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3365.77,-57.7,-1.69,472.72,5032.65,3268.0
11,2017-01-17,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3379.54,13.78,0.41,289.97,3429.32,3268.0
12,2017-01-18,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3384.61,5.06,0.15,278.81,3218.72,3267.0
13,2017-01-19,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3380.04,-4.57,-0.14,254.66,2910.18,3267.0
14,2017-01-20,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3402.1,22.07,0.65,265.92,3157.14,3267.0
15,2017-01-23,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3419.31,17.2,0.51,283.87,3288.16,3267.0
16,2017-01-24,H30374,中证中国内地企业全球综合指数,中国内地全指,CSI China Mainland Enterprises Global Composite Index,China Mainland All,,,,3423.18,3.88,0.11,281.66,3149.59,3267.0
