,trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
0,2022-04-13,,,1.2029,1.4639,1.9208,0.0,,199471.7581
1,2022-04-12,,,1.2076,1.4695,1.9282,0.0,,200241.9193
2,2022-04-11,,,1.189,1.4469,1.8985,0.0,,197161.2744
3,2022-04-08,,,1.2029,1.4639,1.9208,0.0,,199471.7581
4,2022-04-07,,,1.2169,1.4808,1.943,0.0,,201782.2417
5,2022-04-06,,,1.2308,1.4978,1.9653,0.0,,204092.7254
6,2022-04-01,,,1.2029,1.4639,1.9208,0.0,,199471.7581
7,2022-03-31,,,1.1797,1.4356,1.8837,0.0,,195620.9519
8,2022-03-30,,,1.2029,1.4639,1.9208,0.0,,199471.7581
9,2022-03-29,,,1.2076,1.4695,1.9282,0.0,,200241.9193
10,2022-03-28,,,1.189,1.4469,1.8985,0.0,,197161.2744
11,2022-03-25,,,1.1379,1.3848,1.8169,0.0,,188689.5009
12,2022-03-24,,,1.124,1.3678,1.7947,0.0,,186379.0172
13,2022-03-23,,,1.1472,1.3961,1.8318,0.0,,190229.8233
14,2022-03-22,,,1.1472,1.3961,1.8318,0.0,,190229.8233
15,2022-03-21,,,1.1472,1.3961,1.8318,0.0,,190229.8233
16,2022-03-18,,,1.1286,1.3735,1.8021,0.0,,187149.1784
17,2022-03-17,,,1.11,1.3508,1.7725,0.0,,184068.5335
18,2022-03-16,,,1.1054,1.3452,1.765,0.0,,183298.3723
19,2022-03-15,,,1.0775,1.3113,1.7205,0.0,,178677.4049
20,2022-03-14,,,1.1286,1.3735,1.8021,0.0,,187149.1784
21,2022-03-11,,,1.1611,1.413,1.854,0.0,,192540.307
22,2022-03-10,,,1.1426,1.3904,1.8244,0.0,,189459.6621
23,2022-03-09,,,1.124,1.3678,1.7947,0.0,,186379.0172
24,2022-03-08,,,1.1518,1.4017,1.8392,0.0,,190999.9845
25,2022-03-07,,,1.1936,1.4526,1.9059,0.0,,197931.4356
26,2022-03-04,,,1.2029,1.4639,1.9208,0.0,,199471.7581
27,2022-03-03,,,1.2308,1.4978,1.9653,0.0,,204092.7254
28,2022-03-02,,,1.2169,1.4808,1.943,0.0,,201782.2417
29,2022-03-01,,,1.2169,1.4808,1.943,0.0,,201782.2417
30,2022-02-28,,,1.2122,1.4752,1.9356,0.0,,201012.0805
31,2022-02-25,,,1.2215,1.4865,1.9504,0.0,,202552.403
32,2022-02-24,,,1.2122,1.4752,1.9356,0.0,,201012.0805
33,2022-02-23,,,1.2772,1.5543,2.0394,0.0,,211794.3377
34,2022-02-22,,,1.2587,1.5317,2.0098,0.0,,208713.6928
35,2022-02-21,,,1.2772,1.5543,2.0394,0.0,,211794.3377
36,2022-02-18,,,1.2262,1.4921,1.9579,0.0,,203322.5642
37,2022-02-17,,,1.2122,1.4752,1.9356,0.0,,201012.0805
38,2022-02-16,,,1.2076,1.4695,1.9282,0.0,,200241.9193
39,2022-02-15,,,1.1844,1.4413,1.8911,0.0,,196391.1131
40,2022-02-14,,,1.2029,1.4639,1.9208,0.0,,199471.7581
41,2022-02-11,,,1.1472,1.3961,1.8318,0.0,,190229.8233
42,2022-02-10,,,1.1983,1.4582,1.9134,0.0,,198701.5968
43,2022-02-09,,,1.1936,1.4526,1.9059,0.0,,197931.4356
44,2022-02-08,,,1.189,1.4469,1.8985,0.0,,197161.2744
45,2022-02-07,,,1.1611,1.413,1.854,0.0,,192540.307
46,2022-01-28,,,1.3887,1.69,2.2174,0.0,,230278.2072
47,2022-01-27,,,1.3376,1.6278,2.1358,0.0,,221806.4337
48,2022-01-26,,,1.4026,1.7069,2.2397,0.0,,232588.6909
49,2022-01-25,,,1.3887,1.69,2.2174,0.0,,230278.2072
50,2022-01-24,,,1.4444,1.7578,2.3064,0.0,,239520.1419
51,2022-01-21,,,1.4816,1.803,2.3657,0.0,,245681.4317
52,2022-01-20,,,1.463,1.7804,2.3361,0.0,,242600.7868
53,2022-01-19,,,1.5327,1.8652,2.4473,0.0,,254153.2052
54,2022-01-18,,,1.5095,1.8369,2.4102,0.0,,250302.3991
55,2022-01-17,,,1.5652,1.9048,2.4992,0.0,,259544.3338
56,2022-01-14,,,1.528,1.8595,2.4399,0.0,,253383.044
57,2022-01-13,,,1.5698,1.9104,2.5066,0.0,,260314.4951
58,2022-01-12,,,1.5652,1.9048,2.4992,0.0,,259544.3338
59,2022-01-11,,,1.5559,1.8934,2.4844,0.0,,258004.0114
60,2022-01-10,,,1.5745,1.9161,2.5141,0.0,,261084.6563
61,2022-01-07,,,1.6488,2.0065,2.6327,0.0,,273407.2359
62,2022-01-06,,,1.6442,2.0008,2.6253,0.0,,272637.0747
63,2022-01-05,,,1.6395,1.9952,2.6179,0.0,,271866.9135
64,2022-01-04,,,1.6302,1.9839,2.6031,0.0,,270326.591
65,2021-12-31,,,1.542,1.8765,2.4622,0.0,,255693.5277
66,2021-12-30,,,1.5606,1.8991,2.4918,0.0,,258774.1726
67,2021-12-29,,,1.5466,1.8821,2.4696,0.0,,256463.6889
68,2021-12-28,,,1.5141,1.8426,2.4177,0.0,,251072.5603
69,2021-12-27,,,1.4816,1.803,2.3657,0.0,,245681.4317
70,2021-12-24,,,1.4816,1.803,2.3657,0.0,,245681.4317
71,2021-12-23,,,1.5466,1.8821,2.4696,0.0,,256463.6889
72,2021-12-22,,,1.5791,1.9217,2.5215,0.0,,261854.8175
73,2021-12-21,,,1.5652,1.9048,2.4992,0.0,,259544.3338
74,2021-12-20,,,1.4955,1.82,2.388,0.0,,247991.9154
75,2021-12-17,,,1.5188,1.8482,2.4251,0.0,,251842.7216
76,2021-12-16,,,1.4723,1.7917,2.3509,0.0,,244141.1093
77,2021-12-15,,,1.4584,1.7748,2.3287,0.0,,241830.6256
78,2021-12-14,,,1.5234,1.8539,2.4325,0.0,,252612.8828
79,2021-12-13,,,1.5327,1.8652,2.4473,0.0,,254153.2052
80,2021-12-10,,,1.5606,1.8991,2.4918,0.0,,258774.1726
81,2021-12-09,,,1.542,1.8765,2.4622,0.0,,255693.5277
82,2021-12-08,,,1.5884,1.933,2.5363,0.0,,263395.14
83,2021-12-07,,,1.672,2.0347,2.6698,0.0,,277258.0421
84,2021-12-06,,,1.5791,1.9217,2.5215,0.0,,261854.8175
85,2021-12-03,,,1.5698,1.9104,2.5066,0.0,,260314.4951
86,2021-12-02,,,1.542,1.8765,2.4622,0.0,,255693.5277
87,2021-12-01,,,1.5968,1.9723,2.5878,0.0,,268742.0849
88,2021-11-30,,,1.5045,1.8582,2.4382,0.0,,253207.8603
89,2021-11-29,,,1.4722,1.8183,2.3859,0.0,,247770.8817
90,2021-11-26,,,1.4399,1.7784,2.3335,0.0,,242333.9031
91,2021-11-25,,,1.4583,1.8012,2.3634,0.0,,245440.748
92,2021-11-24,,,1.4168,1.7499,2.2961,0.0,,238450.347
93,2021-11-23,,,1.4122,1.7442,2.2886,0.0,,237673.6358
94,2021-11-22,,,1.3845,1.71,2.2438,0.0,,233013.3684
95,2021-11-19,,,1.426,1.7613,2.3111,0.0,,240003.7695
96,2021-11-18,,,1.4076,1.7385,2.2812,0.0,,236896.9245
97,2021-11-17,,,1.4722,1.8183,2.3859,0.0,,247770.8817
98,2021-11-16,,,1.4214,1.7556,2.3036,0.0,,239227.0582
99,2021-11-15,,,1.4491,1.7898,2.3485,0.0,,243887.3256
100,2021-11-12,,,1.3753,1.6986,2.2288,0.0,,231459.9459
101,2021-11-11,,,1.3707,1.6929,2.2213,0.0,,230683.2347
102,2021-11-10,,,1.3799,1.7043,2.2363,0.0,,232236.6572
103,2021-11-09,,,1.3937,1.7214,2.2587,0.0,,234566.7909
104,2021-11-08,,,1.2968,1.6017,2.1017,0.0,,218255.8551
105,2021-11-05,,,1.2461,1.539,2.0194,0.0,,209712.0316
106,2021-11-04,,,1.2414,1.5333,2.0119,0.0,,208935.3203
107,2021-11-03,,,1.2414,1.5333,2.0119,0.0,,208935.3203
108,2021-11-02,,,1.2137,1.4991,1.967,0.0,,204275.053
109,2021-11-01,,,1.2414,1.5333,2.0119,0.0,,208935.3203
110,2021-10-29,,,1.2414,1.5333,2.0119,0.0,,208935.3203
111,2021-10-28,,,1.4198,1.5048,1.6328,0.0,,205051.7642
112,2021-10-27,,,1.366,1.4478,1.5709,0.0,,197284.6519
113,2021-10-26,,,1.4037,1.4877,1.6142,0.0,,202721.6305
114,2021-10-25,,,1.4252,1.5105,1.6389,0.0,,205828.4754
115,2021-10-22,,,1.4413,1.5276,1.6575,0.0,,208158.6091
116,2021-10-21,,,1.4521,1.539,1.6699,0.0,,209712.0316
117,2021-10-20,,,1.4736,1.5618,1.6946,0.0,,212818.8765
118,2021-10-19,,,1.4575,1.5447,1.6761,0.0,,210488.7428
119,2021-10-18,,,1.4198,1.5048,1.6328,0.0,,205051.7642
120,2021-10-15,,,1.4145,1.4991,1.6266,0.0,,204275.053
121,2021-10-14,,,1.436,1.5219,1.6513,0.0,,207381.8979
122,2021-10-13,,,1.4413,1.5276,1.6575,0.0,,208158.6091
123,2021-10-12,,,1.4252,1.5105,1.6389,0.0,,205828.4754
124,2021-10-11,,,1.4467,1.5333,1.6637,0.0,,208935.3203
125,2021-10-08,,,1.4198,1.5048,1.6328,0.0,,205051.7642
126,2021-09-30,,,1.366,1.4478,1.5709,0.0,,197284.6519
127,2021-09-29,,,1.3392,1.4193,1.54,0.0,,193401.0958
128,2021-09-28,,,1.3768,1.4592,1.5833,0.0,,198838.0744
129,2021-09-27,,,1.3607,1.4421,1.5647,0.0,,196507.9407
130,2021-09-24,,,1.436,1.5219,1.6513,0.0,,207381.8979
131,2021-09-23,,,1.4575,1.5447,1.6761,0.0,,210488.7428
132,2021-09-22,,,1.4521,1.539,1.6699,0.0,,209712.0316
133,2021-09-17,,,1.4575,1.5447,1.6761,0.0,,210488.7428
134,2021-09-16,,,1.522,1.6131,1.7503,0.0,,219809.2775
135,2021-09-15,,,1.5005,1.5903,1.7255,0.0,,216702.4326
136,2021-09-14,,,1.4951,1.5846,1.4762,0.0,,215925.7214
137,2021-09-13,,,1.4897,1.3708,1.4709,0.0,,215149.0102
138,2021-09-10,,,1.4897,1.3708,1.4709,0.0,,215149.0102
139,2021-09-09,,,1.4844,1.3659,1.4655,0.0,,214372.2989
140,2021-09-08,,,1.4951,1.3758,1.4762,0.0,,215925.7214
141,2021-09-07,,,1.4521,1.3362,1.4337,0.0,,209712.0316
142,2021-09-06,,,1.4521,1.3362,1.4337,0.0,,209712.0316
143,2021-09-03,,,1.4252,1.3114,1.4071,0.0,,205828.4754
144,2021-09-02,,,1.4145,1.3015,1.3965,0.0,,204275.053
145,2021-09-01,,,1.4736,1.356,1.4549,0.0,,212818.8765
146,2021-08-31,,,1.4629,1.3461,1.4443,0.0,,211265.454
147,2021-08-30,,,1.3829,1.4599,1.4142,0.0,,229129.8123
148,2021-08-27,,,1.3267,1.4005,1.3566,0.0,,219809.2775
149,2021-08-26,,,1.3548,1.4302,1.3854,0.0,,224469.5449
150,2021-08-25,,,1.3689,1.445,1.3998,0.0,,226799.6786
151,2021-08-24,,,1.3876,1.4648,1.419,0.0,,229906.5235
152,2021-08-23,,,1.4157,1.4945,1.4477,0.0,,234566.7909
153,2021-08-20,,,1.4111,1.4896,1.4429,0.0,,233790.0796
154,2021-08-19,,,1.4298,1.5094,1.4621,0.0,,236896.9245
155,2021-08-18,,,1.3642,1.4401,1.395,0.0,,226022.9673
156,2021-08-17,,,1.3454,1.4203,1.3758,0.0,,222916.1224
157,2021-08-16,,,1.3782,1.4549,1.4094,0.0,,228353.101
158,2021-08-13,,,1.3782,1.4549,1.4094,0.0,,228353.101
159,2021-08-12,,,1.397,1.4747,1.4285,0.0,,231459.9459
160,2021-08-11,,,1.3689,1.445,1.3998,0.0,,226799.6786
161,2021-08-10,,,1.3736,1.45,1.4046,0.0,,227576.3898
162,2021-08-09,,,1.3454,1.4203,1.3758,0.0,,222916.1224
163,2021-08-06,,,1.3314,1.4054,1.3614,0.0,,220585.9888
164,2021-08-05,,,1.3361,1.4104,1.3662,0.0,,221362.7
165,2021-08-04,,,1.3829,1.4599,1.4142,0.0,,229129.8123
166,2021-08-03,,,1.3923,1.4698,1.4238,0.0,,230683.2347
167,2021-08-02,,,1.4298,1.5094,1.4621,0.0,,236896.9245
168,2021-07-30,,,1.3876,1.4648,1.419,0.0,,229906.5235
169,2021-07-29,,,1.3736,1.45,1.4046,0.0,,227576.3898
170,2021-07-28,,,1.3314,1.4054,1.3614,0.0,,220585.9888
171,2021-07-27,,,1.4111,1.4896,1.4429,0.0,,233790.0796
172,2021-07-26,,,1.4157,1.4945,1.4477,0.0,,234566.7909
173,2021-07-23,,,1.4064,1.4846,1.4381,0.0,,233013.3684
174,2021-07-22,,,1.4486,1.5292,1.4813,0.0,,240003.7695
175,2021-07-21,,,1.4908,1.5737,1.5244,0.0,,246994.1705
176,2021-07-20,,,1.5001,1.5836,1.534,0.0,,248547.593
177,2021-07-19,,,1.5001,1.5836,1.534,0.0,,248547.593
178,2021-07-16,,,1.5283,1.6133,1.5628,0.0,,253207.8603
179,2021-07-15,,,1.5142,1.5985,1.5484,0.0,,250877.7266
180,2021-07-14,,,1.4814,1.5638,1.5148,0.0,,245440.748
181,2021-07-13,,,1.5236,1.6083,1.558,0.0,,252431.1491
182,2021-07-12,,,1.5845,1.6727,1.6203,0.0,,262528.3951
183,2021-07-09,,,1.5892,1.6776,1.6251,0.0,,263305.1063
184,2021-07-08,,,1.6642,1.7568,1.7018,0.0,,275732.4859
185,2021-07-07,,,1.4579,1.5391,1.4909,0.0,,241557.1919
186,2021-07-06,,,1.4298,1.5094,1.4621,0.0,,236896.9245
187,2021-07-05,,,1.3829,1.4599,1.4142,0.0,,229129.8123
188,2021-07-02,,,1.2704,1.3411,1.2991,0.0,,210488.7428
189,2021-07-01,,,1.2704,1.3411,1.2991,0.0,,210488.7428
190,2021-06-30,,,1.3689,1.445,1.3998,0.0,,226799.6786
191,2021-06-29,,,1.3595,1.4351,1.3902,0.0,,225246.2561
192,2021-06-28,,,1.4017,1.4797,1.4333,0.0,,232236.6572
193,2021-06-25,,,1.4157,1.4945,1.4477,0.0,,234566.7909
194,2021-06-24,,,1.4157,1.4945,1.4477,0.0,,234566.7909
195,2021-06-23,,,1.3595,1.4351,1.3902,0.0,,225246.2561
196,2021-06-22,,,1.3736,1.45,1.4046,0.0,,227576.3898
197,2021-06-21,,,1.3642,1.4401,1.395,0.0,,226022.9673
198,2021-06-18,,,1.3548,1.4302,1.3854,0.0,,224469.5449
199,2021-06-17,,,1.3642,1.4401,1.395,0.0,,226022.9673
200,2021-06-16,,,1.3876,1.4648,1.419,0.0,,229906.5235
201,2021-06-15,,,1.3689,1.445,1.3998,0.0,,226799.6786
202,2021-06-11,,,1.4298,1.5094,1.4621,0.0,,236896.9245
203,2021-06-10,,,1.4064,1.4846,1.4381,0.0,,233013.3684
204,2021-06-09,,,1.4251,1.5044,1.4573,0.0,,236120.2133
205,2021-06-08,,,1.3782,1.4549,1.4094,0.0,,228353.101
206,2021-06-07,,,1.2329,1.3015,1.2608,0.0,,204275.053
207,2021-06-04,,,1.1626,1.2273,1.1889,0.0,,192624.3845
208,2021-06-03,,,1.1814,1.2471,1.208,0.0,,195731.2295
209,2021-06-02,,,1.1767,1.2421,1.2032,0.0,,194954.5182
210,2021-06-01,,,1.2001,1.2669,1.2272,0.0,,198838.0744
211,2021-05-31,,,1.1954,1.2619,1.2224,0.0,,198061.3631
212,2021-05-28,,,1.186,1.252,1.2128,0.0,,196507.9407
213,2021-05-27,,,1.186,1.252,1.2128,0.0,,196507.9407
214,2021-05-26,,,1.1438,1.2075,1.1697,0.0,,189517.5396
215,2021-05-25,,,1.1579,1.2223,1.1841,0.0,,191847.6733
216,2021-05-24,,,1.1626,1.2273,1.1889,0.0,,192624.3845
217,2021-05-21,,,1.097,1.158,1.1217,0.0,,181750.4274
218,2021-05-20,,,1.0782,1.1382,1.1026,0.0,,178643.5824
219,2021-05-19,,,1.1298,1.1927,1.1553,0.0,,187187.4059
220,2021-05-18,,,1.1298,1.1927,1.1553,0.0,,187187.4059
221,2021-05-17,,,1.1017,1.163,1.1265,0.0,,182527.1386
222,2021-05-14,,,1.3736,1.45,1.4046,0.0,,227576.3898
223,2021-05-13,,,1.4064,1.4846,1.4381,0.0,,233013.3684
224,2021-05-12,,,1.3548,1.4302,1.3854,0.0,,224469.5449
225,2021-05-11,,,1.4673,1.549,1.5005,0.0,,243110.6144
